timestamp,quality,angle_deg,distance_mm
1785142536.286249876,15,355.343750,7044.250
1785142536.286249876,15,357.000000,7011.750
1785142536.286249876,15,358.640625,6990.250
1785142536.286249876,15,0.296875,6983.000
1785142536.286249876,15,5.281250,6739.250
1785142536.286249876,15,8.546875,8764.750
1785142536.286249876,15,10.187500,8853.250
1785142536.286249876,10,11.828125,8879.750
1785142536.286249876,15,47.468750,106.750
1785142536.286249876,15,163.687500,10172.500
1785142536.286249876,15,178.578125,10593.750
1785142536.286249876,15,198.593750,5148.250
1785142536.286249876,9,205.218750,4389.750
1785142536.286249876,11,208.531250,4094.500
1785142536.286249876,15,210.203125,3982.250
1785142536.286249876,15,213.515625,3778.750
1785142536.286249876,15,215.187500,3706.250
1785142536.286249876,15,221.859375,3155.000
1785142536.286249876,10,231.796875,2935.750
1785142536.286249876,15,233.437500,2875.500
1785142536.286249876,15,235.125000,2827.500
1785142536.286249876,15,236.765625,2805.250
1785142536.286249876,11,238.421875,2776.000
1785142536.286249876,15,240.078125,2742.750
1785142536.286249876,15,241.718750,2712.500
1785142536.286249876,15,243.390625,2685.000
1785142536.286249876,13,245.046875,2665.750
1785142536.286249876,13,246.703125,2650.250
1785142536.286249876,13,248.343750,2639.250
1785142536.286249876,12,250.000000,2634.500
1785142536.286249876,13,251.640625,2630.750
1785142536.286249876,12,253.328125,2624.500
1785142536.286249876,15,254.968750,2616.000
1785142536.286249876,15,256.609375,2598.750
1785142536.286249876,15,258.265625,2587.250
1785142536.286249876,15,259.937500,2589.750
1785142536.286249876,15,261.531250,2602.000
1785142536.286249876,15,263.203125,2613.750
1785142536.286249876,15,264.859375,2619.250
1785142536.286249876,15,266.515625,2618.500
1785142536.286249876,15,268.171875,2616.500
1785142536.286249876,14,269.812500,2629.250
1785142536.286249876,15,271.468750,2644.250
1785142536.286249876,12,273.109375,2650.750
1785142536.286249876,15,274.750000,2674.500
1785142536.286249876,15,276.390625,2711.250
1785142536.286249876,13,278.046875,2740.250
1785142536.286249876,11,279.671875,2767.250
1785142536.286249876,15,281.359375,2810.000
1785142536.286249876,11,282.968750,2857.250
1785142536.286249876,3,284.640625,2893.000
1785142536.286249876,12,292.859375,3066.500
1785142536.286249876,10,296.125000,3135.000
1785142536.286249876,10,297.765625,3210.500
1785142536.286249876,15,334.234375,3733.000
1785142536.286249876,15,337.562500,3495.250
1785142536.286249876,11,339.234375,3503.000
1785142536.286249876,15,340.875000,3532.750
1785142536.286249876,15,342.546875,3545.500
1785142536.286249876,15,344.187500,3556.750
1785142537.733064890,15,355.578125,7016.250
1785142537.733064890,15,357.218750,6990.750
1785142537.733064890,15,358.875000,7003.250
1785142537.733064890,15,0.546875,7001.500
1785142537.733064890,15,5.515625,6745.750
1785142537.733064890,15,8.765625,8765.500
1785142537.733064890,15,10.390625,8850.500
1785142537.733064890,9,12.046875,8865.750
1785142537.733064890,8,13.687500,8776.250
1785142537.733064890,15,47.875000,106.500
1785142537.733064890,11,160.640625,10381.750
1785142537.733064890,15,162.296875,10284.500
1785142537.733064890,15,163.937500,10234.750
1785142537.733064890,7,170.546875,10210.000
1785142537.733064890,8,172.203125,10188.500
1785142537.733064890,14,190.546875,6204.250
1785142537.733064890,10,195.531250,5591.500
1785142537.733064890,15,198.875000,5104.500
1785142537.733064890,9,205.468750,4376.000
1785142537.733064890,14,208.781250,4091.250
1785142537.733064890,15,210.453125,3987.250
1785142537.733064890,15,213.765625,3772.750
1785142537.733064890,15,215.437500,3693.750
1785142537.733064890,14,217.109375,3589.500
1785142537.733064890,7,222.109375,3163.750
1785142537.733064890,12,230.390625,2978.000
1785142537.733064890,12,232.015625,2925.750
1785142537.733064890,15,233.703125,2867.250
1785142537.733064890,15,235.343750,2821.000
1785142537.733064890,14,237.000000,2799.500
1785142537.733064890,10,238.625000,2772.000
1785142537.733064890,15,240.296875,2733.500
1785142537.733064890,15,241.968750,2698.750
1785142537.733064890,10,243.609375,2678.000
1785142537.733064890,13,245.265625,2661.250
1785142537.733064890,12,246.906250,2647.250
1785142537.733064890,11,248.562500,2641.500
1785142537.733064890,13,250.218750,2635.750
1785142537.733064890,13,251.937500,2630.250
1785142537.733064890,14,253.593750,2628.500
1785142537.733064890,15,255.218750,2616.000
1785142537.733064890,15,256.875000,2595.250
1785142537.733064890,15,258.531250,2586.000
1785142537.733064890,15,260.203125,2586.250
1785142537.733064890,15,261.812500,2598.750
