elapsed_s,lidar_timestamp,state,reason,speed,steering,pair_valid,car_count,gap_width_mm,car1_x_mm,car1_y_back_mm,car2_x_mm,car2_y_back_mm,entrance_x_mm,entrance_y_back_mm,depth_x,depth_y_back,decision_angle_deg,heading_error_deg,lateral_error_mm,depth_progress_mm,depth_remaining_mm,target_x_mm,target_y_back_mm,curvature_per_mm,geometric_steering,physical_steering,clusters
0.002463,1785154780.251162052,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.190805,1785154780.444839954,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.238025,1785154780.478702068,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.279718,1785154780.510674000,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.300166,1785154780.543900967,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.332850,1785154780.576179028,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.368753,1785154780.609497070,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.399157,1785154780.642469168,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.431709,1785154780.677279949,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.469957,1785154780.707727194,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.517280,1785154780.775166035,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.567181,1785154780.808098078,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.596394,1785154780.841056108,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.630988,1785154780.874511003,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
0.667393,1785154780.907832146,idle,waiting_for_start,0,-33,0,0,,,,,,,,,,,,,,,,,,,,
