timestamp,quality,angle_deg,distance_mm
1785203419.382258892,15,160.171875,628.000
1785203419.382258892,15,161.734375,623.250
1785203419.382258892,15,163.140625,631.750
1785203419.382258892,15,164.859375,643.250
1785203419.382258892,15,167.875000,682.000
1785203419.382258892,15,169.390625,698.500
1785203419.382258892,15,172.484375,742.500
1785203419.382258892,15,183.578125,302.000
1785203419.382258892,15,192.015625,356.000
1785203419.382258892,15,193.937500,364.000
1785203419.382258892,15,195.093750,373.000
1785203419.382258892,15,196.937500,382.500
1785203419.382258892,15,198.375000,391.250
1785203419.382258892,15,200.000000,400.250
1785203419.382258892,15,201.359375,410.250
1785203419.382258892,15,202.703125,421.250
1785203419.382258892,15,204.421875,433.000
1785203419.382258892,15,205.828125,446.000
1785203419.382258892,8,280.765625,15209.500
1785203419.382258892,12,282.375000,15095.750
1785203419.382258892,9,283.953125,14886.750
1785203419.382258892,9,285.546875,14722.500
1785203419.382258892,14,287.140625,14642.250
1785203419.382258892,10,288.750000,14472.250
1785203419.382258892,13,290.343750,14393.500
1785203419.382258892,12,291.921875,14355.500
1785203419.382258892,15,350.015625,3473.750
1785203419.496914864,15,351.640625,3411.500
1785203419.496914864,15,353.218750,3444.750
1785203419.496914864,15,356.390625,3698.750
1785203419.496914864,15,357.984375,3748.000
1785203419.496914864,15,2.828125,3438.250
1785203419.496914864,15,7.656250,3282.500
1785203419.496914864,15,9.265625,3268.500
1785203419.496914864,15,10.812500,3254.000
1785203419.496914864,15,15.687500,2992.000
1785203419.496914864,15,17.234375,3013.500
1785203419.496914864,15,18.875000,3036.750
1785203419.496914864,15,20.453125,3056.500
1785203419.496914864,15,141.234375,100.500
1785203419.496914864,15,161.234375,634.250
1785203419.496914864,15,162.828125,640.750
1785203419.496914864,15,164.359375,652.000
1785203419.496914864,15,165.859375,666.750
1785203419.496914864,15,167.296875,682.500
1785203419.496914864,15,168.890625,699.000
1785203419.496914864,15,173.468750,770.250
1785203419.496914864,15,178.953125,609.250
1785203419.496914864,15,180.515625,615.250
1785203419.496914864,15,183.843750,586.750
1785203419.496914864,15,185.500000,582.500
1785203419.496914864,15,187.093750,578.750
1785203419.496914864,15,188.609375,579.750
1785203419.496914864,15,190.312500,582.250
1785203419.496914864,15,191.890625,584.750
1785203419.496914864,15,193.343750,587.500
1785203419.496914864,15,195.031250,590.750
1785203419.496914864,15,196.578125,592.500
1785203419.496914864,15,198.265625,589.750
1785203419.496914864,15,199.859375,589.750
1785203419.496914864,15,209.468750,288.750
1785203419.496914864,12,282.031250,15131.250
1785203419.496914864,10,283.625000,14962.500
1785203419.496914864,10,285.218750,14790.500
1785203419.496914864,8,286.828125,14616.000
1785203419.496914864,11,288.421875,14477.500
1785203419.496914864,10,290.031250,14438.500
1785203419.496914864,9,291.625000,14393.500
1785203419.496914864,8,323.890625,5602.000
1785203419.496914864,15,346.484375,3748.000
1785203419.496914864,15,349.718750,3491.500
1785203419.612677813,15,351.328125,3410.000
1785203419.612677813,15,352.953125,3425.000
1785203419.612677813,15,356.125000,3669.500
1785203419.612677813,15,357.718750,3705.250
1785203419.612677813,15,359.343750,3642.500
1785203419.612677813,15,2.593750,3417.750
1785203419.612677813,15,7.406250,3280.000
1785203419.612677813,15,9.015625,3304.000
1785203419.612677813,15,12.171875,3186.500
1785203419.612677813,15,15.390625,2980.500
1785203419.612677813,15,16.984375,2998.750
1785203419.612677813,15,18.609375,3024.500
1785203419.612677813,15,20.187500,3048.000
1785203419.612677813,12,21.750000,3103.750
1785203419.612677813,15,140.765625,100.000
1785203419.612677813,15,161.015625,648.000
1785203419.612677813,15,162.500000,648.250
1785203419.612677813,15,164.156250,655.250
1785203419.612677813,15,167.343750,686.000
1785203419.612677813,15,168.812500,694.500
1785203419.612677813,15,170.296875,711.250
1785203419.612677813,15,173.468750,756.750
1785203419.612677813,15,178.812500,614.250
1785203419.612677813,15,180.250000,619.000
1785203419.612677813,15,183.703125,595.500
1785203419.612677813,15,185.156250,589.250
1785203419.612677813,15,186.750000,583.750
1785203419.612677813,15,188.500000,577.000
1785203419.612677813,15,190.078125,572.750
1785203419.612677813,15,191.625000,570.000
1785203419.612677813,15,193.218750,566.000
1785203419.612677813,15,194.968750,563.000
1785203419.612677813,15,196.531250,566.250
1785203419.612677813,15,198.093750,574.750
1785203419.612677813,15,199.671875,586.750
1785203419.612677813,15,201.000000,602.250
1785203419.612677813,15,204.156250,637.250
1785203419.612677813,15,223.953125,311.250
1785203419.612677813,15,241.562500,178.500
1785203419.612677813,15,243.156250,175.000
1785203419.612677813,15,245.250000,171.500
1785203419.612677813,15,246.859375,168.000
1785203419.612677813,15,248.453125,165.750
1785203419.612677813,15,249.796875,164.750
1785203419.612677813,15,251.640625,164.000
1785203419.612677813,15,253.234375,162.000
1785203419.612677813,15,254.828125,159.250
1785203419.612677813,15,256.421875,157.500
1785203419.612677813,15,258.031250,156.500
1785203419.612677813,15,259.671875,154.500
1785203419.612677813,15,261.265625,152.000
1785203419.612677813,15,263.421875,151.250
1785203419.612677813,15,264.453125,150.250
1785203419.612677813,15,266.046875,148.750
1785203419.612677813,15,267.656250,147.000
1785203419.612677813,15,269.250000,145.500
1785203419.612677813,8,283.375000,14907.000
1785203419.612677813,11,284.984375,14736.250
1785203419.612677813,10,286.578125,14576.250
1785203419.612677813,8,288.171875,14471.000
1785203419.612677813,8,291.359375,14387.000
1785203419.612677813,12,309.093750,8793.000
1785203419.612677813,15,310.703125,8694.250
1785203419.612677813,15,349.500000,3503.750
1785203419.726155996,15,351.140625,3410.500
1785203419.726155996,15,352.718750,3412.500
1785203419.726155996,15,357.500000,3753.750
1785203419.726155996,15,2.359375,3428.250
1785203419.726155996,15,7.187500,3281.750
1785203419.726155996,15,8.796875,3310.750
1785203419.726155996,15,11.937500,3189.000
1785203419.726155996,15,15.156250,2987.750
1785203419.726155996,15,16.734375,2999.500
1785203419.726155996,15,18.328125,3009.750
1785203419.726155996,15,19.937500,3031.750
1785203419.726155996,15,21.546875,3082.500
1785203419.726155996,15,160.843750,646.000
1785203419.726155996,15,162.359375,646.500
1785203419.726155996,15,168.578125,693.250
1785203419.726155996,15,170.125000,705.750
1785203419.726155996,15,171.750000,726.750
1785203419.726155996,15,173.218750,748.250
1785203419.726155996,15,178.562500,613.000
1785203419.726155996,15,180.031250,617.000
1785203419.726155996,15,181.703125,613.750
1785203419.726155996,15,183.359375,599.750
1785203419.726155996,15,185.046875,589.250
1785203419.726155996,15,186.687500,580.250
1785203419.726155996,15,188.250000,568.000
1785203419.726155996,15,189.875000,559.250
1785203419.726155996,15,191.531250,556.750
1785203419.726155996,15,193.187500,558.000
1785203419.726155996,15,194.718750,561.250
1785203419.726155996,15,196.156250,570.750
1785203419.726155996,15,197.734375,583.500
1785203419.726155996,15,199.390625,593.500
1785203419.726155996,15,200.843750,603.750
1785203419.726155996,15,202.390625,617.500
1785203419.726155996,15,203.953125,633.500
1785203419.726155996,7,212.984375,15853.750
1785203419.726155996,8,216.171875,16052.500
1785203419.726155996,15,251.484375,171.750
1785203419.726155996,15,253.093750,168.500
1785203419.726155996,15,254.671875,166.500
1785203419.726155996,15,256.265625,164.000
1785203419.726155996,15,257.875000,161.500
1785203419.726155996,15,259.500000,160.250
1785203419.726155996,15,261.109375,159.000
1785203419.726155996,15,262.703125,158.750
1785203419.726155996,15,264.296875,158.750
1785203419.726155996,15,265.890625,158.000
1785203419.726155996,15,268.062500,157.000
1785203419.726155996,15,269.093750,156.500
1785203419.726155996,15,270.687500,156.250
1785203419.726155996,15,272.281250,156.250
1785203419.726155996,15,273.890625,156.500
1785203419.726155996,15,275.484375,157.000
1785203419.726155996,15,277.078125,158.000
1785203419.726155996,15,278.671875,158.750
1785203419.726155996,15,280.015625,159.750
1785203419.726155996,15,281.875000,159.500
1785203419.726155996,15,283.421875,158.500
1785203419.726155996,15,285.015625,158.750
1785203419.726155996,15,286.609375,158.500
1785203419.726155996,15,288.203125,157.750
1785203419.726155996,15,289.796875,157.750
1785203419.844602108,15,352.562500,3461.500
1785203419.844602108,15,354.171875,3504.750
1785203419.844602108,15,357.343750,3757.500
1785203419.844602108,15,358.937500,3778.250
1785203419.844602108,15,2.218750,3415.250
1785203419.844602108,15,7.046875,3281.000
1785203419.844602108,15,8.640625,3293.500
1785203419.844602108,15,11.781250,3185.500
1785203419.844602108,15,15.000000,2993.000
1785203419.844602108,15,16.593750,3002.750
1785203419.844602108,15,18.218750,3008.000
1785203419.844602108,15,19.812500,3044.250
1785203419.844602108,15,21.406250,3093.750
1785203419.844602108,15,160.671875,646.000
1785203419.844602108,15,162.250000,645.750
1785203419.844602108,15,163.828125,652.500
1785203419.844602108,15,168.546875,691.250
1785203419.844602108,15,170.062500,703.500
1785203419.844602108,15,171.546875,723.250
1785203419.844602108,15,173.156250,745.750
1785203419.844602108,15,179.906250,608.500
1785203419.844602108,15,181.640625,614.000
1785203419.844602108,15,184.875000,582.000
1785203419.844602108,15,186.421875,574.750
1785203419.844602108,15,188.062500,564.500
1785203419.844602108,15,189.718750,556.750
1785203419.844602108,15,191.343750,553.750
1785203419.844602108,15,192.890625,554.000
1785203419.844602108,15,194.453125,556.750
1785203419.844602108,15,196.031250,561.250
1785203419.844602108,15,197.640625,568.750
1785203419.844602108,15,199.218750,578.750
1785203419.844602108,15,200.890625,590.250
1785203419.844602108,15,202.359375,604.250
1785203419.844602108,15,203.968750,621.250
1785203419.844602108,15,205.421875,639.500
1785203419.844602108,15,254.562500,155.250
1785203419.844602108,15,256.156250,152.000
1785203419.844602108,15,257.515625,149.000
1785203419.844602108,15,259.671875,146.500
1785203419.844602108,15,260.937500,145.500
1785203419.844602108,15,262.546875,145.000
1785203419.844602108,15,265.390625,145.000
1785203419.844602108,15,267.031250,144.000
1785203419.844602108,15,267.328125,142.000
1785203419.844602108,15,268.921875,141.000
1785203419.844602108,15,270.515625,140.500
1785203419.844602108,15,273.609375,140.250
1785203419.844602108,15,273.687500,139.500
1785203419.844602108,15,275.265625,138.500
1785203419.844602108,15,278.046875,138.500
1785203419.844602108,15,278.468750,138.750
1785203419.844602108,15,280.562500,138.750
1785203419.844602108,15,282.406250,139.000
1785203419.844602108,15,284.640625,139.000
1785203419.844602108,15,284.828125,139.500
1785203419.844602108,15,287.171875,141.000
1785203419.844602108,15,294.375000,147.750
1785203419.959887981,15,353.921875,3490.000
1785203419.959887981,15,358.703125,3808.750
1785203419.959887981,15,1.953125,3427.250
1785203419.959887981,15,6.765625,3296.750
1785203419.959887981,15,8.375000,3279.750
1785203419.959887981,15,9.984375,3245.250
1785203419.959887981,15,11.484375,3219.500
1785203419.959887981,15,14.703125,3000.500
1785203419.959887981,15,16.312500,3001.500
1785203419.959887981,15,17.906250,2998.500
1785203419.959887981,15,19.484375,3034.250
1785203419.959887981,15,21.093750,3075.250
1785203419.959887981,15,161.859375,640.000
1785203419.959887981,15,163.437500,643.750
1785203419.959887981,15,166.421875,674.750
1785203419.959887981,15,167.953125,686.500
1785203419.959887981,15,169.625000,698.250
1785203419.959887981,15,171.125000,717.250
1785203419.959887981,15,172.609375,739.000
1785203419.959887981,15,174.093750,760.500
1785203419.959887981,15,179.453125,602.250
1785203419.959887981,15,181.078125,608.750
1785203419.959887981,15,184.328125,582.000
1785203419.959887981,15,186.031250,577.250
1785203419.959887981,15,187.703125,568.250
1785203419.959887981,15,189.250000,559.250
1785203419.959887981,15,190.843750,555.500
1785203419.959887981,15,192.484375,553.750
1785203419.959887981,15,194.015625,554.000
1785203419.959887981,15,195.734375,558.000
1785203419.959887981,15,197.281250,564.250
1785203419.959887981,15,198.671875,573.500
1785203419.959887981,15,200.343750,584.750
1785203419.959887981,15,201.937500,597.250
1785203419.959887981,15,204.875000,633.000
1785203419.959887981,12,210.687500,15947.750
1785203419.959887981,9,212.281250,15846.500
1785203419.959887981,8,213.875000,15823.000
1785203419.959887981,15,250.843750,143.750
1785203419.959887981,15,252.453125,141.000
1785203419.959887981,15,254.015625,138.750
1785203419.959887981,15,255.609375,137.250
1785203419.959887981,15,257.703125,135.250
1785203419.959887981,15,258.765625,133.250
1785203419.959887981,15,260.359375,132.250
1785203419.959887981,15,263.640625,131.500
1785203419.959887981,15,265.203125,131.250
1785203419.959887981,15,265.140625,131.500
1785203419.959887981,15,268.078125,131.750
1785203419.959887981,15,268.328125,131.250
1785203419.959887981,15,271.234375,130.250
1785203419.959887981,15,273.734375,130.000
1785203419.959887981,15,273.125000,130.250
1785203419.959887981,15,274.703125,130.250
1785203419.959887981,15,284.250000,136.250
1785203419.959887981,15,287.734375,135.000
1785203419.959887981,15,287.421875,134.250
1785203419.959887981,15,289.015625,134.250
1785203419.959887981,15,290.609375,134.500
1785203419.959887981,15,292.187500,134.750
1785203419.959887981,15,295.000000,135.250
1785203419.959887981,15,295.375000,136.000
1785203419.959887981,15,350.000000,3474.250
1785203420.073995113,15,351.609375,3411.750
1785203420.073995113,15,353.187500,3444.500
1785203420.073995113,15,356.359375,3698.500
1785203420.073995113,15,357.968750,3750.500
1785203420.073995113,15,2.812500,3440.750
1785203420.073995113,15,7.640625,3281.750
1785203420.073995113,15,9.234375,3270.250
1785203420.073995113,15,10.765625,3262.250
1785203420.073995113,15,12.390625,3202.000
1785203420.073995113,15,15.593750,2990.500
1785203420.073995113,15,17.203125,3012.000
1785203420.073995113,15,18.796875,3035.250
1785203420.073995113,15,20.390625,3055.750
1785203420.073995113,15,161.109375,648.000
1785203420.073995113,15,162.687500,641.750
1785203420.073995113,15,164.296875,646.750
1785203420.073995113,15,168.937500,694.000
1785203420.073995113,15,170.343750,708.750
1785203420.073995113,15,171.859375,729.250
1785203420.073995113,15,173.500000,750.500
1785203420.073995113,15,180.359375,602.750
1785203420.073995113,15,181.906250,611.000
1785203420.073995113,15,185.281250,579.500
1785203420.073995113,15,186.890625,574.750
1785203420.073995113,15,188.625000,566.500
1785203420.073995113,15,190.203125,559.500
1785203420.073995113,15,191.875000,555.500
1785203420.073995113,15,193.515625,553.250
