elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,is_near,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000005,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.043059,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.126993,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.205587,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.283509,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.371281,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.453054,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.536086,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.620192,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.703596,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.786845,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.870778,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
1.954278,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.036510,0.000000000,idle,0,0,0,press_SPACE_to_start,0,0,0,0,0,,,,,,,,,,,,
2.121226,1785203419.382258892,idle,0,0,0,press_SPACE_to_start,27,0,1,1,1,-10.765625,64.171875,26.703125,15209.500000,446.000000,,,,,,302.000000,
2.205297,1785203419.496914864,idle,0,0,0,press_SPACE_to_start,42,0,1,1,1,-12.031250,60.531250,24.250000,15131.250000,288.750000,,,,,,578.750000,
2.289491,1785203419.612677813,idle,0,0,0,press_SPACE_to_start,61,0,1,1,1,-13.375000,0.750000,-6.312500,14907.000000,145.500000,,,,,,563.000000,
2.372786,1785203419.612677813,idle,0,0,0,press_SPACE_to_start,61,0,1,1,1,-13.375000,0.750000,-6.312500,14907.000000,145.500000,,,,,,563.000000,
2.454503,1785203419.726155996,idle,0,0,0,press_SPACE_to_start,61,0,1,1,1,-0.687500,0.906250,0.109375,156.250000,156.500000,,,,,,556.750000,
2.538798,1785203419.844602108,idle,0,0,0,press_SPACE_to_start,57,0,1,1,1,-0.515625,1.078125,0.281250,140.500000,141.000000,,,,,,553.750000,
2.624003,1785203419.844602108,idle,0,0,0,press_SPACE_to_start,57,0,1,1,1,-0.515625,1.078125,0.281250,140.500000,141.000000,,,,,,553.750000,
2.708657,1785203419.959887981,idle,0,0,0,press_SPACE_to_start,62,0,1,1,1,-1.234375,1.671875,0.218750,130.250000,131.250000,,,,,,553.750000,
2.793460,1785203420.073995113,idle,0,0,0,press_SPACE_to_start,65,0,1,1,1,-0.531250,1.640625,0.554688,129.750000,129.250000,,,,,,553.250000,
2.877723,1785203420.189134121,idle,0,0,0,press_SPACE_to_start,66,0,1,1,1,-0.484375,2.609375,1.062500,127.750000,127.000000,,,,,,553.500000,
2.962941,1785203420.189134121,idle,0,0,0,press_SPACE_to_start,66,0,1,1,1,-0.484375,2.609375,1.062500,127.750000,127.000000,,,,,,553.500000,
3.048553,1785203420.303161144,idle,0,0,0,press_SPACE_to_start,69,0,1,1,1,-2.187500,0.015625,-1.085938,120.750000,121.000000,,,,,,552.500000,
3.133699,1785203420.420750141,idle,0,0,0,press_SPACE_to_start,75,0,1,1,1,-0.812500,1.140625,0.164063,114.500000,114.750000,,,,,,552.500000,
3.218340,1785203420.535367966,idle,0,0,0,press_SPACE_to_start,63,0,1,1,1,-0.703125,3.968750,1.632812,102.250000,103.250000,,,,,,551.500000,
3.302936,1785203420.535367966,idle,0,0,0,press_SPACE_to_start,63,0,1,1,1,-0.703125,3.968750,1.632812,102.250000,103.250000,,,,,,551.500000,
3.386523,1785203420.650378942,idle,0,0,0,press_SPACE_to_start,40,0,1,1,1,-78.937500,29.296875,-24.820312,3562.750000,104.000000,,,,,,552.250000,
3.470280,1785203420.765537977,idle,0,0,0,press_SPACE_to_start,39,0,1,1,1,-79.796875,38.531250,-20.632813,3490.000000,101.750000,,,,,,551.500000,
3.554331,1785203420.878991127,idle,0,0,0,press_SPACE_to_start,31,0,1,1,1,-47.921875,67.281250,9.679688,102.000000,601.250000,,,,,,553.250000,
3.634648,1785203420.878991127,idle,0,0,0,press_SPACE_to_start,31,0,1,1,1,-47.921875,67.281250,9.679688,102.000000,601.250000,,,,,,553.250000,
3.715956,1785203420.996773958,idle,0,0,0,press_SPACE_to_start,35,0,1,1,1,-80.078125,64.968750,-7.554687,3476.250000,633.750000,,,,,,554.000000,
3.798880,1785203421.112221003,idle,0,0,0,press_SPACE_to_start,32,0,1,1,1,-81.671875,65.781250,-7.945312,3411.500000,622.000000,,,,,,553.500000,
3.882493,1785203421.112221003,idle,0,0,0,press_SPACE_to_start,32,0,1,1,1,-81.671875,65.781250,-7.945312,3411.500000,622.000000,,,,,,553.500000,
3.966844,1785203421.226789951,idle,0,0,0,press_SPACE_to_start,35,0,1,1,1,-77.156250,64.843750,-6.156250,3671.250000,636.500000,,,,,,553.750000,
4.050664,1785203421.341325998,idle,0,0,0,press_SPACE_to_start,35,0,1,1,1,-76.515625,67.046875,-4.734375,3745.500000,607.250000,,,,,,555.000000,
4.135357,1785203421.456095934,idle,0,0,0,press_SPACE_to_start,32,0,1,1,1,-79.328125,67.546875,-5.890625,3526.500000,602.250000,,,,,,555.000000,
4.220411,1785203421.456095934,idle,0,0,0,press_SPACE_to_start,32,0,1,1,1,-79.328125,67.546875,-5.890625,3526.500000,602.250000,,,,,,555.000000,
4.306436,1785203421.578142881,idle,0,0,0,press_SPACE_to_start,33,0,1,1,1,-82.515625,67.750000,-7.382812,3466.250000,597.000000,,,,,,554.250000,
4.390175,1785203421.689045906,idle,0,0,0,press_SPACE_to_start,33,0,1,1,1,-78.859375,67.968750,-5.445313,3562.500000,595.000000,,,,,,555.000000,
4.475888,1785203421.803484917,idle,0,0,0,press_SPACE_to_start,37,0,1,1,1,-79.921875,65.343750,-7.289063,3474.250000,629.000000,,,,,,555.500000,
4.562416,1785203421.803484917,idle,0,0,0,press_SPACE_to_start,37,0,1,1,1,-79.921875,65.343750,-7.289063,3474.250000,629.000000,,,,,,555.500000,
4.645837,1785203421.917502880,idle,0,0,0,press_SPACE_to_start,34,0,1,1,1,-79.625000,65.609375,-7.007812,3501.250000,622.250000,,,,,,555.000000,
4.730623,1785203422.032062054,idle,0,0,0,press_SPACE_to_start,31,0,1,1,1,-81.265625,67.390625,-6.937500,3408.000000,600.500000,,,,,,554.750000,
4.815671,1785203422.032062054,idle,0,0,0,press_SPACE_to_start,31,0,1,1,1,-81.265625,67.390625,-6.937500,3408.000000,600.500000,,,,,,554.750000,
4.898981,1785203422.151088953,idle,0,0,0,press_SPACE_to_start,41,0,1,1,1,-7.468750,34.890625,13.710938,101.500000,102.500000,,,,,,555.750000,
4.983977,1785203422.264211893,idle,0,0,0,press_SPACE_to_start,56,0,1,1,1,-76.421875,8.781250,-33.820312,3751.750000,115.250000,,,,,,556.250000,
5.068295,1785203422.378977060,idle,0,0,0,press_SPACE_to_start,48,0,1,1,1,-12.125000,12.125000,0.000000,101.000000,130.500000,,,,,,554.500000,
5.153795,1785203422.378977060,idle,0,0,0,press_SPACE_to_start,48,0,1,1,1,-12.125000,12.125000,0.000000,101.000000,130.500000,,,,,,554.500000,
5.237594,1785203422.493456841,idle,0,0,0,press_SPACE_to_start,51,0,1,1,1,-22.281250,2.703125,-9.789062,14323.250000,104.500000,,,,,,552.250000,
5.320928,1785203422.612461090,idle,0,0,0,press_SPACE_to_start,47,0,1,1,1,-80.156250,7.937500,-36.109375,3474.250000,102.500000,,,,,,550.750000,
5.405209,1785203422.727308035,idle,0,0,0,press_SPACE_to_start,47,0,1,1,1,-80.015625,15.281250,-32.367187,3475.000000,125.000000,,,,,,549.250000,
5.485152,1785203422.727308035,idle,0,0,0,press_SPACE_to_start,47,0,1,1,1,-80.015625,15.281250,-32.367187,3475.000000,125.000000,,,,,,549.250000,
5.571867,1785203422.840738058,idle,0,0,0,press_SPACE_to_start,43,0,1,1,1,-76.515625,19.703125,-28.406250,3745.750000,121.250000,,,,,,549.750000,
5.658219,1785203422.956171036,idle,0,0,0,press_SPACE_to_start,42,0,1,1,1,-40.687500,19.859375,-10.414062,8702.750000,118.250000,,,,,,549.000000,
