timestamp,quality,angle_deg,distance_mm
1785204045.414960861,15,4.046875,5187.750
1785204045.414960861,13,5.656250,5161.750
1785204045.414960861,15,7.281250,5141.750
1785204045.414960861,14,8.921875,5118.750
1785204045.414960861,15,10.500000,5092.000
1785204045.414960861,15,12.125000,5074.750
1785204045.414960861,14,13.734375,5063.500
1785204045.414960861,15,15.343750,5056.250
1785204045.414960861,13,16.968750,5052.000
1785204045.414960861,13,18.578125,5033.500
1785204045.414960861,11,20.203125,4995.250
1785204045.414960861,8,173.359375,10313.250
1785204045.414960861,8,179.828125,10163.000
1785204045.414960861,7,181.453125,10219.000
1785204045.414960861,15,220.359375,5409.000
1785204045.414960861,15,221.984375,5249.250
1785204045.414960861,15,223.593750,5097.250
1785204045.414960861,15,225.234375,4952.500
1785204045.414960861,15,228.437500,4689.000
1785204045.414960861,15,233.312500,4142.000
1785204045.414960861,15,234.937500,4055.250
1785204045.414960861,15,236.531250,3961.250
1785204045.414960861,15,238.187500,3895.750
1785204045.414960861,15,239.796875,3830.250
1785204045.414960861,15,241.390625,3770.250
1785204045.414960861,15,243.015625,3720.000
1785204045.414960861,15,244.640625,3652.500
1785204045.414960861,15,246.250000,3590.250
1785204045.414960861,15,247.890625,3550.250
1785204045.414960861,15,249.500000,3501.750
1785204045.414960861,15,251.125000,3448.000
1785204045.414960861,15,252.718750,3474.500
1785204045.414960861,15,254.328125,3533.500
1785204045.414960861,15,255.953125,3523.500
1785204045.414960861,15,260.765625,3790.500
1785204045.414960861,15,262.359375,3778.250
1785204045.414960861,15,263.968750,3766.250
1785204045.414960861,15,265.593750,3753.500
1785204045.414960861,15,267.203125,3746.750
1785204045.414960861,15,268.796875,3739.250
1785204045.414960861,15,270.437500,3736.000
1785204045.414960861,15,272.046875,3737.750
1785204045.414960861,15,273.656250,3733.500
1785204045.414960861,15,275.218750,3730.500
1785204045.414960861,15,276.859375,3752.000
1785204045.414960861,15,278.468750,3766.500
1785204045.414960861,15,280.062500,3783.250
1785204045.414960861,15,281.687500,3799.000
1785204045.414960861,15,283.296875,3797.250
1785204045.414960861,15,284.890625,3823.000
1785204045.414960861,15,286.500000,3843.250
1785204045.414960861,15,291.359375,3601.750
1785204045.414960861,15,294.609375,3314.750
1785204045.414960861,15,296.218750,3327.000
1785204045.414960861,15,297.812500,3368.500
1785204045.414960861,15,299.500000,3420.500
1785204045.414960861,15,301.140625,3486.750
1785204045.414960861,15,302.750000,3543.250
1785204045.414960861,15,304.343750,3611.250
1785204045.414960861,15,305.953125,3686.500
1785204045.414960861,15,309.125000,4327.000
1785204045.414960861,15,310.750000,4403.250
1785204045.414960861,15,313.953125,4632.000
1785204045.414960861,15,315.562500,4732.000
1785204045.414960861,15,318.781250,5024.000
1785204045.414960861,15,321.984375,5336.500
1785204049.641392231,7,171.187500,10279.750
1785204049.641392231,8,174.437500,10250.000
1785204049.641392231,8,179.250000,10182.250
1785204049.641392231,11,180.875000,10159.500
1785204049.641392231,15,221.265625,5338.500
1785204049.641392231,15,224.515625,5012.500
1785204049.641392231,15,226.109375,4881.500
1785204049.641392231,15,227.765625,4741.750
1785204049.641392231,15,229.390625,4619.250
1785204049.641392231,15,240.718750,3789.750
1785204049.641392231,15,242.359375,3736.000
1785204049.641392231,15,243.984375,3672.750
1785204049.641392231,15,245.562500,3611.500
1785204049.641392231,15,247.218750,3561.000
1785204049.641392231,15,248.828125,3517.250
1785204049.641392231,15,250.453125,3475.500
1785204049.641392231,15,252.078125,3428.250
1785204049.641392231,15,255.265625,3540.750
1785204049.641392231,15,256.875000,3579.500
1785204049.641392231,15,260.093750,3797.750
1785204049.641392231,15,261.687500,3774.500
1785204049.641392231,15,263.328125,3758.750
1785204049.641392231,15,264.953125,3771.000
1785204049.641392231,15,266.546875,3753.000
1785204049.641392231,15,268.156250,3729.000
1785204049.641392231,15,269.781250,3735.250
1785204049.641392231,15,271.375000,3745.250
1785204049.641392231,15,273.000000,3735.750
1785204049.641392231,15,274.531250,3725.250
