timestamp,quality,angle_deg,distance_mm
1785205466.299781084,15,7.390625,5189.250
1785205466.299781084,10,9.015625,5166.500
1785205466.299781084,14,10.578125,5152.250
1785205466.299781084,13,12.187500,5122.750
1785205466.299781084,15,13.812500,5112.000
1785205466.299781084,15,15.437500,5109.500
1785205466.299781084,15,17.046875,5083.000
1785205466.299781084,13,18.671875,5072.500
1785205466.299781084,15,20.296875,5065.500
1785205466.299781084,15,220.937500,5409.750
1785205466.299781084,15,224.203125,5062.750
1785205466.299781084,15,227.406250,4772.750
1785205466.299781084,15,229.046875,4661.250
1785205466.299781084,15,233.921875,4118.500
1785205466.299781084,15,240.406250,3791.000
1785205466.299781084,15,242.031250,3746.000
1785205466.299781084,15,243.671875,3668.250
1785205466.299781084,15,245.296875,3591.750
1785205466.299781084,15,246.921875,3548.250
1785205466.299781084,15,248.531250,3503.000
1785205466.299781084,15,250.156250,3450.250
1785205466.299781084,15,251.781250,3405.250
1785205466.299781084,15,255.000000,3524.750
1785205466.299781084,15,256.625000,3498.750
1785205466.299781084,15,259.812500,3773.750
1785205466.299781084,15,261.453125,3760.500
1785205466.299781084,15,263.046875,3741.000
1785205466.299781084,15,264.671875,3730.000
1785205466.299781084,15,266.281250,3721.250
1785205466.299781084,15,267.890625,3697.500
1785205466.299781084,15,269.546875,3682.250
1785205466.299781084,15,271.140625,3687.250
1785205466.299781084,15,272.734375,3686.250
1785205466.299781084,15,274.406250,3684.250
1785205466.299781084,15,276.031250,3698.500
1785205466.299781084,15,277.609375,3720.500
1785205466.299781084,15,279.250000,3735.250
1785205466.299781084,15,280.875000,3755.750
1785205466.299781084,15,282.484375,3783.750
1785205466.299781084,15,284.093750,3803.000
1785205466.299781084,15,285.718750,3806.500
1785205466.299781084,15,287.312500,3817.750
1785205466.299781084,15,292.218750,3518.000
1785205466.299781084,15,295.500000,3248.750
1785205466.299781084,15,297.093750,3313.750
1785205466.299781084,15,298.781250,3358.250
1785205466.299781084,15,300.390625,3389.250
1785205466.299781084,15,302.015625,3447.750
1785205466.299781084,15,303.625000,3515.750
1785205466.299781084,15,305.234375,3587.250
1785205466.299781084,15,306.843750,3662.500
1785205466.299781084,15,310.031250,4301.250
1785205466.299781084,15,311.656250,4396.250
1785205466.299781084,15,313.250000,4505.250
1785205466.299781084,15,314.890625,4632.250
1785205466.299781084,15,316.500000,4746.000
1785205466.299781084,15,318.109375,4865.500
1785205466.299781084,15,319.750000,4995.250
1785205466.413372993,14,5.203125,5167.500
1785205466.413372993,14,6.828125,5144.250
1785205466.413372993,14,8.437500,5129.750
1785205466.413372993,13,10.062500,5104.750
1785205466.413372993,15,11.656250,5084.500
1785205466.413372993,15,13.281250,5076.250
1785205466.413372993,11,14.890625,5066.000
1785205466.413372993,12,16.531250,5037.250
1785205466.413372993,10,18.140625,5013.500
1785205466.413372993,11,19.781250,4982.500
1785205466.413372993,15,141.718750,99.500
1785205466.413372993,15,220.796875,5356.250
1785205466.413372993,15,224.062500,5027.250
1785205466.413372993,15,227.312500,4740.500
1785205466.413372993,15,228.953125,4638.750
1785205466.413372993,15,230.578125,4513.000
1785205466.413372993,15,240.359375,3784.750
1785205466.413372993,15,241.984375,3731.250
1785205466.413372993,15,243.609375,3657.500
1785205466.413372993,15,245.250000,3592.750
1785205466.413372993,15,246.843750,3547.750
1785205466.413372993,15,248.500000,3502.000
1785205466.413372993,15,250.109375,3450.500
1785205466.413372993,15,251.796875,3406.500
1785205466.413372993,15,255.031250,3520.500
1785205466.413372993,15,256.640625,3564.250
1785205466.413372993,15,259.859375,3772.500
1785205466.413372993,15,261.468750,3748.000
1785205466.413372993,15,263.109375,3715.750
1785205466.413372993,15,264.734375,3706.000
1785205466.413372993,15,266.343750,3712.500
1785205466.413372993,15,267.968750,3696.250
1785205466.413372993,15,269.609375,3674.250
1785205466.413372993,15,271.203125,3679.500
1785205466.413372993,15,272.843750,3684.250
1785205466.413372993,15,274.484375,3680.750
1785205466.413372993,15,276.093750,3695.750
1785205466.413372993,15,277.687500,3716.500
1785205466.413372993,15,279.312500,3730.000
1785205466.413372993,15,280.953125,3741.000
1785205466.413372993,15,282.546875,3753.750
1785205466.413372993,15,284.187500,3780.250
1785205466.413372993,15,285.796875,3799.500
1785205466.413372993,15,287.406250,3810.500
1785205466.413372993,15,295.593750,3253.750
1785205466.413372993,15,297.218750,3312.000
1785205466.413372993,15,298.875000,3356.250
1785205466.413372993,15,300.484375,3392.250
1785205466.413372993,15,302.109375,3452.000
1785205466.413372993,15,303.718750,3519.500
1785205466.413372993,15,305.359375,3589.000
1785205466.413372993,15,308.531250,4202.250
1785205466.413372993,15,310.140625,4305.000
1785205466.413372993,15,311.765625,4399.500
1785205466.413372993,15,313.390625,4507.000
1785205466.413372993,15,315.000000,4635.500
1785205466.413372993,15,316.609375,4750.500
1785205466.413372993,15,319.843750,5018.500
1785205466.413372993,15,323.109375,5370.750
1785205466.524544001,15,7.062500,5160.000
1785205466.524544001,14,8.703125,5135.500
1785205466.524544001,15,10.328125,5110.750
1785205466.524544001,15,11.890625,5103.750
1785205466.524544001,15,13.515625,5100.000
1785205466.524544001,13,15.140625,5098.250
1785205466.524544001,15,16.765625,5092.000
1785205466.524544001,13,18.390625,5076.000
1785205466.524544001,15,20.015625,5040.500
1785205466.524544001,8,173.984375,10223.500
1785205466.524544001,7,183.750000,10217.750
1785205466.524544001,15,216.234375,5960.500
1785205466.524544001,15,224.390625,4983.250
1785205466.524544001,15,226.015625,4847.750
1785205466.524544001,15,227.625000,4723.250
1785205466.524544001,15,229.250000,4610.500
1785205466.524544001,15,237.406250,3903.250
1785205466.524544001,15,239.031250,3836.500
1785205466.524544001,15,240.671875,3771.250
1785205466.524544001,15,242.281250,3711.500
1785205466.524544001,15,243.921875,3640.250
1785205466.524544001,15,245.531250,3571.000
1785205466.524544001,15,247.140625,3519.000
1785205466.524544001,15,248.781250,3467.250
1785205466.524544001,15,250.453125,3415.750
1785205466.524544001,15,252.062500,3410.000
1785205466.524544001,15,253.671875,3470.750
1785205466.524544001,15,255.296875,3496.500
1785205466.524544001,15,256.906250,3525.250
1785205466.524544001,15,260.156250,3765.750
1785205466.524544001,15,261.781250,3747.750
1785205466.524544001,15,263.390625,3720.500
1785205466.524544001,15,265.000000,3695.750
1785205466.524544001,15,266.640625,3694.750
1785205466.524544001,15,268.250000,3691.750
1785205466.524544001,15,269.875000,3688.750
1785205466.524544001,15,271.484375,3671.500
1785205466.524544001,15,273.125000,3670.500
1785205466.524544001,15,274.703125,3696.000
1785205466.524544001,15,276.328125,3694.750
1785205466.524544001,15,277.921875,3709.250
1785205466.524544001,15,279.562500,3738.000
1785205466.524544001,15,281.156250,3745.000
1785205466.524544001,15,282.765625,3762.750
1785205466.524544001,15,284.390625,3793.500
1785205466.524544001,15,286.031250,3818.000
1785205466.524544001,15,287.625000,3826.000
1785205466.524544001,15,290.906250,3594.250
1785205466.524544001,15,295.781250,3263.750
1785205466.524544001,15,297.406250,3310.750
1785205466.524544001,15,299.093750,3356.250
1785205466.524544001,15,300.718750,3408.500
1785205466.524544001,15,302.343750,3472.750
1785205466.524544001,15,303.968750,3529.750
1785205466.524544001,15,305.562500,3599.000
1785205466.524544001,15,308.750000,4206.500
1785205466.524544001,15,310.375000,4319.500
1785205466.524544001,15,312.000000,4415.750
1785205466.524544001,15,313.609375,4514.250
1785205466.524544001,15,315.218750,4638.000
1785205466.524544001,15,316.843750,4765.750
1785205466.524544001,15,318.468750,4904.500
1785205466.524544001,15,320.078125,5040.000
1785205466.639081955,15,4.093750,5176.750
1785205466.639081955,15,5.718750,5144.250
1785205466.639081955,12,7.359375,5129.500
1785205466.639081955,14,8.984375,5113.000
1785205466.639081955,15,10.515625,5092.000
1785205466.639081955,15,12.140625,5089.250
1785205466.639081955,15,13.750000,5089.250
1785205466.639081955,14,15.359375,5089.000
1785205466.639081955,14,16.984375,5085.250
1785205466.639081955,14,18.625000,5071.250
1785205466.639081955,15,20.234375,5036.500
1785205466.639081955,8,177.515625,10149.500
1785205466.639081955,8,183.984375,10214.500
1785205466.639081955,15,224.671875,4962.000
1785205466.639081955,15,227.937500,4692.000
1785205466.639081955,15,229.562500,4611.500
1785205466.639081955,15,232.843750,4119.250
1785205466.639081955,15,234.468750,4041.750
1785205466.639081955,15,236.093750,3957.750
1785205466.639081955,15,237.750000,3880.500
1785205466.639081955,15,239.343750,3801.250
1785205466.639081955,15,241.000000,3743.250
1785205466.639081955,15,242.609375,3698.000
1785205466.639081955,15,244.250000,3626.750
1785205466.639081955,15,245.875000,3568.750
1785205466.639081955,15,247.500000,3522.750
1785205466.639081955,15,249.125000,3462.000
1785205466.639081955,15,250.765625,3412.500
1785205466.639081955,15,252.390625,3429.250
1785205466.639081955,15,253.984375,3490.000
1785205466.639081955,15,255.609375,3496.000
1785205466.639081955,15,260.437500,3759.500
1785205466.639081955,15,262.093750,3738.250
1785205466.639081955,15,263.718750,3718.250
1785205466.639081955,15,265.328125,3705.500
1785205466.639081955,15,266.953125,3689.000
1785205466.639081955,15,268.578125,3682.500
1785205466.639081955,15,270.218750,3678.500
1785205466.639081955,15,271.828125,3670.250
1785205466.639081955,15,273.437500,3667.250
1785205466.639081955,15,275.000000,3687.000
1785205466.639081955,15,276.625000,3698.250
1785205466.639081955,15,278.234375,3714.500
1785205466.639081955,15,279.843750,3742.750
1785205466.639081955,15,281.468750,3763.250
1785205466.639081955,15,283.062500,3782.500
1785205466.639081955,15,284.687500,3792.000
1785205466.639081955,15,286.312500,3808.000
1785205466.639081955,15,287.906250,3795.000
1785205466.639081955,15,291.203125,3553.000
1785205466.639081955,15,294.453125,3301.500
1785205466.639081955,15,296.062500,3278.000
1785205466.639081955,15,297.687500,3317.000
1785205466.639081955,15,299.406250,3362.000
1785205466.639081955,15,301.031250,3410.750
1785205466.639081955,15,302.656250,3475.250
1785205466.639081955,15,304.265625,3539.500
1785205466.639081955,15,305.890625,3625.500
1785205466.639081955,15,309.062500,4237.000
1785205466.639081955,15,310.687500,4356.500
1785205466.639081955,15,312.312500,4460.750
1785205466.639081955,15,313.921875,4560.750
1785205466.639081955,15,315.562500,4676.750
1785205466.639081955,15,318.796875,4944.750
1785205466.639081955,15,323.718750,5419.000
1785205466.753758907,15,4.437500,5174.250
1785205466.753758907,15,6.062500,5152.500
1785205466.753758907,11,7.687500,5125.000
1785205466.753758907,12,9.312500,5111.500
1785205466.753758907,14,10.859375,5103.750
1785205466.753758907,15,12.453125,5100.500
1785205466.753758907,14,14.078125,5094.000
1785205466.753758907,14,15.718750,5084.750
1785205466.753758907,15,17.328125,5071.750
1785205466.753758907,14,18.937500,5039.500
1785205466.753758907,14,20.562500,5026.500
1785205466.753758907,9,176.250000,10247.000
1785205466.753758907,9,179.484375,10194.750
1785205466.753758907,7,182.734375,10188.250
1785205466.753758907,7,184.343750,10273.500
1785205466.753758907,15,220.187500,5408.000
1785205466.753758907,15,223.437500,5077.250
1785205466.753758907,15,226.750000,4761.750
1785205466.753758907,15,228.375000,4676.750
1785205466.753758907,15,233.296875,4111.750
1785205466.753758907,15,238.187500,3859.750
1785205466.753758907,15,239.843750,3777.000
1785205466.753758907,15,241.468750,3731.250
1785205466.753758907,15,243.093750,3681.750
1785205466.753758907,15,244.718750,3608.000
1785205466.753758907,15,246.328125,3557.250
1785205466.753758907,15,247.984375,3507.750
1785205466.753758907,15,249.593750,3455.750
1785205466.753758907,15,251.218750,3416.500
1785205466.753758907,15,254.421875,3505.000
1785205466.753758907,15,256.062500,3508.000
1785205466.753758907,15,259.281250,3747.500
1785205466.753758907,15,260.890625,3748.750
1785205466.753758907,15,262.500000,3728.500
1785205466.753758907,15,264.140625,3713.250
1785205466.753758907,15,265.781250,3698.500
1785205466.753758907,15,267.390625,3682.000
1785205466.753758907,15,269.015625,3684.250
1785205466.753758907,15,270.656250,3687.500
1785205466.753758907,15,272.250000,3678.500
1785205466.753758907,15,273.859375,3680.250
1785205466.753758907,15,275.468750,3692.750
1785205466.753758907,15,277.078125,3710.750
1785205466.753758907,15,278.671875,3725.750
1785205466.753758907,15,280.328125,3746.750
1785205466.753758907,15,281.921875,3766.750
1785205466.753758907,15,283.531250,3767.500
1785205466.753758907,15,285.140625,3788.750
1785205466.753758907,15,286.765625,3821.000
1785205466.753758907,15,291.656250,3525.250
1785205466.753758907,15,294.937500,3269.000
1785205466.753758907,15,296.546875,3292.750
1785205466.753758907,15,298.156250,3341.500
1785205466.753758907,15,299.875000,3371.750
1785205466.753758907,15,301.468750,3426.250
1785205466.753758907,15,303.109375,3512.000
1785205466.753758907,15,304.718750,3576.500
1785205466.753758907,15,306.359375,3635.500
1785205466.753758907,15,309.515625,4281.750
1785205466.753758907,15,311.140625,4386.000
1785205466.753758907,15,312.765625,4486.250
1785205466.753758907,15,314.375000,4599.000
1785205466.753758907,15,316.000000,4709.500
1785205466.753758907,15,319.234375,4990.000
1785205466.753758907,15,324.125000,5483.000
1785205466.865059137,15,4.781250,5162.500
1785205466.865059137,15,6.421875,5153.000
1785205466.865059137,15,8.031250,5146.500
1785205466.865059137,15,9.671875,5121.750
1785205466.865059137,15,11.265625,5101.500
1785205466.865059137,15,12.859375,5095.500
1785205466.865059137,13,14.500000,5089.250
1785205466.865059137,15,16.125000,5080.750
1785205466.865059137,13,17.750000,5063.500
1785205466.865059137,13,19.375000,5018.500
1785205466.865059137,9,20.984375,4983.000
1785205466.865059137,15,223.875000,5044.500
1785205466.865059137,15,227.140625,4759.500
1785205466.865059137,15,228.765625,4638.000
1785205466.865059137,15,233.671875,4088.500
1785205466.865059137,15,240.203125,3788.500
1785205466.865059137,15,241.828125,3721.500
1785205466.865059137,15,243.437500,3653.000
1785205466.865059137,15,245.062500,3591.000
1785205466.865059137,15,246.687500,3559.000
1785205466.865059137,15,248.328125,3512.500
1785205466.865059137,15,249.968750,3446.750
1785205466.865059137,15,251.593750,3402.750
1785205466.865059137,15,254.812500,3500.500
1785205466.865059137,15,256.437500,3526.500
1785205466.865059137,15,259.640625,3772.250
1785205466.865059137,15,261.281250,3756.250
1785205466.865059137,15,262.906250,3725.750
1785205466.865059137,15,264.515625,3712.500
1785205466.865059137,15,266.140625,3701.500
1785205466.865059137,15,267.765625,3691.000
1785205466.865059137,15,269.359375,3685.500
1785205466.865059137,15,271.000000,3678.000
1785205466.865059137,15,272.640625,3679.750
1785205466.865059137,15,274.250000,3684.750
1785205466.865059137,15,275.828125,3700.000
1785205466.865059137,15,277.453125,3717.750
1785205466.865059137,15,279.062500,3727.750
1785205466.865059137,15,280.687500,3751.750
1785205466.865059137,15,282.296875,3782.750
1785205466.865059137,15,283.921875,3794.000
1785205466.865059137,15,285.546875,3804.000
1785205466.865059137,15,287.140625,3832.750
1785205466.865059137,15,290.437500,3582.250
1785205466.865059137,15,295.312500,3251.000
1785205466.865059137,15,296.937500,3312.000
1785205466.865059137,15,298.656250,3372.250
1785205466.865059137,15,300.281250,3404.750
1785205466.865059137,15,303.515625,3543.250
1785205466.865059137,15,305.156250,3593.750
1785205466.865059137,15,309.953125,4319.750
1785205466.865059137,15,311.578125,4409.500
1785205466.865059137,15,314.812500,4658.250
1785205466.865059137,15,316.421875,4771.000
1785205466.865059137,15,318.062500,4890.750
1785205466.865059137,15,319.687500,5028.000
1785205466.865059137,15,322.921875,5364.000
1785205466.979872942,15,3.562500,5191.500
1785205466.979872942,15,5.187500,5168.250
1785205466.979872942,15,6.796875,5145.000
1785205466.979872942,12,8.453125,5129.000
1785205466.979872942,15,10.062500,5104.000
1785205466.979872942,15,11.656250,5084.500
1785205466.979872942,15,13.281250,5078.000
1785205466.979872942,15,14.906250,5070.000
1785205466.979872942,14,16.546875,5067.750
1785205466.979872942,13,18.156250,5066.750
1785205466.979872942,15,19.781250,5044.250
