elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_near,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000005,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.198784,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.292917,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.379583,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.464130,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.521666,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.604331,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.686540,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.775986,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.859892,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
0.942800,1785205546.943701982,idle,0,0,-20,press_SPACE_to_start_straight_only,36,0,0,0,0,0,1,0,0,0,,,,,,,,,,,1311.250000,
