timestamp,quality,angle_deg,distance_mm
1785210338.071421862,15,351.000000,4015.250
1785210338.071421862,15,352.640625,4033.250
1785210338.071421862,15,354.281250,4064.500
1785210338.071421862,15,355.921875,4084.000
1785210338.071421862,14,357.562500,4087.500
1785210338.071421862,15,359.203125,4108.250
1785210338.071421862,15,0.859375,4136.500
1785210338.071421862,15,2.515625,4126.750
1785210338.071421862,15,4.125000,4121.750
1785210338.071421862,15,5.781250,4141.750
1785210338.071421862,15,7.437500,4184.500
1785210338.071421862,15,9.046875,4238.250
1785210338.071421862,10,10.640625,4291.250
1785210338.071421862,13,12.265625,4359.250
1785210338.071421862,8,185.578125,10180.500
1785210338.071421862,15,221.656250,5393.250
1785210338.071421862,15,224.953125,5073.250
1785210338.071421862,15,226.609375,4932.500
1785210338.071421862,15,228.234375,4795.000
1785210338.071421862,15,229.890625,4677.250
1785210338.071421862,15,233.265625,3447.500
1785210338.071421862,15,239.781250,3918.250
1785210338.071421862,15,241.421875,3826.750
1785210338.071421862,15,243.046875,3759.000
1785210338.071421862,15,244.703125,3706.250
1785210338.071421862,15,246.343750,3640.500
1785210338.071421862,15,247.984375,3585.000
1785210338.071421862,15,249.625000,3543.500
1785210338.071421862,15,251.328125,3493.250
1785210338.071421862,15,252.968750,3487.000
1785210338.071421862,15,254.625000,3537.250
1785210338.071421862,15,256.234375,3555.750
1785210338.071421862,15,259.500000,3755.000
1785210338.071421862,15,261.140625,3802.250
1785210338.071421862,15,262.781250,3797.000
1785210338.071421862,15,264.421875,3788.750
1785210338.071421862,15,266.062500,3780.750
1785210338.071421862,15,267.703125,3773.000
1785210338.071421862,15,269.343750,3772.500
1785210338.071421862,15,270.984375,3763.250
1785210338.071421862,15,272.640625,3753.000
1785210338.071421862,15,274.265625,3750.000
1785210338.071421862,15,275.828125,3759.500
1785210338.071421862,15,277.453125,3778.500
1785210338.071421862,15,279.078125,3790.500
1785210338.071421862,15,280.734375,3800.000
1785210338.071421862,15,282.343750,3804.250
1785210338.071421862,15,283.968750,3821.000
1785210338.071421862,15,285.640625,3840.000
1785210338.071421862,15,287.265625,3870.500
1785210338.071421862,15,295.484375,3307.750
1785210338.071421862,15,297.093750,3354.250
1785210338.071421862,15,298.843750,3399.250
1785210338.071421862,15,300.468750,3454.250
1785210338.071421862,15,302.109375,3510.500
1785210338.071421862,15,303.734375,3564.500
1785210338.071421862,15,305.375000,3641.250
1785210338.071421862,15,308.593750,4263.500
1785210338.071421862,15,310.218750,4377.500
1785210338.071421862,12,321.734375,4177.000
1785210338.071421862,11,323.390625,4152.500
1785210338.071421862,10,325.046875,4123.750
1785210338.071421862,11,326.687500,4070.000
1785210338.071421862,9,328.343750,4008.000
1785210338.071421862,11,329.984375,3978.250
1785210338.071421862,12,331.640625,3970.500
1785210338.071421862,15,333.281250,3988.250
1785210338.071421862,12,334.906250,3984.500
1785210338.071421862,10,339.843750,3951.250
1785210338.071421862,10,341.468750,3950.250
1785210338.071421862,11,343.125000,3960.250
1785210338.071421862,10,344.781250,3959.750
1785210338.071421862,10,346.421875,3967.750
1785210338.071421862,15,348.062500,3992.750
1785210338.071421862,15,349.718750,4010.250
1785210338.296283960,15,351.765625,4006.250
1785210338.296283960,12,353.406250,4013.500
1785210338.296283960,15,355.046875,4031.500
1785210338.296283960,15,356.671875,4051.250
1785210338.296283960,15,358.312500,4075.750
1785210338.296283960,13,359.968750,4100.750
1785210338.296283960,15,1.609375,4127.250
1785210338.296283960,14,3.234375,4119.000
1785210338.296283960,15,4.875000,4121.500
1785210338.296283960,15,6.515625,4154.500
1785210338.296283960,15,8.156250,4194.750
1785210338.296283960,13,9.796875,4266.250
1785210338.296283960,14,11.343750,4340.500
1785210338.296283960,8,183.093750,10224.000
1785210338.296283960,15,217.546875,5951.250
1785210338.296283960,15,224.109375,5137.750
1785210338.296283960,15,225.765625,5006.250
1785210338.296283960,15,229.078125,4729.000
1785210338.296283960,15,232.437500,3451.750
1785210338.296283960,15,234.078125,3448.500
1785210338.296283960,15,238.953125,3948.500
