elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000005,1785210338.071421862,idle,0,0,-25,press_SPACE_to_start,75,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
0.193041,1785210338.296283960,idle,0,0,-25,press_SPACE_to_start,75,0,0,0,0,0,2,0,0,2,0,,,,,,,,,,,,
0.284894,1785210338.408436060,idle,0,0,-25,press_SPACE_to_start,74,0,0,0,0,0,3,0,0,3,0,,,,,,,,,,,,
0.371813,1785210338.518677950,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,4,0,0,4,0,,,,,,,,,,,,
0.458275,1785210338.518677950,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,4,0,0,4,0,,,,,,,,,,,,
0.519508,1785210338.633604050,idle,0,0,-25,press_SPACE_to_start,77,0,0,0,0,0,5,0,0,5,0,,,,,,,,,,,,
0.603632,1785210338.745626926,idle,0,0,-25,press_SPACE_to_start,79,0,0,0,0,0,6,0,0,5,0,,,,,,,,,,,,
0.689037,1785210338.745626926,idle,0,0,-25,press_SPACE_to_start,79,0,0,0,0,0,6,0,0,5,0,,,,,,,,,,,,
0.780722,1785210338.856992960,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,7,0,0,5,0,,,,,,,,,,,,
0.868035,1785210338.971174002,idle,0,0,-25,press_SPACE_to_start,75,0,0,0,0,0,8,0,0,5,0,,,,,,,,,,,,
0.955589,1785210339.082693100,idle,0,0,-25,press_SPACE_to_start,75,0,0,0,0,0,9,0,0,5,0,,,,,,,,,,,,
1.043412,1785210339.193862915,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,10,0,0,5,0,,,,,,,,,,,,
1.132352,1785210339.193862915,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,10,0,0,5,0,,,,,,,,,,,,
1.219668,1785210339.309180975,idle,0,0,-25,press_SPACE_to_start,74,0,0,0,0,0,11,0,0,5,0,,,,,,,,,,,,
