timestamp,quality,angle_deg,distance_mm
1785210716.904580116,15,351.312500,4086.750
1785210716.904580116,15,352.937500,4091.750
1785210716.904580116,15,354.593750,4109.000
1785210716.904580116,15,356.234375,4131.000
1785210716.904580116,15,357.890625,4142.750
1785210716.904580116,15,359.531250,4174.500
1785210716.904580116,15,1.156250,4203.000
1785210716.904580116,12,2.812500,4201.250
1785210716.904580116,12,4.468750,4211.500
1785210716.904580116,11,6.093750,4257.500
1785210716.904580116,13,7.734375,4330.000
1785210716.904580116,15,9.359375,4382.500
1785210716.904580116,12,10.953125,4420.000
1785210716.904580116,9,177.812500,10117.750
1785210716.904580116,15,220.656250,5413.000
1785210716.904580116,15,225.609375,4923.500
1785210716.904580116,15,227.203125,4792.750
1785210716.904580116,15,228.843750,4680.500
1785210716.904580116,15,232.218750,3441.750
1785210716.904580116,15,233.875000,3462.000
1785210716.904580116,15,240.390625,3811.000
1785210716.904580116,15,242.015625,3749.750
1785210716.904580116,15,243.671875,3688.750
1785210716.904580116,15,245.312500,3611.000
1785210716.904580116,15,246.968750,3563.750
1785210716.904580116,15,248.609375,3532.500
1785210716.904580116,15,250.234375,3482.250
1785210716.904580116,15,251.875000,3453.250
1785210716.904580116,15,253.515625,3506.500
1785210716.904580116,15,255.171875,3539.500
1785210716.904580116,15,260.046875,3798.000
1785210716.904580116,15,261.671875,3788.500
1785210716.904580116,15,263.343750,3774.000
1785210716.904580116,15,264.968750,3748.750
1785210716.904580116,15,266.609375,3732.000
1785210716.904580116,15,268.265625,3741.750
1785210716.904580116,15,269.890625,3740.500
1785210716.904580116,15,271.531250,3737.000
1785210716.904580116,15,273.156250,3734.000
1785210716.904580116,15,274.796875,3737.750
1785210716.904580116,15,276.421875,3762.750
1785210716.904580116,15,278.046875,3769.000
1785210716.904580116,15,279.671875,3781.250
1785210716.904580116,15,281.343750,3795.500
1785210716.904580116,15,282.937500,3801.500
1785210716.904580116,15,284.593750,3813.500
1785210716.904580116,15,286.218750,3832.500
1785210716.904580116,15,287.875000,3794.000
1785210716.904580116,15,291.171875,3558.000
1785210716.904580116,15,294.484375,3284.750
1785210716.904580116,15,296.093750,3319.000
1785210716.904580116,15,297.734375,3365.500
1785210716.904580116,15,299.484375,3405.500
1785210716.904580116,15,301.109375,3468.500
1785210716.904580116,15,302.750000,3536.750
1785210716.904580116,15,304.390625,3602.250
1785210716.904580116,15,306.031250,3675.750
1785210716.904580116,15,309.250000,4305.250
1785210716.904580116,13,324.078125,4114.000
1785210716.904580116,12,325.734375,4054.500
1785210716.904580116,10,327.375000,3987.500
1785210716.904580116,13,329.031250,3950.500
1785210716.904580116,12,330.671875,3944.500
1785210716.904580116,15,332.312500,3955.250
1785210716.904580116,15,333.984375,3943.250
1785210716.904580116,10,337.265625,3959.750
1785210716.904580116,10,338.890625,3990.000
1785210716.904580116,11,340.531250,3981.750
1785210716.904580116,14,342.171875,3987.500
1785210716.904580116,8,343.843750,3997.250
1785210716.904580116,12,345.484375,4024.750
1785210716.904580116,14,347.093750,4059.000
