elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,valid_points,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785210716.904580116,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,1,0,0,1,0,,,,,,,,,,,,
0.170514,1785210716.973452091,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,2,0,0,2,0,,,,,,,,,,,,
0.264993,1785210717.084903955,idle,0,0,-25,press_SPACE_to_start,77,0,0,0,0,0,3,0,0,3,0,,,,,,,,,,,,
0.353687,1785210717.196196079,idle,0,0,-25,press_SPACE_to_start,76,0,0,0,0,0,4,0,0,4,0,,,,,,,,,,,,
0.441179,1785210717.311749220,idle,0,0,-25,press_SPACE_to_start,79,0,0,0,0,0,5,0,0,5,0,,,,,,,,,,,,
0.495190,1785210717.311749220,idle,0,0,-25,press_SPACE_to_start,79,0,0,0,0,0,5,0,0,5,0,,,,,,,,,,,,
0.581633,1785210717.422673941,idle,0,0,-25,press_SPACE_to_start,75,0,0,0,0,0,6,0,0,5,0,,,,,,,,,,,,
0.669156,1785210717.533708096,idle,0,0,-25,press_SPACE_to_start,71,0,0,0,0,0,7,0,0,5,0,,,,,,,,,,,,
0.761253,1785210717.648254871,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,8,0,0,5,0,,,,,,,,,,,,
0.847821,1785210717.648254871,idle,0,0,-25,press_SPACE_to_start,73,0,0,0,0,0,8,0,0,5,0,,,,,,,,,,,,
0.936376,1785210717.759531975,idle,0,0,-25,press_SPACE_to_start,74,0,0,0,0,0,9,0,0,5,0,,,,,,,,,,,,
1.024327,1785210717.872128010,idle,0,0,-25,press_SPACE_to_start,77,0,0,0,0,0,10,0,0,5,0,,,,,,,,,,,,
1.113034,1785210717.982894182,idle,0,0,-25,press_SPACE_to_start,76,0,0,0,0,0,11,0,0,5,0,,,,,,,,,,,,
1.201740,1785210718.096861839,idle,0,0,-25,press_SPACE_to_start,76,0,0,0,0,0,12,0,0,5,0,,,,,,,,,,,,
