elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785211579.285650015,idle,0,0,-25,press_SPACE_to_start,76,76,51,25,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,
0.175793,1785211579.465125084,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,,,,,,,
0.226805,1785211579.465125084,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,,,,,,,
0.315099,1785211579.579880953,idle,0,0,-25,press_SPACE_to_start,76,76,50,26,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,,,,,,,
0.402095,1785211579.691977978,idle,0,0,-25,press_SPACE_to_start,71,71,52,19,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
0.495733,1785211579.691977978,idle,0,0,-25,press_SPACE_to_start,71,71,52,19,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
0.579771,1785211579.802525997,idle,0,0,-25,press_SPACE_to_start,73,73,50,23,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,,,,,,,
0.667159,1785211579.914397001,idle,0,0,-25,press_SPACE_to_start,73,73,52,21,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,,,,,,,
0.759364,1785211580.028369904,idle,0,0,-25,press_SPACE_to_start,75,75,51,24,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,,,,,,,
0.845785,1785211580.028369904,idle,0,0,-25,press_SPACE_to_start,75,75,51,24,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,,,,,,,
0.931500,1785211580.140814066,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,,,,,,,
1.019242,1785211580.251817942,idle,0,0,-25,press_SPACE_to_start,72,72,51,21,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
1.107817,1785211580.366050005,idle,0,0,-25,press_SPACE_to_start,71,71,49,22,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,,,,,,,
1.196299,1785211580.477045059,idle,0,0,-25,press_SPACE_to_start,71,71,52,19,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,,,,,,,
1.288257,1785211580.477045059,idle,0,0,-25,press_SPACE_to_start,71,71,52,19,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,,,,,,,
1.376046,1785211580.589382887,idle,0,0,-25,press_SPACE_to_start,72,72,52,20,0,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,,,,,,,
1.464232,1785211580.704196215,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,,,,,,,
1.549423,1785211580.814634085,idle,0,0,-25,press_SPACE_to_start,74,74,51,23,0,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,,,,,,,
1.637957,1785211580.926499128,idle,0,0,-25,press_SPACE_to_start,71,71,52,19,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,,,,,,,
1.726712,1785211580.926499128,idle,0,0,-25,press_SPACE_to_start,71,71,52,19,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,,,,,,,
1.820553,1785211581.040767908,idle,0,0,-25,press_SPACE_to_start,72,72,50,22,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,,,,,,,
1.908602,1785211581.152728081,idle,0,0,-25,press_SPACE_to_start,75,75,54,21,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,,,,,,,
1.997468,1785211581.263699055,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,18,0,0,0,5,0,,,,,,,,,,,,
2.077564,1785211581.263699055,search_first_car,50,-25,-25,paper_search_first_vehicle,76,76,52,24,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,
2.165248,1785211581.377758980,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,53,21,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,,,,,,,
2.251939,1785211581.489497185,search_first_car,50,-25,-25,paper_search_first_vehicle,73,73,51,22,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,,,,,,,
2.345195,1785211581.601089954,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,51,23,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
2.432649,1785211581.715812206,search_first_car,50,-25,-25,paper_search_first_vehicle,76,76,52,24,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,,,,,,,
2.521285,1785211581.715812206,search_first_car,50,-25,-25,paper_search_first_vehicle,76,76,52,24,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,,,,,,,
2.610244,1785211581.826673985,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,51,23,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,,,,,,,
2.699859,1785211581.938205957,search_first_car,50,-25,-25,paper_search_first_vehicle,75,75,52,23,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,,,,,,,
2.788464,1785211582.053323030,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,52,22,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,,,,,,,
2.880805,1785211582.163975000,search_first_car,50,-25,-25,paper_search_first_vehicle,75,75,53,22,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
2.969480,1785211582.163975000,search_first_car,50,-25,-25,paper_search_first_vehicle,75,75,53,22,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
3.057795,1785211582.275983095,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,52,22,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,,,,,,,
3.147134,1785211582.390544891,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,52,22,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,,,,,,,
3.235548,1785211582.501919985,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,51,23,0,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,,,,,,,
3.324795,1785211582.613003016,search_first_car,50,-25,-25,paper_search_first_vehicle,75,75,50,25,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,,,,,,,
3.418737,1785211582.613003016,search_first_car,50,-25,-25,paper_search_first_vehicle,75,75,50,25,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,,,,,,,
3.507843,1785211582.727878809,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,51,23,0,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,,,,,,,
3.596727,1785211582.838927984,search_first_car,50,-25,-25,paper_search_first_vehicle,77,77,53,24,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,,,,,,,
3.684673,1785211582.951056957,search_first_car,50,-25,-25,paper_search_first_vehicle,76,76,52,24,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,,,,,,,
3.773262,1785211582.951056957,search_first_car,50,-25,-25,paper_search_first_vehicle,76,76,52,24,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,,,,,,,
3.862260,1785211583.065196037,search_first_car,50,-25,-25,paper_search_first_vehicle,74,74,54,20,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,,,,,,,
