timestamp,quality,angle_deg,distance_mm
1785211655.119019985,14,350.718750,4175.250
1785211655.119019985,12,352.359375,4185.250
1785211655.119019985,15,353.984375,4211.500
1785211655.119019985,15,355.640625,4234.250
1785211655.119019985,14,357.281250,4248.250
1785211655.119019985,14,358.921875,4307.500
1785211655.119019985,15,0.546875,4371.250
1785211655.119019985,15,2.218750,4367.250
1785211655.119019985,15,3.843750,4384.000
1785211655.119019985,15,5.484375,4428.750
1785211655.119019985,12,7.125000,4460.500
1785211655.119019985,9,8.750000,4520.250
1785211655.119019985,15,10.375000,4610.250
1785211655.119019985,15,12.015625,4688.500
1785211655.119019985,15,220.234375,5401.250
1785211655.119019985,15,223.546875,5069.750
1785211655.119019985,15,226.781250,4781.250
1785211655.119019985,15,228.437500,4666.750
1785211655.119019985,15,231.812500,3414.250
1785211655.119019985,15,233.437500,3414.750
1785211655.119019985,15,239.953125,3799.000
1785211655.119019985,15,241.609375,3744.750
1785211655.119019985,15,243.250000,3677.250
1785211655.119019985,15,244.890625,3604.750
1785211655.119019985,15,246.531250,3558.500
1785211655.119019985,15,248.171875,3519.750
1785211655.119019985,15,249.796875,3470.750
1785211655.119019985,15,251.484375,3429.500
1785211655.119019985,15,254.765625,3530.500
1785211655.119019985,15,256.375000,3545.500
1785211655.119019985,15,259.656250,3788.500
1785211655.119019985,15,261.281250,3773.000
1785211655.119019985,15,262.906250,3763.000
1785211655.119019985,15,264.562500,3745.000
1785211655.119019985,15,266.187500,3719.750
1785211655.119019985,15,267.843750,3718.500
1785211655.119019985,15,269.484375,3709.000
1785211655.119019985,15,271.093750,3682.000
1785211655.119019985,15,272.750000,3686.250
1785211655.119019985,15,274.390625,3713.250
1785211655.119019985,15,276.015625,3734.250
1785211655.119019985,15,277.640625,3741.750
1785211655.119019985,15,279.265625,3756.500
1785211655.119019985,15,280.921875,3778.000
1785211655.119019985,15,282.546875,3788.000
1785211655.119019985,15,284.171875,3807.250
1785211655.119019985,15,285.843750,3827.250
1785211655.119019985,15,287.453125,3809.250
1785211655.119019985,15,290.765625,3582.000
1785211655.119019985,15,294.078125,3310.000
1785211655.119019985,15,295.687500,3303.750
1785211655.119019985,15,297.328125,3349.750
1785211655.119019985,15,299.046875,3390.000
1785211655.119019985,15,300.656250,3447.250
1785211655.119019985,15,302.312500,3513.250
1785211655.119019985,15,303.937500,3575.000
1785211655.119019985,15,305.546875,3656.500
1785211655.119019985,15,308.781250,4292.250
1785211655.119019985,10,310.421875,4379.500
1785211655.119019985,9,321.921875,4188.500
1785211655.119019985,10,323.609375,4172.000
1785211655.119019985,11,325.250000,4141.500
1785211655.119019985,14,326.875000,4109.000
1785211655.119019985,8,328.515625,4087.500
1785211655.119019985,11,330.156250,4077.500
1785211655.119019985,15,331.828125,4052.500
1785211655.119019985,10,333.453125,4068.250
1785211655.119019985,15,335.109375,4113.000
1785211655.119019985,13,336.750000,4119.750
1785211655.119019985,14,338.359375,4120.750
1785211655.119019985,15,340.046875,4121.500
1785211655.119019985,15,341.656250,4127.500
1785211655.119019985,15,343.296875,4137.750
1785211655.119019985,15,344.937500,4146.500
1785211655.119019985,15,346.625000,4155.500
1785211655.119019985,15,348.265625,4164.500
1785211655.119019985,15,349.890625,4173.500
1785211655.340322018,10,350.484375,4175.750
1785211655.340322018,9,352.125000,4186.250
1785211655.340322018,15,353.750000,4207.000
1785211655.340322018,15,355.390625,4228.250
1785211655.340322018,15,357.031250,4237.250
1785211655.340322018,14,358.687500,4274.750
1785211655.340322018,15,0.296875,4345.750
1785211655.340322018,15,1.953125,4378.250
1785211655.340322018,14,3.609375,4367.000
1785211655.340322018,15,5.250000,4396.500
1785211655.340322018,15,6.875000,4452.500
1785211655.340322018,11,8.515625,4501.750
1785211655.340322018,11,10.156250,4585.250
1785211655.340322018,15,11.718750,4673.500
1785211655.340322018,15,223.000000,5111.250
1785211655.340322018,15,224.640625,4975.250
1785211655.340322018,15,227.937500,4692.250
1785211655.340322018,15,231.312500,3441.250
1785211655.340322018,15,232.937500,3426.250
1785211655.340322018,15,237.812500,3894.000
1785211655.340322018,15,239.437500,3810.000
1785211655.340322018,15,241.093750,3753.000
1785211655.340322018,15,242.718750,3691.750
1785211655.340322018,15,244.375000,3624.750
1785211655.340322018,15,246.015625,3575.000
1785211655.340322018,15,247.671875,3533.500
1785211655.340322018,15,249.312500,3479.500
1785211655.340322018,15,251.015625,3427.250
1785211655.340322018,15,254.250000,3538.750
1785211655.340322018,15,255.906250,3521.500
1785211655.340322018,15,259.156250,3777.000
