elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785211497.446040154,idle,0,0,-25,press_SPACE_to_start,78,78,53,25,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,
0.169425,1785211497.669173002,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,,,,,,,
0.265077,1785211497.786764145,idle,0,0,-25,press_SPACE_to_start,71,71,50,21,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,,,,,,,
0.352166,1785211497.895144939,idle,0,0,-25,press_SPACE_to_start,74,74,52,22,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
0.439940,1785211497.895144939,idle,0,0,-25,press_SPACE_to_start,74,74,52,22,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
0.491593,1785211498.006074905,idle,0,0,-25,press_SPACE_to_start,76,76,51,24,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,,,,,,,
0.576609,1785211498.117820978,idle,0,0,-25,press_SPACE_to_start,79,79,54,25,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,,,,,,,
0.664524,1785211498.117820978,idle,0,0,-25,press_SPACE_to_start,79,79,54,25,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,,,,,,,
0.756214,1785211498.231930017,idle,0,0,-25,press_SPACE_to_start,79,79,54,25,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,,,,,,,
0.843508,1785211498.343831062,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,,,,,,,
0.929092,1785211498.458623886,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
1.012603,1785211498.458623886,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
1.100137,1785211498.569020987,idle,0,0,-25,press_SPACE_to_start,76,76,53,23,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,,,,,,,
1.186603,1785211498.681038141,idle,0,0,-25,press_SPACE_to_start,77,77,52,25,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,,,,,,,
1.278586,1785211498.792994022,idle,0,0,-25,press_SPACE_to_start,79,79,52,27,0,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,,,,,,,
1.366636,1785211498.904254913,idle,0,0,-25,press_SPACE_to_start,72,72,51,21,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,,,,,,,
1.455511,1785211498.904254913,idle,0,0,-25,press_SPACE_to_start,72,72,51,21,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,,,,,,,
1.541914,1785211499.017725945,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,,,,,,,
1.631051,1785211499.130148172,idle,0,0,-25,press_SPACE_to_start,77,77,52,25,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,,,,,,,
1.719235,1785211499.241070032,idle,0,0,-25,press_SPACE_to_start,77,77,53,24,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,,,,,,,
1.812466,1785211499.352575064,idle,0,0,-25,press_SPACE_to_start,78,78,53,25,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,,,,,,,
1.900820,1785211499.352575064,idle,0,0,-25,press_SPACE_to_start,78,78,53,25,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,,,,,,,
1.990500,1785211499.466599941,idle,0,0,-25,press_SPACE_to_start,72,72,51,21,0,0,0,0,0,0,0,18,0,0,0,5,0,,,,,,,,,,,,
2.079064,1785211499.578631878,idle,0,0,-25,press_SPACE_to_start,74,74,51,23,0,0,0,0,0,0,0,19,0,0,0,5,0,,,,,,,,,,,,
2.166869,1785211499.690227032,idle,0,0,-25,press_SPACE_to_start,78,78,53,25,0,0,0,0,0,0,0,20,0,0,0,5,0,,,,,,,,,,,,
2.255423,1785211499.804741144,idle,0,0,-25,press_SPACE_to_start,77,77,51,26,0,0,0,0,0,0,0,21,0,0,0,5,0,,,,,,,,,,,,
2.349433,1785211499.804741144,idle,0,0,-25,press_SPACE_to_start,77,77,51,26,0,0,0,0,0,0,0,21,0,0,0,5,0,,,,,,,,,,,,
2.437940,1785211499.915240049,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,22,0,0,0,5,0,,,,,,,,,,,,
2.526851,1785211500.027365208,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,1,0,0,0,0,0,0,23,0,0,0,5,0,,,,,,,,,,,,
2.615492,1785211500.138644934,idle,0,0,-25,press_SPACE_to_start,76,76,51,25,1,0,0,0,0,0,0,24,0,0,0,5,0,,,,,,,,,,,,
2.704743,1785211500.253413200,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,0,0,0,0,0,0,0,25,0,0,0,5,0,,,,,,,,,,,,
2.793647,1785211500.253413200,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,0,0,0,0,0,0,0,25,0,0,0,5,0,,,,,,,,,,,,
2.886912,1785211500.364495039,idle,0,0,-25,press_SPACE_to_start,75,75,52,23,0,0,0,0,0,0,0,26,0,0,0,5,0,,,,,,,,,,,,
2.975700,1785211500.475215197,idle,0,0,-25,press_SPACE_to_start,77,77,52,25,0,0,0,0,0,0,0,27,0,0,0,5,0,,,,,,,,,,,,
3.064901,1785211500.590363979,idle,0,0,-25,press_SPACE_to_start,78,78,53,25,0,0,0,0,0,0,0,28,0,0,0,5,0,,,,,,,,,,,,
3.154151,1785211500.702074051,idle,0,0,-25,press_SPACE_to_start,75,75,53,22,0,0,0,0,0,0,0,29,0,0,0,5,0,,,,,,,,,,,,
3.243466,1785211500.702074051,idle,0,0,-25,press_SPACE_to_start,75,75,53,22,0,0,0,0,0,0,0,29,0,0,0,5,0,,,,,,,,,,,,
3.332775,1785211500.812453985,idle,0,0,-25,press_SPACE_to_start,77,77,52,25,0,0,0,0,0,0,0,30,0,0,0,5,0,,,,,,,,,,,,
3.426227,1785211500.924247026,idle,0,0,-25,press_SPACE_to_start,79,79,53,25,0,0,0,0,0,0,0,31,0,0,0,5,0,,,,,,,,,,,,
3.514723,1785211501.038903952,idle,0,0,-25,press_SPACE_to_start,78,78,53,25,0,0,0,0,0,0,0,32,0,0,0,5,0,,,,,,,,,,,,
3.603460,1785211501.150017977,idle,0,0,-25,press_SPACE_to_start,74,74,52,22,0,0,0,0,0,0,0,33,0,0,0,5,0,,,,,,,,,,,,
3.691977,1785211501.150017977,idle,0,0,-25,press_SPACE_to_start,74,74,52,22,0,0,0,0,0,0,0,33,0,0,0,5,0,,,,,,,,,,,,
3.779589,1785211501.262000799,idle,0,0,-25,press_SPACE_to_start,74,74,52,22,0,0,0,0,0,0,0,34,0,0,0,5,0,,,,,,,,,,,,
3.867446,1785211501.376451015,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,35,0,0,0,5,0,,,,,,,,,,,,
3.956427,1785211501.488105059,idle,0,0,-25,press_SPACE_to_start,77,77,54,23,0,0,0,0,0,0,0,36,0,0,0,5,0,,,,,,,,,,,,
4.044966,1785211501.488105059,idle,0,0,-25,press_SPACE_to_start,77,77,54,23,0,0,0,0,0,0,0,36,0,0,0,5,0,,,,,,,,,,,,
4.132819,1785211501.598829985,idle,0,0,-25,press_SPACE_to_start,72,72,50,22,0,0,0,0,0,0,0,37,0,0,0,5,0,,,,,,,,,,,,
4.221311,1785211501.710452080,idle,0,0,-25,press_SPACE_to_start,78,78,53,25,0,0,0,0,0,0,0,38,0,0,0,5,0,,,,,,,,,,,,
4.310012,1785211501.825381041,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,39,0,0,0,5,0,,,,,,,,,,,,
4.399084,1785211501.936671019,idle,0,0,-25,press_SPACE_to_start,73,73,51,22,0,0,0,0,0,0,0,40,0,0,0,5,0,,,,,,,,,,,,
4.492370,1785211501.936671019,idle,0,0,-25,press_SPACE_to_start,73,73,51,22,0,0,0,0,0,0,0,40,0,0,0,5,0,,,,,,,,,,,,
4.579593,1785211502.047939062,idle,0,0,-25,press_SPACE_to_start,77,77,52,25,0,0,0,0,0,0,0,41,0,0,0,5,0,,,,,,,,,,,,
4.667754,1785211502.162393093,idle,0,0,-25,press_SPACE_to_start,76,76,52,24,0,0,0,0,0,0,0,42,0,0,0,5,0,,,,,,,,,,,,
4.756427,1785211502.273126841,idle,0,0,-25,press_SPACE_to_start,77,77,53,24,0,0,0,0,0,0,0,43,0,0,0,5,0,,,,,,,,,,,,
