elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000005,1785212079.493236065,idle,0,0,-30,press_SPACE_to_start,76,76,51,25,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,
0.206972,1785212079.666115046,idle,0,0,-30,press_SPACE_to_start,71,71,48,23,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,,,,,,,
0.300049,1785212079.777528048,idle,0,0,-30,press_SPACE_to_start,72,72,49,23,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,,,,,,,
0.386131,1785212079.888563871,idle,0,0,-30,press_SPACE_to_start,70,70,49,21,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
0.472300,1785212079.888563871,idle,0,0,-30,press_SPACE_to_start,70,70,49,21,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
0.522648,1785212080.002711058,idle,0,0,-30,press_SPACE_to_start,76,76,49,27,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,,,,,,,
0.607493,1785212080.114184856,idle,0,0,-30,press_SPACE_to_start,73,73,49,24,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,,,,,,,
0.691644,1785212080.114184856,idle,0,0,-30,press_SPACE_to_start,73,73,49,24,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,,,,,,,
0.781775,1785212080.226255894,idle,0,0,-30,press_SPACE_to_start,70,70,48,22,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,,,,,,,
0.871628,1785212080.340494156,idle,0,0,-30,press_SPACE_to_start,68,68,45,23,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,,,,,,,
0.957546,1785212080.451991081,idle,0,0,-30,press_SPACE_to_start,70,70,46,24,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
1.043247,1785212080.451991081,idle,0,0,-30,press_SPACE_to_start,70,70,46,24,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
1.130049,1785212080.563539982,idle,0,0,-30,press_SPACE_to_start,70,70,47,23,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,,,,,,,
