timestamp,quality,angle_deg,distance_mm
1785212624.491731882,15,353.296875,3889.750
1785212624.491731882,15,354.953125,3923.500
1785212624.491731882,15,356.609375,3960.250
1785212624.491731882,14,358.250000,4004.500
1785212624.491731882,15,359.890625,4038.500
1785212624.491731882,15,1.531250,4078.500
1785212624.491731882,15,3.156250,4130.750
1785212624.491731882,15,4.796875,4166.000
1785212624.491731882,15,6.437500,4189.750
1785212624.491731882,11,8.093750,4248.500
1785212624.491731882,15,9.734375,4350.000
1785212624.491731882,14,11.343750,4425.000
1785212624.491731882,12,12.968750,4501.750
1785212624.491731882,15,223.156250,5389.750
1785212624.491731882,15,226.406250,5038.500
1785212624.491731882,15,229.703125,4760.000
1785212624.491731882,15,231.328125,4646.500
1785212624.491731882,15,234.750000,3383.250
1785212624.491731882,15,242.890625,3778.500
1785212624.491731882,15,244.546875,3712.250
1785212624.491731882,15,246.171875,3650.750
1785212624.491731882,15,247.828125,3587.250
1785212624.491731882,15,249.468750,3541.750
1785212624.491731882,15,251.203125,3490.750
1785212624.491731882,15,252.875000,3436.750
1785212624.491731882,15,254.515625,3397.000
1785212624.491731882,15,257.765625,3516.000
1785212624.491731882,15,259.437500,3497.250
1785212624.491731882,15,262.671875,3764.500
1785212624.491731882,15,264.328125,3747.750
1785212624.491731882,15,265.984375,3730.750
1785212624.491731882,15,267.625000,3713.750
1785212624.491731882,15,269.250000,3704.750
1785212624.491731882,15,270.937500,3691.750
1785212624.491731882,15,272.562500,3683.000
1785212624.491731882,15,274.203125,3694.500
1785212624.491731882,15,275.828125,3695.750
1785212624.491731882,15,277.437500,3696.000
1785212624.491731882,15,279.078125,3709.250
1785212624.491731882,15,280.718750,3723.750
1785212624.491731882,15,282.375000,3736.750
1785212624.491731882,15,284.000000,3755.000
1785212624.491731882,15,285.671875,3772.750
1785212624.491731882,15,287.312500,3798.500
1785212624.491731882,15,288.921875,3820.000
1785212624.491731882,15,290.578125,3819.250
1785212624.491731882,15,293.906250,3602.000
1785212624.491731882,15,298.937500,3292.250
1785212624.491731882,15,300.578125,3340.500
1785212624.491731882,15,302.234375,3387.000
1785212624.491731882,15,303.875000,3440.500
1785212624.491731882,15,305.531250,3493.500
1785212624.491731882,15,307.140625,3562.500
1785212624.491731882,15,308.781250,3651.750
1785212624.491731882,11,317.031250,3707.750
1785212624.491731882,13,318.687500,3700.000
1785212624.491731882,15,320.328125,3675.000
1785212624.491731882,15,321.984375,3650.500
1785212624.491731882,15,323.640625,3624.000
1785212624.491731882,13,325.296875,3618.000
1785212624.491731882,9,326.953125,3607.750
1785212624.491731882,9,328.593750,3596.750
