elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,distance_bias_ab_mm,angle_term,distance_term,paper_steering,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785212624.491731882,idle,0,0,-30,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,
0.182078,1785212624.714390039,idle,0,0,-30,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,,,,,,,
0.274536,1785212624.829480886,idle,0,0,-30,press_SPACE_to_start,78,78,54,24,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,,,,,,,
0.363513,1785212624.829480886,idle,0,0,-30,press_SPACE_to_start,78,78,54,24,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,,,,,,,
0.452075,1785212624.940114975,idle,0,0,-30,press_SPACE_to_start,77,77,55,22,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,,,,,,,
0.505771,1785212625.051256180,idle,0,0,-30,press_SPACE_to_start,76,76,55,21,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,,,,,,,
0.593366,1785212625.051256180,idle,0,0,-30,press_SPACE_to_start,76,76,55,21,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,,,,,,,
0.679579,1785212625.163053036,idle,0,0,-30,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,,,,,,,
0.772338,1785212625.274333954,idle,0,0,-30,press_SPACE_to_start,74,74,55,19,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,,,,,,,
0.859515,1785212625.388632059,idle,0,0,-30,press_SPACE_to_start,74,74,55,19,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,,,,,,,
0.947398,1785212625.500693083,idle,0,0,-30,press_SPACE_to_start,76,76,55,21,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
1.034899,1785212625.500693083,idle,0,0,-30,press_SPACE_to_start,76,76,55,21,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,,,,,,,
1.123954,1785212625.611804962,idle,0,0,-30,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,,,,,,,
1.212950,1785212625.722875834,idle,0,0,-30,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,,,,,,,
1.302360,1785212625.837812901,idle,0,0,-30,press_SPACE_to_start,73,73,54,19,0,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,,,,,,,
1.390625,1785212625.948819876,idle,0,0,-30,press_SPACE_to_start,76,76,54,22,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,,,,,,,
1.479097,1785212625.948819876,idle,0,0,-30,press_SPACE_to_start,76,76,54,22,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,,,,,,,
1.564938,1785212626.060898066,idle,0,0,-30,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,,,,,,,
1.653296,1785212626.171530008,idle,0,0,-30,press_SPACE_to_start,76,76,55,21,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,,,,,,,
1.741897,1785212626.283312798,idle,0,0,-30,press_SPACE_to_start,76,76,55,21,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,,,,,,,
1.835717,1785212626.397469044,idle,0,0,-30,press_SPACE_to_start,73,73,55,18,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,,,,,,,
1.923410,1785212626.397469044,idle,0,0,-30,press_SPACE_to_start,73,73,55,18,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,,,,,,,
2.011869,1785212626.509070158,idle,0,0,-30,press_SPACE_to_start,77,77,54,23,0,0,0,0,0,0,0,18,0,0,0,5,0,,,,,,,,,,,,
2.100792,1785212626.621078014,idle,0,0,-30,press_SPACE_to_start,75,75,54,21,0,0,0,0,0,0,0,19,0,0,0,5,0,,,,,,,,,,,,
2.189199,1785212626.731943846,idle,0,0,-30,press_SPACE_to_start,79,79,54,25,0,0,0,0,0,0,0,20,0,0,0,5,0,,,,,,,,,,,,
2.277832,1785212626.843526840,idle,0,0,-30,press_SPACE_to_start,78,78,54,24,0,0,0,0,0,0,0,21,0,0,0,5,0,,,,,,,,,,,,
