timestamp,quality,angle_deg,distance_mm
1785214213.002068043,15,351.562500,3598.500
1785214213.002068043,8,353.187500,3650.750
1785214213.002068043,15,356.453125,3883.250
1785214213.002068043,15,358.093750,3930.750
1785214213.002068043,11,359.750000,3996.250
1785214213.002068043,15,1.390625,4062.250
1785214213.002068043,15,3.015625,4114.250
1785214213.002068043,14,4.671875,4155.000
1785214213.002068043,11,6.312500,4180.250
1785214213.002068043,14,9.593750,4365.750
1785214213.002068043,11,11.218750,4436.500
1785214213.002068043,13,188.781250,10154.000
1785214213.002068043,15,223.500000,5375.750
1785214213.002068043,15,226.765625,5031.750
1785214213.002068043,15,230.078125,4761.250
1785214213.002068043,15,231.718750,4644.000
1785214213.002068043,15,235.140625,3369.250
1785214213.002068043,12,236.765625,3336.750
1785214213.002068043,15,241.640625,3838.750
1785214213.002068043,15,243.281250,3772.500
1785214213.002068043,15,244.921875,3711.250
1785214213.002068043,15,246.578125,3640.500
1785214213.002068043,15,248.234375,3576.250
1785214213.002068043,15,249.875000,3523.250
1785214213.002068043,15,251.531250,3472.250
1785214213.002068043,15,253.171875,3425.000
1785214213.002068043,15,254.812500,3387.000
1785214213.002068043,15,258.109375,3484.250
1785214213.002068043,15,259.765625,3441.250
1785214213.002068043,15,263.015625,3691.500
1785214213.002068043,15,264.671875,3731.000
1785214213.002068043,15,266.296875,3698.500
1785214213.002068043,15,267.953125,3670.000
1785214213.002068043,15,269.593750,3664.500
1785214213.002068043,15,271.234375,3661.750
1785214213.002068043,15,272.875000,3658.250
1785214213.002068043,15,274.562500,3649.750
1785214213.002068043,15,276.187500,3652.750
1785214213.002068043,15,277.812500,3661.750
1785214213.002068043,15,279.468750,3678.500
1785214213.002068043,15,281.109375,3697.500
1785214213.002068043,15,282.750000,3713.000
1785214213.002068043,15,284.406250,3733.000
1785214213.002068043,15,286.046875,3747.250
1785214213.002068043,15,287.671875,3767.000
1785214213.002068043,15,289.312500,3795.500
1785214213.002068043,15,290.968750,3829.000
1785214213.002068043,15,294.281250,3620.000
1785214213.002068043,15,295.921875,3518.500
1785214213.002068043,15,299.359375,3259.500
1785214213.002068043,15,301.000000,3306.000
1785214213.002068043,15,302.671875,3356.750
1785214213.002068043,15,304.296875,3409.500
1785214213.002068043,15,305.937500,3470.500
1785214213.002068043,15,307.609375,3538.000
1785214213.002068043,13,309.218750,3605.000
1785214213.002068043,15,315.859375,3597.500
1785214213.002068043,15,319.187500,3417.750
1785214213.002068043,15,324.156250,3108.500
1785214213.002068043,15,327.484375,3001.250
1785214213.002068043,15,334.015625,3459.750
1785214213.002068043,15,335.656250,3504.750
1785214213.002068043,15,337.296875,3519.500
1785214213.002068043,15,338.953125,3527.000
1785214213.002068043,15,340.625000,3533.000
1785214213.002068043,15,342.265625,3545.750
1785214213.002068043,8,343.906250,3564.750
1785214213.002068043,11,345.546875,3587.500
1785214213.002068043,8,347.171875,3611.000
1785214213.002068043,13,348.812500,3622.750
1785214213.102684021,15,350.468750,3612.500
1785214213.102684021,15,352.125000,3603.750
1785214213.102684021,15,355.390625,3863.250
1785214213.102684021,15,357.046875,3906.500
1785214213.102684021,13,358.671875,3972.250
1785214213.102684021,15,0.312500,4047.500
1785214213.102684021,15,1.968750,4101.500
1785214213.102684021,15,3.625000,4145.000
1785214213.102684021,15,5.265625,4174.000
1785214213.102684021,15,10.187500,4414.000
1785214213.102684021,9,11.796875,4495.750
1785214213.102684021,15,227.296875,4984.250
1785214213.102684021,15,230.609375,4711.750
1785214213.102684021,15,232.265625,4599.000
1785214213.102684021,15,235.671875,3366.000
1785214213.102684021,15,237.312500,3364.750
1785214213.102684021,15,243.812500,3740.750
1785214213.102684021,15,245.484375,3686.750
1785214213.102684021,15,247.125000,3614.500
1785214213.102684021,15,248.781250,3557.000
1785214213.102684021,15,250.453125,3511.500
1785214213.102684021,15,252.078125,3466.000
1785214213.102684021,15,253.718750,3423.750
1785214213.102684021,15,255.390625,3380.500
1785214213.102684021,15,258.656250,3470.500
1785214213.102684021,15,260.312500,3485.250
1785214213.102684021,15,263.562500,3752.250
1785214213.102684021,15,265.203125,3730.250
1785214213.102684021,15,266.843750,3705.000
1785214213.102684021,15,268.515625,3683.500
1785214213.102684021,15,270.156250,3669.000
1785214213.102684021,15,271.796875,3655.000
1785214213.102684021,15,273.421875,3658.750
1785214213.102684021,15,275.093750,3667.250
1785214213.102684021,15,276.750000,3664.250
1785214213.102684021,15,278.359375,3659.500
1785214213.102684021,15,280.000000,3666.500
1785214213.102684021,15,281.656250,3703.750
1785214213.102684021,15,283.296875,3728.750
1785214213.102684021,15,284.921875,3746.000
1785214213.102684021,15,286.578125,3763.500
1785214213.102684021,15,288.234375,3781.750
1785214213.102684021,15,289.859375,3802.500
1785214213.102684021,15,291.515625,3815.750
1785214213.102684021,15,294.843750,3587.000
1785214213.102684021,15,299.890625,3279.500
1785214213.102684021,15,301.531250,3322.250
1785214213.102684021,15,303.187500,3363.000
1785214213.102684021,15,304.812500,3415.750
1785214213.102684021,15,306.453125,3478.500
1785214213.102684021,15,308.109375,3554.000
1785214213.102684021,15,309.750000,3637.250
1785214213.102684021,15,319.671875,3427.750
1785214213.102684021,15,323.031250,3130.500
1785214213.102684021,14,324.687500,3099.500
1785214213.102684021,15,326.312500,3046.000
1785214213.102684021,15,328.000000,3000.750
1785214213.102684021,15,334.515625,3486.750
1785214213.102684021,15,336.187500,3493.500
1785214213.102684021,15,337.812500,3525.750
1785214213.102684021,12,339.468750,3550.250
1785214213.102684021,10,341.125000,3556.500
1785214213.102684021,15,342.765625,3561.000
1785214213.102684021,13,344.406250,3569.250
1785214213.102684021,10,346.078125,3594.000
1785214213.102684021,11,347.734375,3624.750
1785214213.102684021,13,349.359375,3624.250
1785214213.213870049,15,351.000000,3602.250
1785214213.213870049,15,355.953125,3895.000
1785214213.213870049,15,357.593750,3949.750
1785214213.213870049,12,359.218750,4013.500
1785214213.213870049,15,0.859375,4070.250
1785214213.213870049,15,2.515625,4120.500
1785214213.213870049,13,4.171875,4157.000
1785214213.213870049,12,5.812500,4196.000
1785214213.213870049,11,7.453125,4281.000
1785214213.213870049,13,9.093750,4361.500
1785214213.213870049,15,10.718750,4418.000
1785214213.213870049,15,203.171875,10228.500
1785214213.213870049,15,227.968750,4924.250
1785214213.213870049,15,229.625000,4789.750
1785214213.213870049,15,231.281250,4672.250
1785214213.213870049,15,234.671875,3386.250
1785214213.213870049,15,236.328125,3323.750
