elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000004,1785214752.122452974,idle,0,0,-27,press_SPACE_to_start,79,79,55,24,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.171359,1785214752.231942892,idle,0,0,-27,press_SPACE_to_start,82,82,57,25,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.266173,1785214752.343642950,idle,0,0,-27,press_SPACE_to_start,81,81,55,26,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.354249,1785214752.457250118,idle,0,0,-27,press_SPACE_to_start,81,81,54,27,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.442356,1785214752.568752050,idle,0,0,-27,press_SPACE_to_start,81,81,56,25,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.497916,1785214752.568752050,idle,0,0,-27,press_SPACE_to_start,81,81,56,25,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.581488,1785214752.680869818,idle,0,0,-27,press_SPACE_to_start,76,76,55,21,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.665934,1785214752.791543961,idle,0,0,-27,press_SPACE_to_start,77,77,55,22,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.758577,1785214752.791543961,idle,0,0,-27,press_SPACE_to_start,77,77,55,22,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.846216,1785214752.902693033,idle,0,0,-27,press_SPACE_to_start,78,78,56,22,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
0.935246,1785214753.018023968,idle,0,0,-27,press_SPACE_to_start,79,79,57,22,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.023214,1785214753.129802942,idle,0,0,-27,press_SPACE_to_start,80,80,55,25,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.112054,1785214753.129802942,idle,0,0,-27,press_SPACE_to_start,80,80,55,25,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.201211,1785214753.241827011,idle,0,0,-27,press_SPACE_to_start,80,80,54,26,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
1.294328,1785214753.352149963,idle,0,0,-27,press_SPACE_to_start,76,76,54,22,0,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,,,
