elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000005,1785215849.873593092,idle,0,0,-29,press_SPACE_to_start,80,80,57,23,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.200263,1785215850.067706108,idle,0,0,-29,press_SPACE_to_start,76,76,56,20,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.293939,1785215850.178911924,idle,0,0,-29,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.379399,1785215850.178911924,idle,0,0,-29,press_SPACE_to_start,75,75,55,20,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.463676,1785215850.292671919,idle,0,0,-29,press_SPACE_to_start,79,79,55,24,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.514186,1785215850.292671919,idle,0,0,-29,press_SPACE_to_start,79,79,55,24,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.598478,1785215850.403871059,idle,0,0,-29,press_SPACE_to_start,76,76,56,20,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.685170,1785215850.515629053,idle,0,0,-29,press_SPACE_to_start,80,80,56,24,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.775796,1785215850.627681017,idle,0,0,-29,press_SPACE_to_start,79,79,57,22,0,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.863264,1785215850.738893032,idle,0,0,-29,press_SPACE_to_start,83,83,57,26,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
0.949017,1785215850.738893032,idle,0,0,-29,press_SPACE_to_start,83,83,57,26,0,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.034247,1785215850.853329897,idle,0,0,-29,press_SPACE_to_start,78,78,55,23,0,0,0,0,0,0,0,9,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.120165,1785215850.964191914,idle,0,0,-29,press_SPACE_to_start,81,81,58,23,0,0,0,0,0,0,0,10,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.206216,1785215851.075813055,idle,0,0,-29,press_SPACE_to_start,81,81,58,23,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.298216,1785215851.075813055,idle,0,0,-29,press_SPACE_to_start,81,81,58,23,0,0,0,0,0,0,0,11,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.385138,1785215851.186746120,idle,0,0,-29,press_SPACE_to_start,78,78,57,21,0,0,0,0,0,0,0,12,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.472719,1785215851.298356056,idle,0,0,-29,press_SPACE_to_start,76,76,56,20,0,0,0,0,0,0,0,13,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.559639,1785215851.413148880,idle,0,0,-29,press_SPACE_to_start,80,80,57,23,0,0,0,0,0,0,0,14,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.645868,1785215851.524602890,idle,0,0,-29,press_SPACE_to_start,79,79,57,22,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.732417,1785215851.524602890,idle,0,0,-29,press_SPACE_to_start,79,79,57,22,0,0,0,0,0,0,0,15,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.824566,1785215851.635801077,idle,0,0,-29,press_SPACE_to_start,81,81,58,23,0,0,0,0,0,0,0,16,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.911646,1785215851.746922970,idle,0,0,-29,press_SPACE_to_start,80,80,58,22,0,0,0,0,0,0,0,17,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
1.998888,1785215851.859237909,idle,0,0,-29,press_SPACE_to_start,78,78,55,23,0,0,0,0,0,0,0,18,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
2.083695,1785215851.859237909,idle,0,0,-29,press_SPACE_to_start,78,78,55,23,0,0,0,0,0,0,0,18,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,0,0,0,0,0,,,
