timestamp,quality,angle_deg,distance_mm
1785216375.693741083,15,350.437500,3551.750
1785216375.693741083,15,352.109375,3535.500
1785216375.693741083,9,355.359375,3772.250
1785216375.693741083,15,357.015625,3832.500
1785216375.693741083,15,358.656250,3886.000
1785216375.693741083,15,0.296875,3911.500
1785216375.693741083,15,1.937500,3933.000
1785216375.693741083,14,3.593750,3960.750
1785216375.693741083,12,5.234375,4018.250
1785216375.693741083,15,6.875000,4086.750
1785216375.693741083,15,8.500000,4134.250
1785216375.693741083,15,10.171875,4210.500
1785216375.693741083,15,11.765625,4325.250
1785216375.693741083,15,13.406250,4402.750
1785216375.693741083,8,180.921875,10127.250
1785216375.693741083,15,225.468750,5011.000
1785216375.693741083,15,228.781250,4740.250
1785216375.693741083,15,233.812500,3396.250
1785216375.693741083,12,235.468750,3382.250
1785216375.693741083,15,238.687500,3924.000
1785216375.693741083,15,240.359375,3851.000
1785216375.693741083,15,242.000000,3770.750
1785216375.693741083,15,243.625000,3717.000
1785216375.693741083,15,245.296875,3658.500
1785216375.693741083,15,246.953125,3593.000
1785216375.693741083,15,248.578125,3546.500
1785216375.693741083,15,250.250000,3506.750
1785216375.693741083,15,251.937500,3453.250
1785216375.693741083,15,253.562500,3442.750
1785216375.693741083,15,255.218750,3492.250
1785216375.693741083,15,256.859375,3506.500
1785216375.693741083,15,258.515625,3539.500
1785216375.693741083,15,261.765625,3782.750
1785216375.693741083,15,263.437500,3762.750
1785216375.693741083,15,265.062500,3737.000
1785216375.693741083,15,266.718750,3717.250
1785216375.693741083,15,268.375000,3713.000
1785216375.693741083,15,270.000000,3724.000
1785216375.693741083,15,271.656250,3714.750
1785216375.693741083,15,273.328125,3695.250
1785216375.693741083,15,274.921875,3688.000
1785216375.693741083,15,276.562500,3711.000
1785216375.693741083,15,278.187500,3737.000
1785216375.693741083,15,279.843750,3751.750
1785216375.693741083,15,281.500000,3784.250
1785216375.693741083,15,283.125000,3792.250
1785216375.693741083,15,284.765625,3787.250
1785216375.693741083,15,286.421875,3802.750
1785216375.693741083,15,288.062500,3836.250
1785216375.693741083,15,293.015625,3532.750
1785216375.693741083,15,296.359375,3279.250
1785216375.693741083,15,298.000000,3326.750
1785216375.693741083,15,299.718750,3371.500
1785216375.693741083,15,301.375000,3407.500
1785216375.693741083,15,303.000000,3462.250
1785216375.693741083,15,304.640625,3526.750
1785216375.693741083,15,306.265625,3601.250
1785216375.693741083,15,307.921875,3689.250
1785216375.693741083,15,312.890625,3693.500
1785216375.693741083,7,314.562500,3621.750
1785216375.693741083,7,316.187500,3571.750
1785216375.693741083,15,317.859375,3536.750
1785216375.693741083,15,319.515625,3508.750
1785216375.693741083,15,321.156250,3493.750
1785216375.693741083,15,322.765625,3487.000
1785216375.693741083,15,324.421875,3484.000
1785216375.693741083,15,326.078125,3461.500
1785216375.693741083,15,327.718750,3446.750
1785216375.693741083,15,329.375000,3453.500
1785216375.693741083,15,331.015625,3459.500
1785216375.693741083,15,332.656250,3451.250
1785216375.693741083,9,334.312500,3448.750
1785216375.693741083,15,335.953125,3467.500
1785216375.693741083,15,337.625000,3492.250
1785216375.693741083,15,339.265625,3495.250
1785216375.693741083,15,340.890625,3500.000
1785216375.693741083,15,342.546875,3518.750
1785216375.693741083,15,344.203125,3534.000
1785216375.693741083,15,345.843750,3541.500
1785216375.693741083,12,347.484375,3548.750
1785216375.693741083,15,349.140625,3567.000
1785216375.919814825,15,351.109375,3546.750
1785216375.919814825,12,354.375000,3704.000
1785216375.919814825,9,356.031250,3787.500
1785216375.919814825,15,357.687500,3850.250
1785216375.919814825,15,359.328125,3890.250
1785216375.919814825,15,0.968750,3913.750
1785216375.919814825,15,2.625000,3939.000
1785216375.919814825,12,4.265625,3970.500
1785216375.919814825,13,5.921875,4019.750
1785216375.919814825,15,7.562500,4090.500
1785216375.919814825,15,9.187500,4144.250
1785216375.919814825,11,10.750000,4220.750
1785216375.919814825,12,12.390625,4332.500
1785216375.919814825,11,14.015625,4405.000
1785216375.919814825,7,179.906250,10209.250
1785216375.919814825,11,181.546875,10149.750
1785216375.919814825,15,199.640625,10197.250
1785216375.919814825,15,227.734375,4830.000
1785216375.919814825,15,229.390625,4700.500
1785216375.919814825,15,234.437500,3394.250
1785216375.919814825,15,239.312500,3889.500
1785216375.919814825,15,240.953125,3813.000
1785216375.919814825,15,242.625000,3740.500
1785216375.919814825,15,244.265625,3681.000
1785216375.919814825,15,245.921875,3629.000
1785216375.919814825,15,247.562500,3582.000
1785216375.919814825,15,249.218750,3528.750
1785216375.919814825,15,250.875000,3477.000
1785216375.919814825,15,252.531250,3431.750
1785216375.919814825,15,255.812500,3532.000
1785216375.919814825,15,257.468750,3520.000
1785216375.919814825,15,260.718750,3775.750
