timestamp,quality,angle_deg,distance_mm
1785216463.863080025,15,350.687500,3556.250
1785216463.863080025,15,352.359375,3538.750
1785216463.863080025,15,354.000000,3548.000
1785216463.863080025,12,357.265625,3806.250
1785216463.863080025,15,358.906250,3873.500
1785216463.863080025,15,0.562500,3913.500
1785216463.863080025,15,2.171875,3943.000
1785216463.863080025,14,3.812500,3982.750
1785216463.863080025,13,5.453125,4021.500
1785216463.863080025,15,7.125000,4070.250
1785216463.863080025,15,8.734375,4141.750
1785216463.863080025,13,10.375000,4228.250
1785216463.863080025,15,11.937500,4340.500
1785216463.863080025,14,13.593750,4429.500
1785216463.863080025,15,200.812500,10359.250
1785216463.863080025,15,222.312500,5415.000
1785216463.863080025,15,227.265625,4903.000
1785216463.863080025,15,228.921875,4780.500
1785216463.863080025,15,230.578125,4673.250
1785216463.863080025,15,233.953125,3429.750
1785216463.863080025,15,235.609375,3395.000
1785216463.863080025,15,240.484375,3879.750
1785216463.863080025,15,242.140625,3808.250
1785216463.863080025,15,243.812500,3752.500
1785216463.863080025,15,245.453125,3690.500
1785216463.863080025,15,247.109375,3610.250
1785216463.863080025,15,248.750000,3562.000
1785216463.863080025,15,250.390625,3524.750
1785216463.863080025,15,252.031250,3474.250
1785216463.863080025,15,253.703125,3424.500
1785216463.863080025,15,256.968750,3535.250
1785216463.863080025,15,258.609375,3539.500
1785216463.863080025,15,261.875000,3782.000
1785216463.863080025,15,263.515625,3765.250
1785216463.863080025,15,265.156250,3756.500
1785216463.863080025,15,266.812500,3739.250
1785216463.863080025,15,268.468750,3731.000
1785216463.863080025,15,270.109375,3723.250
1785216463.863080025,15,271.734375,3717.000
1785216463.863080025,15,273.375000,3728.500
1785216463.863080025,15,274.984375,3721.250
1785216463.863080025,15,276.609375,3708.750
1785216463.863080025,15,278.250000,3721.750
1785216463.863080025,15,279.906250,3748.000
1785216463.863080025,15,281.531250,3772.000
1785216463.863080025,15,283.187500,3783.750
1785216463.863080025,15,284.812500,3785.500
1785216463.863080025,15,286.468750,3800.500
1785216463.863080025,15,288.078125,3833.500
1785216463.863080025,15,289.718750,3831.250
1785216463.863080025,15,293.031250,3608.750
1785216463.863080025,15,298.000000,3302.000
1785216463.863080025,15,299.781250,3352.250
1785216463.863080025,15,301.406250,3403.500
1785216463.863080025,15,303.062500,3462.500
1785216463.863080025,15,304.703125,3516.750
1785216463.863080025,15,306.343750,3583.500
1785216463.863080025,12,307.984375,3639.000
1785216463.863080025,11,312.937500,3596.750
1785216463.863080025,12,314.593750,3529.250
1785216463.863080025,15,316.250000,3504.500
1785216463.863080025,15,317.890625,3464.250
1785216463.863080025,9,319.562500,3428.750
1785216463.863080025,5,321.218750,3410.250
1785216463.863080025,15,322.890625,3410.250
1785216463.863080025,14,324.546875,3409.000
