elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm
0.000026,1785216609.584906101,idle,0,0,-29,press_SPACE_to_start,75,75,51,24,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.182708,1785216609.673253059,idle,0,0,-29,press_SPACE_to_start,73,73,48,25,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.277224,1785216609.785329819,idle,0,0,-29,press_SPACE_to_start,73,73,50,23,1,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.364534,1785216609.896626949,idle,0,0,-29,press_SPACE_to_start,73,73,49,24,1,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.452206,1785216610.007678986,idle,0,0,-29,press_SPACE_to_start,72,72,48,24,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.502331,1785216610.007678986,idle,0,0,-29,press_SPACE_to_start,72,72,48,24,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.582181,1785216610.123158932,search_first_car,50,-29,-29,paper_search_first_vehicle,76,76,53,23,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.667429,1785216610.233590126,search_first_car,50,-29,-29,paper_search_first_vehicle,71,71,48,23,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.757056,1785216610.233590126,search_first_car,50,-29,-29,paper_search_first_vehicle,71,71,48,23,0,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.846267,1785216610.345930099,search_first_car,50,-29,-29,paper_search_first_vehicle,73,73,50,23,0,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
0.933964,1785216610.456892014,search_first_car,50,-29,-29,paper_search_first_vehicle,71,71,50,21,0,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
1.022699,1785216610.568295002,search_first_car,50,-29,-29,paper_search_first_vehicle,75,75,50,25,0,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
1.112810,1785216610.682070971,search_first_car,50,-29,-29,paper_search_first_vehicle,72,72,48,24,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
1.203911,1785216610.682070971,search_first_car,50,-29,-29,paper_search_first_vehicle,72,72,48,24,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
1.298379,1785216610.682070971,search_first_car,50,-29,-29,paper_search_first_vehicle,72,72,48,24,0,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,
