timestamp,quality,angle_deg,distance_mm
1785218568.734287977,15,351.625000,3854.500
1785218568.734287977,15,353.265625,3904.750
1785218568.734287977,14,354.890625,3945.000
1785218568.734287977,13,356.546875,4003.500
1785218568.734287977,15,358.203125,4055.750
1785218568.734287977,15,359.843750,4099.000
1785218568.734287977,15,1.500000,4135.000
1785218568.734287977,15,3.156250,4166.000
1785218568.734287977,10,4.796875,4208.250
1785218568.734287977,11,6.453125,4280.500
1785218568.734287977,15,8.093750,4357.500
1785218568.734287977,15,9.734375,4416.000
1785218568.734287977,13,11.296875,4512.500
1785218568.734287977,15,12.921875,4641.000
1785218568.734287977,15,200.546875,10256.750
1785218568.734287977,15,225.312500,5012.750
1785218568.734287977,15,228.609375,4720.000
1785218568.734287977,15,233.656250,3395.750
1785218568.734287977,15,235.312500,3385.750
1785218568.734287977,15,238.546875,3910.500
1785218568.734287977,15,240.203125,3835.250
1785218568.734287977,15,241.828125,3766.000
1785218568.734287977,15,243.515625,3697.750
1785218568.734287977,15,245.156250,3634.000
1785218568.734287977,15,246.796875,3577.500
1785218568.734287977,15,248.453125,3529.000
1785218568.734287977,15,250.109375,3491.000
1785218568.734287977,15,251.796875,3438.250
1785218568.734287977,15,253.406250,3430.250
1785218568.734287977,15,255.062500,3481.250
1785218568.734287977,15,256.718750,3492.750
1785218568.734287977,15,261.640625,3779.500
1785218568.734287977,15,263.265625,3756.000
1785218568.734287977,15,264.921875,3733.500
1785218568.734287977,15,266.562500,3730.750
1785218568.734287977,15,268.218750,3712.250
1785218568.734287977,15,269.859375,3673.000
1785218568.734287977,15,271.515625,3675.000
1785218568.734287977,15,273.140625,3691.750
1785218568.734287977,15,274.718750,3688.000
1785218568.734287977,15,276.375000,3690.500
1785218568.734287977,15,278.015625,3717.250
1785218568.734287977,15,279.671875,3735.500
1785218568.734287977,15,281.296875,3749.250
1785218568.734287977,15,282.953125,3764.000
1785218568.734287977,15,284.578125,3778.500
1785218568.734287977,15,286.218750,3798.750
1785218568.734287977,15,287.875000,3835.250
1785218568.734287977,15,289.500000,3806.750
1785218568.734287977,15,292.828125,3579.000
1785218568.734287977,15,296.109375,3276.000
1785218568.734287977,15,297.781250,3317.000
1785218568.734287977,15,299.484375,3360.750
1785218568.734287977,15,301.140625,3395.750
1785218568.734287977,15,302.765625,3455.750
1785218568.734287977,15,304.406250,3526.500
1785218568.734287977,15,306.078125,3601.000
1785218568.734287977,15,307.687500,3677.500
1785218568.734287977,13,314.296875,3691.500
1785218568.734287977,15,315.953125,3662.000
1785218568.734287977,7,317.593750,3628.250
1785218568.734287977,10,319.250000,3603.000
1785218568.734287977,8,320.906250,3581.750
1785218568.734287977,14,322.609375,3556.250
1785218568.734287977,15,324.265625,3545.250
1785218568.734287977,11,325.906250,3535.000
1785218568.734287977,9,327.562500,3524.500
1785218568.734287977,15,329.203125,3528.750
1785218568.734287977,15,330.859375,3537.250
1785218568.734287977,13,332.515625,3548.500
1785218568.734287977,15,334.171875,3556.500
1785218568.734287977,9,335.812500,3563.750
1785218568.734287977,12,337.468750,3572.000
1785218568.734287977,11,339.109375,3580.750
1785218568.734287977,15,340.750000,3600.750
1785218568.734287977,15,342.421875,3624.500
1785218568.734287977,15,344.078125,3643.250
1785218568.734287977,13,345.718750,3640.000
1785218568.734287977,15,347.343750,3613.500
1785218568.928505182,14,351.375000,3857.250
1785218568.928505182,15,353.031250,3902.250
1785218568.928505182,14,354.671875,3930.250
1785218568.928505182,13,356.328125,3983.250
1785218568.928505182,10,357.953125,4039.000
1785218568.928505182,15,359.609375,4086.000
1785218568.928505182,15,1.250000,4129.500
1785218568.928505182,15,2.875000,4158.000
1785218568.928505182,15,4.546875,4188.750
1785218568.928505182,9,6.171875,4253.000
