timestamp,quality,angle_deg,distance_mm
1785219424.547073126,15,351.687500,3096.000
1785219424.547073126,15,353.328125,3119.750
1785219424.547073126,15,354.968750,3125.500
1785219424.547073126,15,356.640625,3122.750
1785219424.547073126,12,359.921875,3268.500
1785219424.547073126,15,225.000000,5056.250
1785219424.547073126,15,230.046875,3657.750
1785219424.547073126,15,234.890625,4108.750
1785219424.547073126,15,236.562500,4018.000
1785219424.547073126,15,238.187500,3938.750
1785219424.547073126,15,239.828125,3880.500
1785219424.547073126,15,241.500000,3799.000
1785219424.547073126,15,243.125000,3741.000
1785219424.547073126,15,244.781250,3699.000
1785219424.547073126,15,246.453125,3626.250
1785219424.547073126,15,248.078125,3634.500
1785219424.547073126,15,249.718750,3684.000
1785219424.547073126,15,251.453125,3650.750
1785219424.547073126,15,254.703125,3846.750
1785219424.547073126,15,256.359375,3884.000
1785219424.547073126,15,258.015625,3848.000
1785219424.547073126,15,259.671875,3819.500
1785219424.547073126,15,261.296875,3805.750
1785219424.547073126,15,262.937500,3794.500
1785219424.547073126,15,264.609375,3787.000
1785219424.547073126,15,266.265625,3772.750
1785219424.547073126,15,267.890625,3771.500
1785219424.547073126,15,269.546875,3764.750
1785219424.547073126,15,271.187500,3758.000
1785219424.547073126,15,272.859375,3752.750
1785219424.547073126,15,274.437500,3748.750
1785219424.547073126,15,276.078125,3767.500
1785219424.547073126,15,277.734375,3776.250
1785219424.547073126,15,279.375000,3782.500
1785219424.547073126,15,281.000000,3791.500
1785219424.547073126,15,282.640625,3804.750
1785219424.547073126,15,285.968750,3551.250
1785219424.547073126,15,289.312500,3202.250
1785219424.547073126,15,290.953125,3197.250
1785219424.547073126,15,292.578125,3226.750
1785219424.547073126,15,294.218750,3275.750
1785219424.547073126,15,295.843750,3322.250
1785219424.547073126,15,297.500000,3360.000
1785219424.547073126,15,299.203125,3398.500
1785219424.547073126,15,300.828125,3462.250
1785219424.547073126,14,307.453125,3370.500
1785219424.547073126,15,309.093750,3311.250
1785219424.547073126,8,310.765625,3245.250
1785219424.547073126,10,312.421875,3199.000
1785219424.547073126,12,314.078125,3183.750
1785219424.547073126,15,315.734375,3161.000
1785219424.547073126,15,317.343750,3127.750
1785219424.547073126,15,319.046875,3111.750
1785219424.547073126,8,320.671875,3086.000
1785219424.547073126,9,322.328125,3054.500
1785219424.547073126,8,323.984375,3046.250
1785219424.547073126,10,325.656250,3042.750
1785219424.547073126,14,327.296875,3039.500
1785219424.547073126,11,328.968750,3035.500
1785219424.547073126,11,330.593750,3031.000
1785219424.547073126,8,332.265625,2993.750
