elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm,cd_balance_ratio,cd_balance_error,cd_balance_span,cd_center_ready_scans,left_side_heading_deg,left_side_line_points,left_side_line_extent_mm,left_side_line_linearity,right_side_heading_deg,right_side_line_points,right_side_line_extent_mm,right_side_line_linearity,observed_slot_heading_deg,filtered_slot_heading_deg,slot_heading_span_deg,parallel_heading_ready_scans,parallel_correction_cycles,parallel_cd_missing_scans,parallel_no_improvement_scans,parallel_best_heading_deg
0.000005,1785219473.714140892,idle,0,0,-29,press_SPACE_to_start,74,74,50,24,1,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,71.022725,6,247.455251,6652.442509,,0,,,71.022725,,,0,0,0,0,
0.180259,1785219473.936269999,idle,0,0,-29,press_SPACE_to_start,79,79,53,26,1,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,74.200415,10,384.953707,539.837717,,0,,,74.200415,,,0,0,0,0,
0.272980,1785219474.047019958,idle,0,0,-29,press_SPACE_to_start,69,69,46,23,1,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,73.367640,4,290.978776,9844.037540,,0,,,73.367640,,,0,0,0,0,
0.359744,1785219474.047019958,idle,0,0,-29,press_SPACE_to_start,69,69,46,23,1,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,73.367640,4,290.978776,9844.037540,,0,,,73.367640,,,0,0,0,0,
0.447724,1785219474.159297943,idle,0,0,-29,press_SPACE_to_start,69,69,44,25,1,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,70.603431,4,200.913104,583.584476,,0,,,70.603431,,,0,0,0,0,
0.497778,1785219474.269573927,idle,0,0,-29,press_SPACE_to_start,74,74,48,26,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,74.591679,4,248.276261,850.158263,,0,,,74.591679,,,0,0,0,0,
0.586471,1785219474.269573927,idle,0,0,-29,press_SPACE_to_start,74,74,48,26,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,74.591679,4,248.276261,850.158263,,0,,,74.591679,,,0,0,0,0,
0.675943,1785219474.381721020,idle,0,0,-29,press_SPACE_to_start,70,70,46,24,1,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.768762,1785219474.497061968,idle,0,0,-29,press_SPACE_to_start,71,71,47,24,1,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,76.425947,4,207.849967,4375.722054,,0,,,76.425947,,,0,0,0,0,
0.856692,1785219474.607933998,idle,0,0,-29,press_SPACE_to_start,72,72,47,25,1,0,0,0,0,0,0,8,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
