timestamp,quality,angle_deg,distance_mm
1785220663.367506981,15,350.609375,3151.250
1785220663.367506981,13,352.265625,3174.750
1785220663.367506981,8,353.921875,3194.500
1785220663.367506981,13,355.562500,3196.000
1785220663.367506981,15,357.187500,3220.500
1785220663.367506981,5,0.468750,3374.000
1785220663.367506981,5,2.125000,3401.750
1785220663.367506981,15,3.750000,3449.000
1785220663.367506981,7,7.031250,3517.000
1785220663.367506981,10,8.656250,3569.750
1785220663.367506981,15,10.296875,3637.750
1785220663.367506981,15,11.937500,3723.500
1785220663.367506981,10,13.546875,3793.750
1785220663.367506981,15,209.031250,3437.500
1785220663.367506981,15,210.687500,3402.250
1785220663.367506981,15,212.296875,3439.250
1785220663.367506981,15,225.437500,3672.250
1785220663.367506981,15,228.593750,5007.500
1785220663.367506981,15,231.953125,3672.000
1785220663.367506981,15,233.625000,3633.250
1785220663.367506981,15,238.500000,4101.250
1785220663.367506981,15,240.140625,4009.500
1785220663.367506981,15,241.796875,3937.000
1785220663.367506981,15,243.453125,3872.500
1785220663.367506981,15,245.093750,3795.750
1785220663.367506981,15,246.734375,3742.250
1785220663.367506981,15,248.390625,3687.000
1785220663.367506981,15,250.046875,3621.250
1785220663.367506981,15,251.687500,3641.500
1785220663.367506981,15,253.328125,3687.000
1785220663.367506981,15,254.984375,3658.750
1785220663.367506981,15,258.234375,3855.000
1785220663.367506981,15,259.875000,3885.000
1785220663.367506981,15,261.546875,3852.250
1785220663.367506981,15,263.156250,3826.000
1785220663.367506981,15,264.812500,3812.000
1785220663.367506981,15,266.468750,3797.750
1785220663.367506981,15,268.093750,3788.750
1785220663.367506981,15,273.296875,2147.250
1785220663.367506981,15,276.781250,1775.000
1785220663.367506981,15,282.890625,3812.500
1785220663.367506981,15,284.531250,3823.000
1785220663.367506981,10,286.187500,3817.500
1785220663.367506981,15,289.515625,3544.250
1785220663.367506981,15,292.828125,3239.250
1785220663.367506981,15,294.468750,3248.000
1785220663.367506981,15,296.109375,3288.750
1785220663.367506981,15,297.734375,3338.250
1785220663.367506981,15,299.453125,3374.000
1785220663.367506981,15,301.093750,3421.500
1785220663.367506981,15,302.750000,3482.750
1785220663.367506981,12,304.390625,3502.250
1785220663.367506981,10,307.687500,3477.250
1785220663.367506981,4,309.343750,3416.750
1785220663.367506981,15,311.015625,3359.250
1785220663.367506981,15,312.671875,3298.500
1785220663.367506981,9,314.312500,3231.750
1785220663.367506981,8,315.968750,3201.000
1785220663.367506981,12,317.625000,3187.500
1785220663.367506981,15,319.281250,3175.000
1785220663.367506981,15,320.921875,3159.750
1785220663.367506981,10,329.187500,3087.500
1785220663.367506981,15,333.000000,1500.250
1785220663.367506981,15,335.781250,3027.250
1785220663.367506981,10,337.453125,3025.250
1785220663.367506981,13,339.093750,3047.000
1785220663.367506981,13,340.718750,3044.500
1785220663.367506981,13,342.375000,3050.000
1785220663.367506981,12,344.031250,3060.750
1785220663.367506981,10,345.687500,3073.750
1785220663.367506981,15,347.281250,3088.500
1785220663.367506981,15,348.937500,3119.000
1785220663.548639059,15,350.578125,3151.750
1785220663.548639059,14,352.218750,3174.750
1785220663.548639059,6,353.875000,3192.000
1785220663.548639059,7,355.531250,3194.750
1785220663.548639059,15,357.171875,3220.250
1785220663.548639059,7,0.437500,3377.750
1785220663.548639059,5,2.078125,3405.750
1785220663.548639059,15,3.734375,3449.750
1785220663.548639059,15,5.390625,3489.750
1785220663.548639059,8,7.015625,3523.500
1785220663.548639059,9,8.671875,3573.250
1785220663.548639059,15,10.296875,3638.000
1785220663.548639059,15,11.906250,3720.750
1785220663.548639059,8,13.531250,3790.750
1785220663.548639059,15,209.031250,3554.250
1785220663.548639059,15,228.640625,5005.000
1785220663.548639059,15,232.015625,3680.000
1785220663.548639059,15,233.671875,3637.500
1785220663.548639059,15,238.546875,4097.250
1785220663.548639059,15,240.203125,4004.250
1785220663.548639059,15,241.843750,3928.500
1785220663.548639059,15,243.484375,3867.500
1785220663.548639059,15,245.140625,3795.250
1785220663.548639059,15,246.796875,3741.000
1785220663.548639059,15,248.453125,3689.000
1785220663.548639059,15,250.093750,3622.750
1785220663.548639059,15,251.765625,3639.750
1785220663.548639059,15,253.390625,3692.500
1785220663.548639059,15,255.062500,3684.500
1785220663.548639059,15,258.312500,3862.500
1785220663.548639059,15,259.953125,3887.500
1785220663.548639059,15,261.625000,3852.750
1785220663.548639059,15,263.250000,3827.250
1785220663.548639059,15,264.890625,3815.250
1785220663.548639059,15,266.531250,3800.750
1785220663.548639059,15,268.187500,3795.250
1785220663.548639059,15,271.734375,2193.250
1785220663.548639059,15,279.625000,3797.750
1785220663.548639059,15,281.281250,3801.000
1785220663.548639059,15,282.906250,3808.750
1785220663.548639059,15,284.546875,3821.000
1785220663.548639059,10,286.171875,3822.250
1785220663.548639059,15,289.500000,3545.500
1785220663.548639059,15,292.796875,3241.500
1785220663.548639059,15,294.453125,3248.750
1785220663.548639059,15,296.093750,3290.000
1785220663.548639059,15,297.718750,3340.750
1785220663.548639059,15,299.406250,3372.000
1785220663.548639059,15,301.046875,3417.000
1785220663.548639059,15,302.671875,3477.000
1785220663.548639059,10,304.328125,3502.000
1785220663.548639059,11,307.625000,3478.500
1785220663.548639059,4,309.296875,3417.500
1785220663.548639059,15,310.921875,3360.750
1785220663.548639059,15,312.562500,3304.000
1785220663.548639059,15,314.234375,3240.250
1785220663.548639059,15,315.875000,3203.000
1785220663.548639059,12,317.515625,3190.250
1785220663.548639059,15,319.156250,3178.750
1785220663.548639059,15,320.812500,3162.000
1785220663.548639059,11,329.140625,3086.500
1785220663.548639059,15,332.937500,1502.500
1785220663.548639059,15,335.765625,3015.250
1785220663.548639059,14,337.375000,3012.750
1785220663.548639059,12,339.046875,3048.000
1785220663.548639059,12,340.703125,3045.750
1785220663.548639059,10,342.312500,3053.250
1785220663.548639059,11,343.984375,3064.250
1785220663.548639059,9,345.625000,3074.750
1785220663.548639059,15,347.296875,3089.750
1785220663.548639059,15,348.921875,3120.750
1785220663.662567854,15,350.562500,3152.750
1785220663.662567854,13,352.218750,3175.000
1785220663.662567854,9,353.843750,3189.500
1785220663.662567854,10,355.531250,3190.250
1785220663.662567854,15,357.171875,3219.000
1785220663.662567854,9,0.437500,3379.250
1785220663.662567854,4,2.062500,3407.250
1785220663.662567854,15,3.734375,3448.250
1785220663.662567854,5,7.015625,3517.250
1785220663.662567854,9,8.640625,3574.250
1785220663.662567854,15,10.281250,3638.250
1785220663.662567854,15,11.843750,3719.250
1785220663.662567854,9,13.500000,3790.000
1785220663.662567854,13,194.484375,1944.500
1785220663.662567854,15,198.984375,5474.250
1785220663.662567854,15,207.281250,3663.250
1785220663.662567854,15,208.921875,3682.250
1785220663.662567854,15,225.359375,3636.500
1785220663.662567854,15,228.578125,5012.500
1785220663.662567854,15,231.937500,3676.750
1785220663.662567854,15,233.593750,3639.500
1785220663.662567854,15,238.484375,4098.000
1785220663.662567854,15,240.140625,4005.250
1785220663.662567854,15,241.796875,3934.000
1785220663.662567854,15,243.453125,3872.500
1785220663.662567854,15,245.109375,3796.500
1785220663.662567854,15,246.750000,3741.750
1785220663.662567854,15,248.390625,3689.500
1785220663.662567854,15,250.031250,3624.500
1785220663.662567854,15,251.703125,3641.250
1785220663.662567854,15,253.328125,3687.500
1785220663.662567854,15,254.984375,3661.250
1785220663.662567854,15,258.250000,3862.750
1785220663.662567854,15,259.890625,3889.250
1785220663.662567854,15,261.531250,3855.250
1785220663.662567854,15,263.187500,3829.000
1785220663.662567854,15,264.843750,3812.500
1785220663.662567854,15,266.484375,3797.750
1785220663.662567854,15,268.125000,3788.750
1785220663.662567854,15,271.718750,2194.250
1785220663.662567854,15,275.000000,1994.500
1785220663.662567854,15,281.187500,3801.750
1785220663.662567854,15,282.843750,3804.250
1785220663.662567854,15,284.484375,3813.250
1785220663.662567854,15,286.109375,3833.250
1785220663.662567854,15,289.437500,3546.500
1785220663.662567854,15,292.750000,3243.000
1785220663.662567854,15,294.390625,3249.750
1785220663.662567854,15,296.015625,3287.500
1785220663.662567854,15,297.671875,3326.000
1785220663.662567854,15,299.359375,3360.000
1785220663.662567854,15,300.984375,3414.750
1785220663.662567854,15,302.640625,3474.500
1785220663.662567854,9,304.265625,3502.000
1785220663.662567854,15,310.875000,3363.500
1785220663.662567854,15,312.531250,3306.750
1785220663.662567854,15,314.187500,3243.750
1785220663.662567854,14,315.843750,3204.750
1785220663.662567854,12,317.484375,3190.750
1785220663.662567854,15,319.109375,3182.000
1785220663.662567854,15,320.765625,3166.000
1785220663.662567854,15,329.078125,3094.250
1785220663.662567854,15,332.890625,1502.750
1785220663.662567854,15,335.703125,3019.750
1785220663.662567854,13,337.328125,3013.250
1785220663.662567854,12,338.984375,3044.750
1785220663.662567854,11,340.640625,3047.250
1785220663.662567854,11,342.265625,3054.750
1785220663.662567854,11,343.937500,3064.750
1785220663.662567854,8,345.578125,3073.500
1785220663.662567854,15,347.203125,3090.750
1785220663.662567854,15,348.843750,3124.750
1785220663.662567854,15,350.484375,3154.500
1785220663.773880005,14,352.140625,3175.000
1785220663.773880005,6,353.781250,3190.250
1785220663.773880005,7,355.421875,3192.250
1785220663.773880005,15,357.046875,3225.250
1785220663.773880005,10,358.703125,3306.500
1785220663.773880005,8,0.343750,3365.000
1785220663.773880005,5,2.000000,3395.250
1785220663.773880005,12,8.546875,3564.500
1785220663.773880005,15,10.171875,3623.500
1785220663.773880005,11,11.765625,3720.500
1785220663.773880005,9,13.375000,3791.500
1785220663.773880005,15,197.156250,5532.750
1785220663.773880005,15,198.812500,5482.250
1785220663.773880005,15,207.156250,3732.250
1785220663.773880005,15,228.406250,5015.500
1785220663.773880005,15,233.437500,3667.750
1785220663.773880005,15,238.312500,4105.750
1785220663.773880005,15,239.968750,4013.000
1785220663.773880005,15,241.609375,3933.000
1785220663.773880005,15,243.265625,3869.750
1785220663.773880005,15,244.906250,3796.250
1785220663.773880005,15,246.562500,3742.750
1785220663.773880005,15,248.203125,3691.250
1785220663.773880005,15,249.859375,3624.750
1785220663.773880005,15,251.484375,3631.500
1785220663.773880005,15,253.125000,3677.250
1785220663.773880005,15,254.781250,3658.000
1785220663.773880005,15,258.015625,3852.250
1785220663.773880005,15,259.687500,3890.500
1785220663.773880005,15,261.328125,3863.250
1785220663.773880005,15,262.984375,3830.500
1785220663.773880005,15,264.625000,3808.500
1785220663.773880005,15,266.250000,3798.750
1785220663.773880005,15,267.921875,3796.250
1785220663.773880005,15,271.484375,2194.500
1785220663.773880005,15,274.796875,1982.750
1785220663.773880005,15,280.968750,3792.750
1785220663.773880005,15,282.625000,3798.500
1785220663.773880005,15,284.234375,3812.750
1785220663.773880005,15,285.890625,3836.000
1785220663.773880005,15,289.203125,3578.250
1785220663.773880005,15,292.500000,3257.750
1785220663.773880005,15,294.140625,3240.000
1785220663.773880005,15,295.765625,3286.250
1785220663.773880005,15,297.421875,3329.250
1785220663.773880005,15,299.156250,3360.000
1785220663.773880005,15,300.828125,3397.750
1785220663.773880005,15,302.437500,3450.250
1785220663.773880005,11,304.093750,3487.750
1785220663.773880005,15,310.687500,3363.250
1785220663.773880005,15,312.343750,3295.000
1785220663.773880005,15,313.984375,3235.750
1785220663.773880005,10,315.656250,3211.500
1785220663.773880005,14,317.296875,3192.750
1785220663.773880005,15,318.921875,3179.000
1785220663.773880005,15,320.593750,3168.000
1785220663.773880005,15,322.234375,3156.250
1785220663.773880005,15,332.671875,1504.750
1785220663.773880005,15,335.484375,3019.500
1785220663.773880005,12,337.140625,3014.500
1785220663.773880005,10,338.765625,3046.750
1785220663.773880005,12,340.406250,3046.000
1785220663.773880005,12,342.078125,3049.750
1785220663.773880005,8,343.718750,3058.250
1785220663.773880005,11,345.375000,3068.750
1785220663.773880005,15,346.968750,3088.500
1785220663.773880005,15,348.593750,3121.250
1785220663.773880005,15,350.250000,3144.000
1785220663.885757923,14,351.859375,3167.250
1785220663.885757923,14,353.515625,3186.500
1785220663.885757923,6,355.171875,3192.250
1785220663.885757923,11,356.812500,3228.000
1785220663.885757923,15,358.437500,3303.500
1785220663.885757923,12,0.093750,3368.500
1785220663.885757923,8,1.703125,3395.250
1785220663.885757923,15,3.359375,3432.750
1785220663.885757923,15,6.625000,3500.250
1785220663.885757923,11,8.265625,3557.750
1785220663.885757923,15,9.906250,3621.000
1785220663.885757923,15,11.453125,3702.000
1785220663.885757923,15,13.109375,3772.250
1785220663.885757923,15,196.921875,5531.750
1785220663.885757923,15,198.578125,5490.500
1785220663.885757923,15,203.625000,3849.500
1785220663.885757923,15,205.265625,3804.750
1785220663.885757923,15,206.906250,3820.500
1785220663.885757923,15,224.859375,5362.250
1785220663.885757923,15,233.203125,3659.500
1785220663.885757923,15,238.093750,4109.750
1785220663.885757923,15,239.750000,4019.000
1785220663.885757923,15,241.390625,3945.250
1785220663.885757923,15,243.046875,3882.000
1785220663.885757923,15,244.687500,3810.000
1785220663.885757923,15,246.328125,3756.250
1785220663.885757923,15,247.984375,3708.750
1785220663.885757923,15,249.640625,3644.250
1785220663.885757923,15,251.218750,3641.250
1785220663.885757923,15,252.875000,3688.500
1785220663.885757923,15,254.515625,3677.250
1785220663.885757923,15,257.765625,3852.750
1785220663.885757923,15,259.421875,3895.250
1785220663.885757923,15,261.062500,3866.500
1785220663.885757923,15,262.671875,3842.000
1785220663.885757923,15,264.328125,3813.500
1785220663.885757923,15,265.968750,3800.250
1785220663.885757923,15,267.593750,3800.250
1785220663.885757923,15,271.171875,2186.250
1785220663.885757923,15,274.546875,1969.250
1785220663.885757923,15,280.734375,3797.750
1785220663.885757923,15,282.359375,3800.250
1785220663.885757923,15,284.000000,3810.500
1785220663.885757923,15,285.625000,3827.000
1785220663.885757923,15,288.937500,3612.250
1785220663.885757923,15,293.890625,3235.250
1785220663.885757923,15,295.546875,3266.750
1785220663.885757923,15,297.187500,3311.250
1785220663.885757923,15,298.953125,3356.000
1785220663.885757923,15,300.578125,3403.000
1785220663.885757923,15,302.234375,3453.500
1785220663.885757923,10,303.875000,3482.000
1785220663.885757923,3,308.812500,3439.000
1785220663.885757923,11,310.484375,3366.500
1785220663.885757923,15,312.140625,3326.000
1785220663.885757923,15,313.781250,3270.750
1785220663.885757923,11,315.453125,3215.750
1785220663.885757923,10,317.093750,3193.250
1785220663.885757923,15,318.750000,3183.000
1785220663.885757923,15,320.390625,3176.250
1785220663.885757923,15,322.046875,3162.000
1785220663.885757923,15,332.484375,1499.000
1785220663.885757923,14,336.921875,3018.000
1785220663.885757923,11,338.562500,3048.500
1785220663.885757923,12,340.218750,3044.750
1785220663.885757923,13,341.843750,3051.750
1785220663.885757923,11,343.500000,3062.250
1785220663.885757923,11,345.125000,3076.500
1785220663.885757923,15,346.734375,3093.500
1785220663.885757923,15,348.421875,3114.750
1785220663.885757923,15,350.046875,3141.250
1785220663.996475935,15,351.671875,3166.750
1785220663.996475935,11,353.312500,3184.500
1785220663.996475935,7,354.968750,3193.000
1785220663.996475935,15,356.593750,3222.250
1785220663.996475935,15,358.250000,3289.500
1785220663.996475935,9,359.890625,3355.250
1785220663.996475935,13,1.531250,3387.500
1785220663.996475935,4,3.171875,3404.250
1785220663.996475935,15,4.812500,3439.500
1785220663.996475935,15,6.437500,3494.250
1785220663.996475935,9,8.093750,3542.500
1785220663.996475935,15,9.718750,3605.500
1785220663.996475935,15,11.296875,3687.000
1785220663.996475935,12,12.937500,3763.000
1785220663.996475935,15,196.843750,5544.250
1785220663.996475935,15,198.515625,5502.000
1785220663.996475935,15,205.203125,3882.250
1785220663.996475935,15,224.828125,5377.750
