elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,pair_reacquiring,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm,cd_balance_ratio,cd_balance_error,cd_balance_span,cd_center_ready_scans,left_side_heading_deg,left_side_line_points,left_side_line_extent_mm,left_side_line_linearity,right_side_heading_deg,right_side_line_points,right_side_line_extent_mm,right_side_line_linearity,observed_slot_heading_deg,filtered_slot_heading_deg,slot_heading_span_deg,parallel_heading_ready_scans,parallel_correction_cycles,parallel_cd_missing_scans,parallel_no_improvement_scans,parallel_best_heading_deg
0.000005,1785220663.367506981,idle,0,0,-26,press_SPACE_to_start,72,72,47,25,2,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.198888,1785220663.548639059,idle,0,0,-26,press_SPACE_to_start,71,71,49,22,2,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.289853,1785220663.548639059,idle,0,0,-26,press_SPACE_to_start,71,71,49,22,2,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.378074,1785220663.662567854,idle,0,0,-26,press_SPACE_to_start,73,73,47,26,3,1,0,0,0,0,0,3,0,0,0,3,1,-47.484375,-3.296875,-25.390625,3190.750000,2147.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,1944.500000,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.463113,1785220663.773880005,idle,0,0,-26,press_SPACE_to_start,68,68,45,23,3,1,0,0,0,0,0,4,0,0,0,4,1,-47.296875,-3.296875,-25.296875,3192.750000,2147.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.513710,1785220663.773880005,idle,0,0,-26,press_SPACE_to_start,68,68,45,23,3,1,0,0,0,0,0,4,0,0,0,4,1,-47.296875,-3.296875,-25.296875,3192.750000,2147.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.601963,1785220663.885757923,idle,0,0,-26,press_SPACE_to_start,71,71,46,25,3,1,0,0,0,0,0,5,0,0,0,5,1,-47.093750,-3.296875,-25.195312,3193.250000,2147.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.690941,1785220663.996475935,idle,0,0,-26,press_SPACE_to_start,67,67,44,23,3,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.782777,1785220664.108629942,idle,0,0,-26,press_SPACE_to_start,67,67,44,23,5,1,0,0,0,0,0,7,0,0,0,5,1,-46.953125,-5.828125,-26.390625,3198.500000,1972.000000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.870477,1785220664.222938061,idle,0,0,-26,press_SPACE_to_start,69,69,46,23,5,1,0,0,0,0,0,8,0,0,0,5,1,-46.953125,-5.828125,-26.390625,3198.500000,1972.000000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.957388,1785220664.222938061,idle,0,0,-26,press_SPACE_to_start,69,69,46,23,5,1,0,0,0,0,0,8,0,0,0,5,1,-46.953125,-5.828125,-26.390625,3198.500000,1972.000000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.044919,1785220664.334252119,idle,0,0,-26,press_SPACE_to_start,68,68,46,22,5,1,0,0,0,0,0,9,0,0,0,5,1,-46.953125,-5.828125,-26.390625,3198.500000,1972.000000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.132770,1785220664.445035934,idle,0,0,-26,press_SPACE_to_start,66,66,46,20,5,1,0,0,0,0,0,10,0,0,0,5,1,-46.953125,-5.828125,-26.390625,3198.500000,1972.000000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.220118,1785220664.556349039,idle,0,0,-26,press_SPACE_to_start,68,68,46,22,6,2,0,0,0,0,0,11,0,0,0,5,1,-0.671875,86.890625,43.109375,2094.000000,2678.500000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.312308,1785220664.671130180,idle,0,0,-26,press_SPACE_to_start,69,69,46,23,4,2,0,0,0,0,0,12,0,0,0,5,1,-0.671875,81.562500,40.445312,2094.000000,2682.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.399106,1785220664.671130180,idle,0,0,-26,press_SPACE_to_start,69,69,46,23,4,2,0,0,0,0,0,12,0,0,0,5,1,-0.671875,81.562500,40.445312,2094.000000,2682.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.486831,1785220664.783022165,idle,0,0,-26,press_SPACE_to_start,71,71,48,23,5,2,0,0,0,0,0,13,0,0,0,5,1,-3.281250,86.890625,41.804688,1988.500000,2678.500000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.566523,1785220664.894620895,search_first_car,50,-26,-26,paper_search_first_vehicle,67,67,46,21,2,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.651534,1785220665.005779028,search_first_car,50,-26,-26,paper_search_first_vehicle,63,63,41,22,2,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.736466,1785220665.005779028,search_first_car,50,-26,-26,paper_search_first_vehicle,63,63,41,22,2,0,0,0,0,0,0,2,0,0,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.828871,1785220665.119571924,search_first_car,50,-26,-26,paper_search_first_vehicle,63,63,43,20,2,0,0,0,0,0,0,3,0,0,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.916379,1785220665.232101202,search_first_car,50,-26,-26,paper_search_first_vehicle,59,59,37,22,1,0,0,0,0,0,0,4,0,0,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
2.002518,1785220665.342695951,search_first_car,50,-26,-26,paper_search_first_vehicle,67,67,42,25,1,0,0,0,0,0,0,5,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
2.088946,1785220665.454916000,search_first_car,50,-26,-26,paper_search_first_vehicle,60,60,39,21,2,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
2.176855,1785220665.454916000,search_first_car,50,-26,-26,paper_search_first_vehicle,60,60,39,21,2,0,0,0,0,0,0,6,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
2.264323,1785220665.568516016,search_first_car,50,-26,-26,paper_search_first_vehicle,65,65,42,23,1,0,0,0,0,0,0,7,0,0,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
2.355892,1785220665.680135012,search_first_car,50,-26,-26,paper_search_first_vehicle,57,57,35,22,2,1,0,0,0,0,0,8,0,0,0,5,1,-43.843750,-5.437500,-24.640625,3189.000000,2076.000000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
2.442077,1785220665.792608976,search_first_car,50,-26,-26,paper_search_first_vehicle,55,55,35,20,2,1,0,0,0,0,0,9,0,0,0,5,1,-43.843750,-5.437500,-24.640625,3189.000000,2076.000000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
