timestamp,quality,angle_deg,distance_mm
1785220867.034006119,15,353.500000,3859.750
1785220867.034006119,15,355.125000,3913.500
1785220867.034006119,13,356.765625,3953.750
1785220867.034006119,15,358.406250,4023.500
1785220867.034006119,15,0.062500,4096.250
1785220867.034006119,15,1.687500,4129.250
1785220867.034006119,15,3.359375,4154.250
1785220867.034006119,15,5.015625,4191.750
1785220867.034006119,10,6.625000,4263.250
1785220867.034006119,15,8.265625,4341.500
1785220867.034006119,14,9.921875,4403.000
1785220867.034006119,8,11.562500,4482.500
1785220867.034006119,8,179.265625,10186.750
1785220867.034006119,15,199.218750,5161.750
1785220867.034006119,15,223.890625,5393.500
1785220867.034006119,15,227.187500,5049.000
1785220867.034006119,15,228.843750,4912.500
1785220867.034006119,15,230.500000,4787.250
1785220867.034006119,15,232.156250,4662.000
1785220867.034006119,15,235.562500,3396.750
1785220867.034006119,15,237.203125,3385.500
1785220867.034006119,15,242.078125,3869.250
1785220867.034006119,15,243.734375,3788.750
1785220867.034006119,15,245.375000,3736.500
1785220867.034006119,15,247.046875,3685.750
1785220867.034006119,15,248.718750,3611.250
1785220867.034006119,15,250.328125,3559.250
1785220867.034006119,15,252.000000,3518.000
1785220867.034006119,15,253.656250,3469.500
1785220867.034006119,15,255.312500,3421.250
1785220867.034006119,15,258.593750,3534.000
1785220867.034006119,14,260.234375,3544.500
1785220867.034006119,15,263.515625,3784.500
1785220867.034006119,15,265.156250,3770.500
1785220867.034006119,15,266.796875,3754.250
1785220867.034006119,15,268.468750,3742.000
1785220867.034006119,15,270.078125,3734.000
1785220867.034006119,15,271.765625,3713.250
1785220867.034006119,15,273.406250,3710.500
1785220867.034006119,15,275.000000,3707.500
1785220867.034006119,15,276.625000,3696.250
1785220867.034006119,15,278.281250,3719.250
1785220867.034006119,15,279.937500,3745.250
1785220867.034006119,15,281.578125,3762.250
1785220867.034006119,15,283.203125,3764.250
1785220867.034006119,15,284.859375,3771.250
1785220867.034006119,15,286.500000,3793.500
1785220867.034006119,15,288.140625,3810.000
1785220867.034006119,15,289.781250,3835.750
1785220867.034006119,15,291.421875,3829.250
1785220867.034006119,15,294.750000,3602.750
1785220867.034006119,15,298.078125,3345.750
1785220867.034006119,15,299.765625,3321.750
1785220867.034006119,15,301.421875,3363.750
1785220867.034006119,15,303.046875,3410.500
1785220867.034006119,15,304.671875,3473.500
1785220867.034006119,15,306.328125,3532.500
1785220867.034006119,15,307.968750,3603.750
1785220867.034006119,15,309.609375,3691.750
1785220867.034006119,10,314.562500,3704.500
1785220867.034006119,15,316.203125,3662.000
1785220867.034006119,14,317.859375,3623.750
1785220867.034006119,9,319.500000,3576.000
1785220867.034006119,15,321.156250,3545.000
1785220867.034006119,13,322.828125,3526.250
1785220867.034006119,12,324.484375,3521.250
1785220867.034006119,15,326.125000,3520.000
1785220867.034006119,15,327.781250,3513.500
1785220867.034006119,15,329.406250,3515.000
1785220867.034006119,15,331.062500,3519.000
1785220867.034006119,15,332.703125,3528.500
1785220867.034006119,15,334.375000,3531.750
1785220867.034006119,15,336.015625,3530.000
1785220867.034006119,14,337.671875,3542.500
1785220867.034006119,10,339.328125,3561.750
1785220867.034006119,10,340.984375,3574.500
1785220867.034006119,15,342.609375,3594.750
1785220867.034006119,15,344.265625,3618.750
1785220867.034006119,15,345.906250,3640.000
1785220867.034006119,15,347.593750,3651.000
1785220867.034006119,11,349.250000,3633.250
1785220867.259673119,15,352.906250,3848.000
1785220867.259673119,15,354.578125,3903.750
1785220867.259673119,13,356.203125,3943.500
1785220867.259673119,11,357.875000,3999.000
1785220867.259673119,15,359.500000,4065.500
1785220867.259673119,15,1.156250,4111.250
1785220867.259673119,15,2.796875,4144.250
1785220867.259673119,15,4.437500,4187.500
1785220867.259673119,11,6.078125,4249.500
1785220867.259673119,15,7.718750,4316.750
1785220867.259673119,15,9.359375,4387.250
1785220867.259673119,14,10.921875,4462.000
1785220867.259673119,13,14.203125,4699.000
1785220867.259673119,8,183.484375,10214.250
1785220867.259673119,8,196.781250,5237.000
1785220867.259673119,15,198.437500,5148.500
1785220867.259673119,15,224.656250,5303.500
1785220867.259673119,15,234.750000,3440.000
1785220867.259673119,15,236.406250,3377.500
1785220867.259673119,15,241.265625,3899.000
1785220867.259673119,15,242.937500,3820.250
1785220867.259673119,15,244.593750,3755.500
1785220867.259673119,15,246.218750,3700.000
1785220867.259673119,15,247.875000,3638.000
1785220867.259673119,15,249.531250,3583.000
1785220867.259673119,15,251.203125,3541.250
1785220867.259673119,15,252.843750,3496.250
1785220867.259673119,15,254.500000,3442.750
1785220867.259673119,15,256.156250,3443.750
1785220867.259673119,15,257.781250,3499.750
1785220867.259673119,15,259.437500,3508.250
1785220867.259673119,15,264.343750,3778.250
1785220867.259673119,15,266.000000,3770.000
1785220867.259673119,15,267.656250,3745.500
1785220867.259673119,15,269.281250,3734.000
1785220867.259673119,15,270.921875,3730.250
1785220867.259673119,15,272.578125,3720.500
1785220867.259673119,15,274.234375,3716.250
1785220867.259673119,15,275.828125,3721.750
1785220867.259673119,15,277.468750,3720.000
1785220867.259673119,15,279.125000,3733.000
1785220867.259673119,15,280.750000,3752.250
1785220867.259673119,15,282.421875,3753.000
1785220867.259673119,15,284.031250,3767.750
1785220867.259673119,15,285.703125,3782.000
1785220867.259673119,15,287.343750,3800.500
1785220867.259673119,15,288.968750,3828.000
1785220867.259673119,15,290.609375,3866.750
1785220867.259673119,15,295.578125,3557.000
1785220867.259673119,15,298.984375,3302.000
1785220867.259673119,15,300.625000,3343.500
1785220867.259673119,15,302.281250,3386.750
1785220867.259673119,15,303.921875,3440.250
1785220867.259673119,15,305.546875,3496.750
1785220867.259673119,15,307.203125,3571.000
1785220867.259673119,15,308.828125,3654.000
1785220867.259673119,9,310.484375,3700.500
1785220867.259673119,15,315.421875,3682.500
1785220867.259673119,13,317.093750,3645.750
1785220867.259673119,11,318.718750,3619.250
1785220867.259673119,11,320.375000,3566.250
1785220867.259673119,15,322.031250,3530.500
1785220867.259673119,12,323.750000,3534.250
1785220867.259673119,15,325.390625,3524.750
1785220867.259673119,15,327.062500,3512.000
1785220867.259673119,15,328.703125,3508.250
1785220867.259673119,15,330.343750,3514.750
1785220867.259673119,15,332.000000,3532.000
1785220867.259673119,15,333.640625,3532.000
1785220867.259673119,15,335.328125,3530.000
1785220867.259673119,9,336.968750,3543.250
1785220867.259673119,9,338.625000,3557.250
1785220867.259673119,12,340.281250,3565.750
1785220867.259673119,8,341.921875,3566.000
1785220867.259673119,10,343.593750,3589.750
1785220867.259673119,15,345.218750,3634.500
1785220867.259673119,8,346.812500,3654.000
1785220867.259673119,12,348.468750,3646.750
1785220867.259673119,15,350.125000,3626.500
1785220867.371726990,15,353.390625,3848.250
1785220867.371726990,15,355.031250,3903.500
1785220867.371726990,15,356.687500,3946.750
1785220867.371726990,9,358.343750,4020.000
1785220867.371726990,15,359.984375,4092.000
1785220867.371726990,15,1.625000,4127.000
1785220867.371726990,15,3.265625,4148.250
1785220867.371726990,13,4.921875,4193.000
1785220867.371726990,9,6.578125,4270.500
1785220867.371726990,15,8.203125,4341.500
1785220867.371726990,15,9.859375,4404.000
1785220867.371726990,7,11.406250,4484.250
1785220867.371726990,9,180.687500,10133.750
1785220867.371726990,7,182.343750,10165.750
1785220867.371726990,15,198.921875,5190.250
1785220867.371726990,15,226.906250,5091.750
1785220867.371726990,15,231.859375,4681.500
1785220867.371726990,15,235.265625,3396.000
1785220867.371726990,15,236.906250,3389.000
1785220867.371726990,15,241.796875,3876.250
1785220867.371726990,15,243.453125,3800.500
1785220867.371726990,15,245.109375,3740.750
1785220867.371726990,15,246.765625,3678.500
1785220867.371726990,15,248.421875,3612.500
1785220867.371726990,15,250.062500,3561.750
1785220867.371726990,15,251.703125,3522.750
1785220867.371726990,15,253.328125,3477.500
1785220867.371726990,15,254.984375,3430.250
1785220867.371726990,15,258.265625,3539.500
1785220867.371726990,15,259.906250,3509.000
1785220867.371726990,15,263.171875,3774.500
1785220867.371726990,15,264.843750,3775.500
1785220867.371726990,15,266.453125,3759.500
1785220867.371726990,15,268.109375,3755.250
1785220867.371726990,15,269.750000,3745.000
1785220867.371726990,15,271.390625,3721.250
1785220867.371726990,15,273.046875,3714.250
1785220867.371726990,15,274.656250,3720.750
1785220867.371726990,15,276.296875,3728.750
1785220867.371726990,15,277.953125,3731.500
1785220867.371726990,15,279.578125,3729.750
1785220867.371726990,15,281.218750,3736.500
1785220867.371726990,15,282.843750,3757.750
1785220867.371726990,15,284.484375,3776.250
1785220867.371726990,15,286.140625,3791.750
1785220867.371726990,15,287.781250,3807.500
1785220867.371726990,15,289.437500,3836.000
1785220867.371726990,15,291.046875,3879.750
1785220867.371726990,15,294.375000,3645.750
1785220867.371726990,15,299.453125,3310.000
