elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,pair_reacquiring,center_observation_scans,dist_c_mm,dist_d_mm,distance_bias_cd_mm,cd_balance_ratio,cd_balance_error,cd_balance_span,cd_center_ready_scans,left_side_heading_deg,left_side_line_points,left_side_line_extent_mm,left_side_line_linearity,right_side_heading_deg,right_side_line_points,right_side_line_extent_mm,right_side_line_linearity,observed_slot_heading_deg,filtered_slot_heading_deg,slot_heading_span_deg,parallel_heading_ready_scans,parallel_correction_cycles,parallel_cd_missing_scans,parallel_no_improvement_scans,parallel_best_heading_deg
0.000005,1785223234.915036917,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1261.750000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.196050,1785223235.137485981,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,1,0,0,0,0,0,0,2,0,1,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1260.750000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.289952,1785223235.248198986,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,1,0,0,0,0,0,0,3,0,1,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1323.000000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.377712,1785223235.248198986,idle,0,0,-25,press_SPACE_to_start,73,73,49,24,1,0,0,0,0,0,0,3,0,1,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1323.000000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.466085,1785223235.359245062,idle,0,0,-25,press_SPACE_to_start,72,72,48,24,1,0,0,0,0,0,0,4,0,1,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1324.500000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.516554,1785223235.470963001,idle,0,0,-25,press_SPACE_to_start,74,74,50,24,1,0,0,0,0,0,0,5,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1322.500000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.604514,1785223235.470963001,idle,0,0,-25,press_SPACE_to_start,74,74,50,24,1,0,0,0,0,0,0,5,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1322.500000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.695443,1785223235.585377932,idle,0,0,-25,press_SPACE_to_start,74,74,51,23,1,0,0,0,0,0,0,6,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1318.500000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.789054,1785223235.696983099,idle,0,0,-25,press_SPACE_to_start,75,75,52,23,1,0,0,0,0,0,0,7,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1288.000000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.881586,1785223235.807760954,idle,0,0,-25,press_SPACE_to_start,74,74,50,24,1,0,0,0,0,0,0,8,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1193.750000,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
