timestamp,quality,angle_deg,distance_mm
1785224486.251786947,15,351.453125,3548.000
1785224486.251786947,15,353.125000,3545.250
1785224486.251786947,15,356.359375,3816.750
1785224486.251786947,15,358.031250,3874.000
1785224486.251786947,15,359.687500,3901.750
1785224486.251786947,15,1.343750,3916.250
1785224486.251786947,15,2.984375,3951.750
1785224486.251786947,11,4.625000,4006.000
1785224486.251786947,15,6.281250,4062.500
1785224486.251786947,15,7.921875,4124.250
1785224486.251786947,15,9.578125,4204.250
1785224486.251786947,14,11.156250,4294.250
1785224486.251786947,15,12.796875,4373.750
1785224486.251786947,8,182.328125,10175.750
1785224486.251786947,15,185.640625,8759.500
1785224486.251786947,12,205.406250,8627.750
1785224486.251786947,15,230.234375,4708.250
1785224486.251786947,15,233.640625,3456.500
1785224486.251786947,15,235.281250,3452.750
1785224486.251786947,15,238.531250,3978.000
1785224486.251786947,15,240.187500,3913.500
1785224486.251786947,15,241.843750,3846.000
1785224486.251786947,15,243.484375,3776.000
1785224486.251786947,15,245.156250,3720.250
1785224486.251786947,15,246.812500,3654.750
1785224486.251786947,15,248.468750,3593.250
1785224486.251786947,15,250.093750,3564.000
1785224486.251786947,15,251.828125,3526.250
1785224486.251786947,15,253.453125,3477.750
1785224486.251786947,15,256.765625,3562.500
1785224486.251786947,15,260.046875,3745.500
1785224486.251786947,15,261.671875,3808.250
1785224486.251786947,15,263.328125,3800.750
1785224486.251786947,15,264.968750,3790.750
1785224486.251786947,15,266.625000,3782.000
1785224486.251786947,15,268.281250,3770.750
1785224486.251786947,15,269.921875,3775.250
1785224486.251786947,15,271.562500,3773.500
1785224486.251786947,15,273.234375,3766.000
1785224486.251786947,15,274.812500,3775.750
1785224486.251786947,15,276.453125,3785.500
1785224486.251786947,15,278.125000,3789.000
1785224486.251786947,15,279.765625,3793.750
1785224486.251786947,15,281.406250,3801.500
1785224486.251786947,15,283.031250,3811.500
1785224486.251786947,15,284.687500,3826.750
1785224486.251786947,15,286.328125,3859.750
1785224486.251786947,15,287.984375,3896.250
1785224486.251786947,15,289.609375,3854.000
1785224486.251786947,15,292.937500,3627.000
1785224486.251786947,15,296.265625,3331.750
1785224486.251786947,15,297.921875,3366.000
1785224486.251786947,15,299.609375,3408.250
1785224486.251786947,15,301.250000,3464.250
1785224486.251786947,15,302.906250,3532.250
1785224486.251786947,15,304.546875,3610.500
1785224486.251786947,15,306.187500,3674.000
1785224486.251786947,8,307.812500,3708.500
1785224486.251786947,11,312.781250,3688.000
1785224486.251786947,13,314.437500,3636.750
1785224486.251786947,11,316.093750,3588.500
1785224486.251786947,15,317.781250,3541.500
1785224486.251786947,15,319.406250,3517.250
1785224486.251786947,15,321.062500,3508.000
1785224486.251786947,15,322.750000,3496.000
1785224486.251786947,15,324.406250,3476.500
1785224486.251786947,15,326.078125,3467.000
1785224486.251786947,15,327.703125,3466.250
1785224486.251786947,15,329.359375,3460.000
1785224486.251786947,15,331.031250,3462.000
1785224486.251786947,15,332.671875,3464.750
1785224486.251786947,15,334.328125,3459.750
1785224486.251786947,15,335.984375,3468.000
1785224486.251786947,8,337.625000,3465.000
1785224486.251786947,15,339.265625,3475.000
1785224486.251786947,15,340.921875,3496.500
1785224486.251786947,15,342.578125,3508.250
1785224486.251786947,15,344.250000,3534.750
1785224486.251786947,15,345.906250,3542.250
1785224486.251786947,10,347.531250,3550.000
1785224486.251786947,15,349.203125,3563.250
1785224486.402069092,15,351.968750,3549.750
1785224486.402069092,11,355.218750,3757.250
1785224486.402069092,15,356.859375,3817.750
1785224486.402069092,15,358.515625,3868.250
1785224486.402069092,15,0.171875,3901.250
1785224486.402069092,15,1.828125,3930.500
1785224486.402069092,11,3.468750,3965.750
1785224486.402069092,12,5.125000,4013.000
1785224486.402069092,15,6.750000,4083.250
1785224486.402069092,15,8.421875,4162.250
1785224486.402069092,15,10.062500,4228.000
