timestamp,quality,angle_deg,distance_mm
1785250587.982351065,15,1.359375,3741.750
1785250587.982351065,15,2.968750,3744.000
1785250587.982351065,12,4.593750,3751.500
1785250587.982351065,9,172.875000,3455.500
1785250587.982351065,9,174.500000,3437.000
1785250587.982351065,9,176.109375,3424.000
1785250587.982351065,11,177.750000,3413.500
1785250587.982351065,15,195.562500,3095.250
1785250587.982351065,15,212.890625,322.250
1785250587.982351065,15,232.609375,741.250
1785250587.982351065,14,269.687500,9107.250
1785250587.982351065,15,271.296875,9133.750
1785250587.982351065,13,272.921875,9197.250
1785250587.982351065,11,274.500000,9137.500
1785250587.982351065,8,276.109375,9122.750
1785250587.982351065,15,316.078125,1256.000
1785250587.982351065,15,317.734375,1218.000
1785250587.982351065,15,319.421875,1186.000
1785250587.982351065,15,321.093750,1155.500
1785250587.982351065,15,322.734375,1126.250
1785250587.982351065,15,324.390625,1101.750
1785250587.982351065,15,326.046875,1077.750
1785250587.982351065,15,327.734375,1055.250
1785250587.982351065,15,329.296875,1035.250
1785250587.982351065,15,331.000000,1016.750
1785250587.982351065,15,332.625000,999.750
1785250587.982351065,15,334.218750,984.500
1785250587.982351065,15,335.984375,969.000
1785250587.982351065,15,337.640625,954.500
1785250587.982351065,15,339.156250,941.500
1785250587.982351065,15,340.921875,930.750
1785250587.982351065,15,342.562500,920.250
1785250587.982351065,15,344.125000,921.250
1785250588.174089909,14,358.437500,3746.250
1785250588.174089909,15,0.062500,3752.000
1785250588.174089909,15,1.687500,3755.750
1785250588.174089909,15,3.296875,3769.000
1785250588.174089909,12,4.921875,3763.750
1785250588.174089909,15,171.500000,3474.000
1785250588.174089909,9,173.125000,3455.000
1785250588.174089909,7,174.750000,3441.750
1785250588.174089909,9,176.375000,3434.750
1785250588.174089909,15,181.296875,671.500
1785250588.174089909,15,188.656250,1077.750
1785250588.174089909,15,195.843750,3115.750
1785250588.174089909,15,213.281250,321.500
1785250588.174089909,15,232.968750,746.000
1785250588.174089909,15,271.562500,9164.750
1785250588.174089909,13,273.187500,9174.500
1785250588.174089909,14,274.781250,9133.750
1785250588.174089909,11,276.406250,9164.500
1785250588.174089909,15,316.359375,1249.750
1785250588.174089909,15,318.015625,1214.250
1785250588.174089909,15,319.734375,1181.500
1785250588.174089909,15,321.375000,1151.000
1785250588.174089909,15,323.062500,1122.750
1785250588.174089909,15,324.718750,1099.000
1785250588.174089909,15,326.296875,1074.750
1785250588.174089909,15,328.046875,1051.000
1785250588.174089909,15,329.640625,1032.000
1785250588.174089909,15,331.328125,1013.000
1785250588.174089909,15,332.937500,995.500
1785250588.174089909,15,334.625000,980.500
1785250588.174089909,15,336.203125,965.000
1785250588.174089909,15,337.890625,951.750
1785250588.174089909,15,339.531250,939.250
1785250588.174089909,15,341.140625,927.500
1785250588.174089909,15,342.765625,917.500
1785250588.174089909,15,344.421875,919.250
1785250588.289509058,11,359.468750,3746.500
1785250588.289509058,14,1.078125,3741.000
1785250588.289509058,10,2.703125,3733.000
1785250588.289509058,15,4.328125,3725.500
1785250588.289509058,11,172.578125,3463.000
1785250588.289509058,6,174.203125,3439.500
1785250588.289509058,10,175.828125,3414.250
1785250588.289509058,13,177.453125,3407.000
1785250588.289509058,15,212.250000,322.000
1785250588.289509058,15,232.546875,740.750
1785250588.289509058,13,269.515625,9144.500
1785250588.289509058,15,271.140625,9140.000
1785250588.289509058,15,272.765625,9113.250
1785250588.289509058,10,274.375000,9142.750
1785250588.289509058,8,276.000000,9168.250
1785250588.289509058,15,316.000000,1259.750
1785250588.289509058,15,319.296875,1188.000
1785250588.289509058,15,320.906250,1158.250
