elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_vehicle_min_y_back_mm,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,pair_reacquiring,center_observation_scans,dist_c_mm,dist_d_mm,c_y_back_mm,d_y_back_mm,distance_bias_cd_mm,cd_balance_ratio,cd_balance_error,cd_balance_span,cd_center_ready_scans,left_side_heading_deg,left_side_line_points,left_side_line_extent_mm,left_side_line_linearity,right_side_heading_deg,right_side_line_points,right_side_line_extent_mm,right_side_line_linearity,observed_slot_heading_deg,filtered_slot_heading_deg,slot_heading_span_deg,parallel_heading_ready_scans,parallel_correction_cycles,parallel_cd_missing_scans,parallel_no_improvement_scans,parallel_best_heading_deg
0.000007,1785250587.982351065,idle,0,0,-28,press_SPACE_to_start,33,33,25,8,1,0,0,0,0,0,,0,1,0,1,1,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,920.250000,,275.766971,,,,,,0,-2.313534,18,619.538077,9530.172453,,0,,,-2.313534,,,0,0,0,0,
0.202759,1785250588.174089909,idle,0,0,-28,press_SPACE_to_start,36,36,27,9,1,0,0,0,0,0,,0,2,0,1,1,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,917.500000,671.500000,271.837930,15.197929,,,,,0,-2.543534,18,615.918328,7551.634461,,0,,,-2.543534,,,0,0,0,0,
0.296112,1785250588.174089909,idle,0,0,-28,press_SPACE_to_start,36,36,27,9,1,0,0,0,0,0,,0,2,0,1,1,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,917.500000,671.500000,271.837930,15.197929,,,,,0,-2.543534,18,615.918328,7551.634461,,0,,,-2.543534,,,0,0,0,0,
0.380821,1785250588.289509058,idle,0,0,-28,press_SPACE_to_start,30,30,23,7,1,0,0,0,0,0,,0,3,0,1,1,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,931.500000,,308.305672,,,,,,0,-2.656587,15,567.441964,27157.939249,,0,,,-2.656587,,,0,0,0,0,
0.468855,1785250588.403206825,idle,0,0,-28,press_SPACE_to_start,30,30,23,7,2,1,0,0,0,0,,0,4,0,1,1,4,1,-46.000000,73.343750,13.671875,1259.750000,3137.750000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,922.500000,,284.828907,,,,,,0,-2.657453,16,550.815042,28205.690072,,0,,,-2.657453,,,0,0,0,0,
0.519182,1785250588.403206825,idle,0,0,-28,press_SPACE_to_start,30,30,23,7,2,1,0,0,0,0,,0,4,0,1,1,4,1,-46.000000,73.343750,13.671875,1259.750000,3137.750000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,922.500000,,284.828907,,,,,,0,-2.657453,16,550.815042,28205.690072,,0,,,-2.657453,,,0,0,0,0,
0.606448,1785250588.517378092,idle,0,0,-28,press_SPACE_to_start,35,35,26,9,2,1,0,0,0,0,,0,5,0,1,1,5,1,-46.000000,73.343750,13.671875,1259.750000,3137.750000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,916.000000,1077.250000,264.705298,167.648499,,,,,0,-2.362032,18,609.903727,6214.372613,,0,,,-2.362032,,,0,0,0,0,
0.694650,1785250588.628833055,idle,0,0,-28,press_SPACE_to_start,34,34,26,8,2,1,0,0,0,0,,0,6,0,1,1,5,1,-46.000000,73.343750,13.671875,1259.750000,3137.750000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,918.750000,,273.404531,,,,,,0,-2.512460,18,618.783168,7966.300731,,0,,,-2.512460,,,0,0,0,0,
0.786769,1785250588.743930101,idle,0,0,-28,press_SPACE_to_start,31,31,24,7,2,1,0,0,0,0,,0,7,0,1,1,5,1,-45.765625,73.343750,13.789062,1262.500000,3137.750000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,922.250000,,282.358498,,,,,,0,-2.117905,17,621.216625,2978.825864,,0,,,-2.117905,,,0,0,0,0,
0.876049,1785250588.858547926,idle,0,0,-28,press_SPACE_to_start,32,32,24,8,2,1,0,0,0,0,,0,8,0,1,1,5,1,-45.375000,73.343750,13.984375,1272.000000,3137.750000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,917.000000,,261.161309,,,,,,0,-2.551210,17,632.918434,32962.381402,,0,,,-2.551210,,,0,0,0,0,
