elapsed_s,lidar_timestamp,state,speed,steering,steering_offset,reason,raw_points,valid_points,left_fov_points,right_fov_points,tangent_clusters,tangent_candidates,detected_vehicle_count,right_vehicle,right_vehicle_raw,right_cluster_points,right_vehicle_min_y_back_mm,right_seen_scans,right_missing_scans,right_track_id,is_prealign_near,is_near,pair_source_scans,pair_valid,angle_a_deg,angle_b_deg,angle_bisector_deg,dist_a_mm,dist_b_mm,control_pair_valid,control_angle_a_deg,control_angle_b_deg,control_angle_bisector_deg,control_dist_a_mm,control_dist_b_mm,control_gap_width_mm,control_gap_center_angle_deg,control_pair_reason,distance_bias_ab_mm,angle_term,distance_term,paper_steering,applied_paper_steering,entry_center_angle_deg,realigning_after_dropout,prealign_near_seen,prealign_ready_scans,pair_hold_scans,pair_reacquiring,center_observation_scans,dist_c_mm,dist_d_mm,c_y_back_mm,d_y_back_mm,distance_bias_cd_mm,cd_balance_ratio,cd_balance_error,cd_balance_span,cd_center_ready_scans,left_side_heading_deg,left_side_line_points,left_side_line_extent_mm,left_side_line_linearity,right_side_heading_deg,right_side_line_points,right_side_line_extent_mm,right_side_line_linearity,observed_slot_heading_deg,filtered_slot_heading_deg,slot_heading_span_deg,parallel_heading_ready_scans,parallel_correction_cycles,parallel_cd_missing_scans,parallel_no_improvement_scans,parallel_best_heading_deg
0.000006,1785251908.042522192,idle,0,0,-28,press_SPACE_to_start,22,22,9,13,0,0,0,0,0,0,,0,1,0,1,0,1,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.207750,1785251908.257848024,idle,0,0,-28,press_SPACE_to_start,18,18,9,9,1,0,0,0,0,0,,0,2,0,1,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.300401,1785251908.257848024,idle,0,0,-28,press_SPACE_to_start,18,18,9,9,1,0,0,0,0,0,,0,2,0,1,0,2,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.387846,1785251908.370108843,idle,0,0,-28,press_SPACE_to_start,26,26,11,15,1,0,0,0,0,0,,0,3,0,1,0,3,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.472361,1785251908.484390974,idle,0,0,-28,press_SPACE_to_start,19,19,11,8,1,0,0,0,0,0,,0,4,0,1,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1280.750000,,415.980549,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.523370,1785251908.484390974,idle,0,0,-28,press_SPACE_to_start,19,19,11,8,1,0,0,0,0,0,,0,4,0,1,0,4,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1280.750000,,415.980549,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.608293,1785251908.598800898,idle,0,0,-28,press_SPACE_to_start,18,18,9,9,1,0,0,0,0,0,,0,5,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.695040,1785251908.709953070,idle,0,0,-28,press_SPACE_to_start,21,21,9,12,1,0,0,0,0,0,,0,6,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.785068,1785251908.824765921,idle,0,0,-28,press_SPACE_to_start,23,23,10,13,2,1,0,0,0,0,,0,7,0,1,0,5,1,-49.828125,48.250000,-0.789062,913.000000,1776.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.873525,1785251908.824765921,idle,0,0,-28,press_SPACE_to_start,23,23,10,13,2,1,0,0,0,0,,0,7,0,1,0,5,1,-49.828125,48.250000,-0.789062,913.000000,1776.250000,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
0.960053,1785251908.939264059,idle,0,0,-28,press_SPACE_to_start,19,19,10,9,1,0,0,0,0,0,,0,8,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.046439,1785251909.051484823,idle,0,0,-28,press_SPACE_to_start,21,21,11,10,1,0,0,0,0,0,,0,9,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
1.130740,1785251909.165313005,idle,0,0,-28,press_SPACE_to_start,25,25,12,13,1,0,0,0,0,0,,0,10,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,36.222678,5,130.471319,5.120856,,0,,,36.222678,,,0,0,0,0,
1.218194,1785251909.165313005,idle,0,0,-28,press_SPACE_to_start,25,25,12,13,1,0,0,0,0,0,,0,10,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,,,,,,,,,0,36.222678,5,130.471319,5.120856,,0,,,36.222678,,,0,0,0,0,
1.309858,1785251909.280347824,idle,0,0,-28,press_SPACE_to_start,19,19,11,8,1,0,0,0,0,0,,0,11,0,1,0,5,0,,,,,,0,,,,,,,,two_tangents_not_visible,,,,,,,0,0,0,0,0,0,1283.000000,,415.387430,,,,,,0,,0,,,,0,,,,,,0,0,0,0,
