timestamp,quality,angle_deg,distance_mm
1785253864.038269997,15,12.953125,3128.000
1785253864.038269997,15,170.640625,1282.250
1785253864.038269997,15,172.203125,1294.250
1785253864.038269997,15,173.781250,1318.250
1785253864.038269997,15,175.406250,1336.750
1785253864.038269997,15,176.984375,1355.000
1785253864.038269997,15,178.656250,1377.500
1785253864.038269997,15,180.250000,1399.250
1785253864.038269997,15,181.828125,1421.500
1785253864.038269997,15,183.406250,1457.500
1785253864.038269997,15,185.000000,1496.000
1785253864.038269997,15,186.640625,1526.250
1785253864.038269997,15,188.187500,1556.250
1785253864.038269997,15,189.796875,1593.250
1785253864.038269997,15,191.390625,1630.000
1785253864.038269997,15,193.015625,1667.750
1785253864.038269997,10,200.421875,8411.250
1785253864.038269997,9,210.078125,7565.250
1785253864.038269997,9,211.703125,7510.250
1785253864.038269997,15,219.812500,6220.750
1785253864.038269997,15,221.421875,6169.750
1785253864.038269997,15,227.906250,6635.250
1785253864.038269997,15,229.531250,6586.000
1785253864.038269997,15,231.140625,6572.250
1785253864.038269997,15,232.765625,6545.500
1785253864.038269997,15,234.375000,6511.000
1785253864.038269997,15,236.000000,6499.000
1785253864.038269997,15,237.593750,6503.000
1785253864.038269997,15,239.218750,6486.000
1785253864.038269997,15,240.843750,6494.000
1785253864.038269997,15,255.843750,368.000
1785253864.038269997,15,257.765625,358.000
1785253864.038269997,15,259.593750,350.500
1785253864.038269997,15,261.453125,345.750
1785253864.038269997,15,262.578125,343.250
1785253864.038269997,15,264.734375,341.500
1785253864.038269997,15,265.937500,341.000
1785253864.038269997,15,267.750000,341.000
1785253864.038269997,15,269.515625,341.500
1785253864.038269997,15,270.640625,341.500
1785253864.038269997,15,272.343750,340.500
1785253864.038269997,11,274.328125,342.500
1785253864.038269997,15,275.671875,344.250
1785253864.038269997,15,281.531250,364.750
1785253864.038269997,6,320.468750,2638.500
1785253864.038269997,10,322.078125,2640.750
1785253864.038269997,15,330.140625,2615.500
1785253864.195094109,15,1.343750,2823.000
1785253864.195094109,15,4.562500,2875.500
1785253864.195094109,15,7.828125,2748.000
1785253864.195094109,9,12.578125,2939.250
1785253864.195094109,15,171.390625,1759.750
1785253864.195094109,15,172.984375,1803.250
1785253864.195094109,15,174.625000,1837.500
1785253864.195094109,15,176.203125,1875.500
1785253864.195094109,15,177.796875,1917.750
1785253864.195094109,15,179.437500,1967.000
1785253864.195094109,9,198.343750,7672.250
1785253864.195094109,10,199.968750,7585.250
1785253864.195094109,8,201.593750,7515.500
1785253864.195094109,15,206.515625,6541.750
1785253864.195094109,15,217.421875,509.750
1785253864.195094109,10,219.015625,499.250
1785253864.195094109,15,230.765625,454.250
1785253864.195094109,15,232.109375,447.250
1785253864.195094109,15,233.812500,451.500
1785253864.195094109,15,235.640625,451.750
1785253864.195094109,15,236.921875,448.000
1785253864.195094109,15,238.906250,450.500
1785253864.195094109,15,240.406250,453.500
1785253864.195094109,15,241.890625,460.250
1785253864.195094109,15,246.687500,485.500
1785253864.195094109,15,271.625000,2717.000
1785253864.195094109,15,273.250000,2731.500
1785253864.195094109,15,292.875000,1884.750
1785253864.195094109,15,294.484375,1906.250
1785253864.195094109,15,302.531250,2483.750
1785253864.307549953,15,356.156250,2650.500
1785253864.307549953,15,357.765625,2715.750
1785253864.307549953,8,1.093750,2614.250
1785253864.307549953,15,2.718750,2549.000
1785253864.307549953,12,5.890625,2800.250
1785253864.307549953,15,7.578125,2739.750
1785253864.307549953,15,171.515625,2066.250
1785253864.307549953,15,173.109375,2111.000
1785253864.307549953,9,192.125000,7744.750
1785253864.307549953,11,193.750000,7650.250
1785253864.307549953,8,195.359375,7597.500
1785253864.307549953,15,210.906250,545.250
1785253864.307549953,15,212.500000,549.750
1785253864.307549953,15,214.031250,543.250
1785253864.307549953,15,219.062500,540.750
1785253864.307549953,15,220.625000,539.500
1785253864.307549953,15,222.250000,541.750
1785253864.307549953,15,223.968750,549.000
1785253864.307549953,15,225.359375,555.000
1785253864.307549953,15,227.062500,557.500
1785253864.307549953,15,228.671875,561.250
1785253864.307549953,15,230.265625,567.500
1785253864.307549953,15,231.765625,578.000
1785253864.307549953,15,233.343750,593.000
1785253864.307549953,15,236.500000,636.250
1785253864.307549953,15,262.359375,2710.500
1785253864.307549953,15,263.968750,2714.000
1785253864.307549953,15,282.109375,1843.750
1785253864.307549953,15,283.765625,1845.500
1785253864.307549953,14,285.343750,1880.000
1785253864.307549953,15,293.328125,2439.250
1785253864.307549953,15,316.281250,2240.250
1785253864.307549953,15,348.828125,2519.500
1785253864.307549953,15,350.468750,2513.250
1785253864.422064066,15,352.062500,2577.250
1785253864.422064066,15,357.015625,2417.000
1785253864.422064066,10,1.859375,2612.500
1785253864.422064066,9,182.031250,8419.250
1785253864.422064066,8,186.921875,7808.500
1785253864.422064066,11,188.546875,7735.250
1785253864.422064066,15,201.937500,652.500
1785253864.422064066,15,203.593750,651.750
1785253864.422064066,15,205.203125,645.000
1785253864.422064066,15,206.906250,638.750
1785253864.422064066,15,208.421875,637.750
1785253864.422064066,15,210.187500,643.250
1785253864.422064066,15,211.718750,649.500
1785253864.422064066,13,213.343750,651.000
1785253864.422064066,13,214.906250,656.250
1785253864.422064066,15,218.156250,662.500
1785253864.422064066,15,221.375000,697.000
1785253864.422064066,15,222.937500,715.250
1785253864.422064066,15,255.453125,2719.250
1785253864.422064066,15,257.093750,2753.750
1785253864.422064066,15,273.609375,1798.500
1785253864.422064066,15,275.218750,1795.500
1785253864.422064066,15,345.156250,2377.500
1785253864.422064066,15,346.781250,2436.250
1785253864.422064066,12,348.437500,2446.500
1785253864.532217026,15,351.734375,2306.250
1785253864.532217026,14,353.359375,2246.750
1785253864.532217026,15,356.562500,2471.500
1785253864.532217026,15,358.218750,2460.000
1785253864.532217026,7,176.500000,8475.000
1785253864.532217026,15,189.609375,777.250
1785253864.532217026,15,191.265625,774.500
1785253864.532217026,15,194.609375,742.000
1785253864.532217026,15,196.343750,738.750
1785253864.532217026,15,197.968750,736.500
1785253864.532217026,15,199.437500,737.750
1785253864.532217026,15,201.218750,742.500
1785253864.532217026,15,202.781250,741.000
1785253864.532217026,15,204.328125,740.500
1785253864.532217026,15,205.953125,744.750
1785253864.532217026,15,246.843750,2758.500
1785253864.532217026,15,248.468750,2727.500
1785253864.532217026,15,265.140625,1771.750
1785253864.532217026,15,266.750000,1768.000
1785253864.532217026,15,268.359375,1784.500
1785253864.532217026,15,293.968750,3174.500
1785253864.532217026,15,340.078125,2267.750
1785253864.532217026,15,341.687500,2305.750
1785253864.532217026,11,343.359375,2329.000
1785253864.532217026,15,345.000000,2294.000
1785253864.648133039,7,171.906250,8573.000
1785253864.648133039,9,173.531250,8450.250
1785253864.648133039,8,175.156250,8384.000
1785253864.648133039,15,186.531250,838.250
1785253864.648133039,15,188.250000,824.750
1785253864.648133039,15,189.750000,815.750
1785253864.648133039,15,191.500000,823.500
1785253864.648133039,15,193.078125,829.750
1785253864.648133039,15,194.718750,823.000
1785253864.648133039,15,196.296875,818.250
1785253864.648133039,15,198.031250,819.750
1785253864.648133039,15,199.593750,832.000
1785253864.648133039,15,207.812500,7032.500
1785253864.648133039,15,209.437500,7043.500
1785253864.648133039,15,211.062500,7099.500
1785253864.648133039,15,233.921875,7962.000
1785253864.648133039,15,237.187500,8088.500
1785253864.648133039,15,242.453125,2724.250
1785253864.648133039,15,244.046875,2727.000
1785253864.648133039,15,259.093750,1740.500
1785253864.648133039,15,260.718750,1739.500
1785253864.648133039,15,262.343750,1757.000
1785253864.648133039,15,337.468750,2158.000
1785253864.648133039,15,339.062500,2208.750
1785253864.648133039,10,340.718750,2243.250
1785253864.648133039,15,350.515625,2301.000
1785253864.759013176,15,352.187500,2253.500
1785253864.759013176,8,172.828125,8439.250
1785253864.759013176,13,179.062500,943.500
1785253864.759013176,8,180.750000,934.500
1785253864.759013176,15,184.046875,890.750
1785253864.759013176,15,185.671875,891.500
1785253864.759013176,15,187.328125,892.000
1785253864.759013176,15,188.906250,885.750
1785253864.759013176,15,190.578125,880.750
1785253864.759013176,15,192.234375,878.250
1785253864.759013176,15,193.843750,889.750
1785253864.759013176,15,205.468750,7139.250
1785253864.759013176,15,207.093750,7159.750
1785253864.759013176,15,238.453125,2717.250
1785253864.759013176,15,240.078125,2705.250
1785253864.759013176,15,253.390625,1743.500
1785253864.759013176,15,255.046875,1718.000
1785253864.759013176,15,256.687500,1722.000
1785253864.759013176,15,334.890625,2088.250
1785253864.759013176,15,336.515625,2095.750
1785253864.759013176,15,338.156250,2145.500
1785253864.759013176,15,341.375000,2284.750
1785253864.759013176,7,342.968750,2346.750
1785253864.759013176,13,344.609375,2384.500
1785253864.872984171,15,177.593750,1002.500
1785253864.872984171,15,180.859375,948.750
1785253864.872984171,10,182.515625,935.500
1785253864.872984171,15,184.109375,928.750
1785253864.872984171,15,185.796875,934.500
1785253864.872984171,15,187.328125,940.500
1785253864.872984171,15,189.000000,946.500
1785253864.872984171,15,202.281250,7153.500
1785253864.872984171,15,205.515625,7153.500
1785253864.872984171,15,212.296875,3024.250
1785253864.872984171,6,213.937500,3029.750
1785253864.872984171,5,215.562500,3052.500
1785253864.872984171,15,235.140625,2713.250
1785253864.872984171,15,236.750000,2695.750
1785253864.872984171,15,238.375000,2733.750
1785253864.872984171,15,250.062500,1716.000
1785253864.872984171,15,251.687500,1704.750
1785253864.872984171,15,253.281250,1716.500
1785253864.872984171,15,299.296875,1211.000
1785253864.872984171,15,333.062500,2027.000
1785253864.872984171,15,334.671875,2035.750
1785253864.872984171,15,336.328125,2086.000
1785253864.872984171,15,339.546875,2213.250
1785253864.872984171,15,341.156250,2281.500
1785253864.872984171,7,342.750000,2350.500
1785253864.984509945,15,172.156250,1061.750
1785253864.984509945,15,173.875000,1039.500
1785253864.984509945,15,175.546875,1017.750
1785253864.984509945,15,177.156250,999.750
1785253864.984509945,15,178.796875,995.500
1785253864.984509945,15,180.343750,990.500
1785253864.984509945,15,181.937500,984.000
1785253864.984509945,12,183.593750,979.500
1785253864.984509945,15,185.156250,985.000
1785253864.984509945,15,198.515625,7195.250
1785253864.984509945,15,200.140625,7182.250
1785253864.984509945,15,201.750000,7188.750
1785253864.984509945,15,203.421875,7242.750
1785253864.984509945,9,210.187500,3056.500
1785253864.984509945,15,211.812500,3074.250
1785253864.984509945,15,213.437500,3101.500
1785253864.984509945,15,231.281250,2733.250
1785253864.984509945,15,232.921875,2695.250
1785253864.984509945,15,234.546875,2714.500
1785253864.984509945,15,246.203125,1699.000
1785253864.984509945,15,247.828125,1705.250
1785253864.984509945,15,251.031250,1817.250
1785253864.984509945,15,330.765625,1972.750
1785253864.984509945,15,332.390625,1989.750
1785253864.984509945,15,334.015625,2047.000
1785253864.984509945,15,335.609375,2103.250
1785253864.984509945,15,338.843750,2241.250
1785253864.984509945,15,340.453125,2300.000
1785253865.098970175,15,173.421875,1044.000
1785253865.098970175,15,175.078125,1030.000
1785253865.098970175,15,176.703125,1020.500
1785253865.098970175,15,178.296875,1014.000
1785253865.098970175,15,179.968750,1010.500
1785253865.098970175,15,193.421875,7248.750
1785253865.098970175,15,199.937500,7217.750
1785253865.098970175,8,206.718750,3054.250
1785253865.098970175,8,208.343750,3057.500
1785253865.098970175,15,209.968750,3078.750
1785253865.098970175,15,211.578125,3115.250
1785253865.098970175,15,213.187500,3151.500
1785253865.098970175,13,214.843750,3174.250
1785253865.098970175,8,216.437500,3198.000
1785253865.098970175,15,218.078125,3225.750
1785253865.098970175,15,229.531250,2683.750
1785253865.098970175,15,231.171875,2688.750
1785253865.098970175,15,232.750000,2733.750
1785253865.098970175,15,242.843750,1683.000
1785253865.098970175,15,247.703125,1799.250
1785253865.098970175,15,329.281250,1937.000
1785253865.098970175,15,330.875000,1951.750
1785253865.098970175,15,332.500000,2010.000
1785253865.098970175,15,334.078125,2058.500
1785253865.098970175,15,335.750000,2105.750
1785253865.210915089,15,173.765625,1044.000
1785253865.210915089,15,175.406250,1035.750
1785253865.210915089,15,177.125000,1019.250
1785253865.210915089,15,178.671875,1024.250
1785253865.210915089,8,183.546875,1048.500
1785253865.210915089,15,198.765625,7227.500
1785253865.210915089,12,205.531250,3057.750
1785253865.210915089,8,207.187500,3066.500
1785253865.210915089,6,208.812500,3085.750
1785253865.210915089,15,210.437500,3120.000
1785253865.210915089,15,212.062500,3158.000
1785253865.210915089,14,213.671875,3175.500
1785253865.210915089,11,215.328125,3191.750
1785253865.210915089,15,226.828125,2719.750
1785253865.210915089,15,228.437500,2680.500
1785253865.210915089,15,230.078125,2681.000
1785253865.210915089,15,241.828125,1666.000
1785253865.210915089,15,246.609375,1798.000
1785253865.210915089,15,329.906250,1921.000
1785253865.210915089,15,331.515625,1970.250
1785253865.210915089,15,333.140625,2025.750
1785253865.210915089,15,334.734375,2082.500
1785253865.210915089,14,337.984375,2225.500
1785253865.325611115,10,11.984375,4145.750
1785253865.325611115,15,170.968750,1061.750
1785253865.325611115,15,175.921875,1038.750
1785253865.325611115,15,177.437500,1028.250
1785253865.325611115,15,179.078125,1039.500
1785253865.325611115,15,192.609375,7239.000
1785253865.325611115,15,194.250000,7204.750
1785253865.325611115,15,195.875000,7217.750
1785253865.325611115,15,197.515625,7195.250
1785253865.325611115,15,199.140625,7185.500
1785253865.325611115,8,205.890625,3055.750
1785253865.325611115,9,207.531250,3065.500
1785253865.325611115,15,209.156250,3092.500
1785253865.325611115,15,210.781250,3126.250
1785253865.325611115,15,212.421875,3160.000
1785253865.325611115,10,214.031250,3185.000
1785253865.325611115,11,215.687500,3199.250
1785253865.325611115,15,217.281250,3228.250
1785253865.325611115,15,227.156250,2681.750
1785253865.325611115,15,230.390625,2686.000
1785253865.325611115,15,330.093750,1916.500
1785253865.325611115,15,331.718750,1968.000
1785253865.325611115,15,334.921875,2088.250
1785253865.325611115,15,338.187500,2222.250
1785253865.436761141,15,170.968750,1055.500
1785253865.436761141,14,172.625000,1048.250
1785253865.436761141,15,174.296875,1046.750
1785253865.436761141,15,175.984375,1037.000
1785253865.436761141,15,177.562500,1028.250
1785253865.436761141,11,191.000000,7257.750
1785253865.436761141,15,192.640625,7237.500
1785253865.436761141,15,194.265625,7209.750
1785253865.436761141,15,195.890625,7188.750
1785253865.436761141,15,197.515625,7205.000
1785253865.436761141,15,199.156250,7226.750
1785253865.436761141,13,204.250000,3078.250
1785253865.436761141,9,205.875000,3054.000
1785253865.436761141,7,207.500000,3063.750
1785253865.436761141,15,209.109375,3092.750
1785253865.436761141,15,210.734375,3129.000
1785253865.436761141,15,212.359375,3160.750
1785253865.436761141,8,213.984375,3185.000
1785253865.436761141,12,215.593750,3197.250
1785253865.436761141,15,217.234375,3231.250
1785253865.436761141,15,227.125000,2681.750
1785253865.436761141,15,230.390625,2686.500
1785253865.436761141,15,330.093750,1915.500
1785253865.436761141,15,331.718750,1967.750
1785253865.436761141,15,334.921875,2086.750
1785253865.436761141,15,338.171875,2222.250
1785253865.551334858,12,12.046875,4150.000
1785253865.551334858,15,170.828125,1063.000
1785253865.551334858,15,172.593750,1047.750
1785253865.551334858,15,174.156250,1043.500
1785253865.551334858,15,175.828125,1037.250
1785253865.551334858,15,177.500000,1028.500
1785253865.551334858,15,192.484375,7255.500
1785253865.551334858,15,194.125000,7244.000
1785253865.551334858,15,195.750000,7229.250
1785253865.551334858,15,197.359375,7196.750
1785253865.551334858,15,199.000000,7226.000
1785253865.551334858,13,204.125000,3083.000
1785253865.551334858,13,205.765625,3050.750
1785253865.551334858,9,207.375000,3062.500
1785253865.551334858,15,209.000000,3091.500
