sim_time_s,state,pose_x_m,pose_y_m,pose_yaw_deg,right_vehicle,near,clusters,vehicle_clusters,cluster_summary,pair_valid,pair_confirmed,angle_a_deg,angle_b_deg,dist_a_mm,dist_b_mm,bisector_deg,dist_c_mm,dist_d_mm,speed_command,steering_command,reason
13.315000,search_first_car,0.000006,5.000028,0.000010,0,1,1,1,-0.1:1779:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
13.417000,search_first_car,0.000007,4.996551,-0.000099,0,1,1,1,-0.1:1774:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
13.516000,search_first_car,0.000009,4.986104,-0.000157,0,1,1,1,-0.1:1768:581:1,0,0,,,,,,,,80,0,search_first_car:0/2
13.616000,search_first_car,0.000015,4.969667,-0.000054,0,1,1,1,-0.1:1769:578:1,0,0,,,,,,,,80,0,search_first_car:0/2
13.716000,search_first_car,0.000022,4.948085,0.000082,0,1,1,1,-0.1:1767:581:1,0,0,,,,,,,,80,0,search_first_car:0/2
13.816000,search_first_car,0.000026,4.922079,0.000207,0,1,1,1,-0.1:1767:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
13.916000,search_first_car,-0.031984,2.596120,-89.999847,0,1,1,1,-0.1:1775:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.016000,search_first_car,0.000037,4.859205,0.000664,0,1,1,1,-0.1:1772:584:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.116000,search_first_car,0.000048,4.823335,0.001006,0,1,1,1,-0.1:1772:581:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.216000,search_first_car,0.000057,4.785051,0.001381,0,1,1,1,-0.1:1755:580:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.316000,search_first_car,0.000071,4.744695,0.001847,0,1,1,1,-0.1:1773:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.416000,search_first_car,0.000085,4.702557,0.002364,0,1,1,1,-0.1:1769:581:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.516000,search_first_car,0.000100,4.658890,0.002932,0,1,1,1,-0.1:1778:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.616000,search_first_car,0.000116,4.613904,0.003492,0,1,1,1,-0.1:1769:579:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.716000,search_first_car,0.000135,4.567789,0.004145,0,1,1,1,-0.1:1769:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.816000,search_first_car,0.000154,4.520700,0.004778,0,1,1,1,-0.1:1759:581:1,0,0,,,,,,,,80,0,search_first_car:0/2
14.916000,search_first_car,0.000174,4.472777,0.005428,0,1,1,1,-0.1:1774:580:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.016000,search_first_car,0.000193,4.424134,0.006049,0,1,1,1,-0.1:1767:584:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.116000,search_first_car,0.000214,4.374873,0.006701,0,1,1,1,-0.1:1762:580:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.216000,search_first_car,0.000237,4.325080,0.007428,0,1,1,1,-0.1:1766:577:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.317000,search_first_car,0.000261,4.274832,0.008151,0,1,1,1,-0.1:1769:579:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.416000,search_first_car,0.000285,4.224194,0.008821,0,1,1,1,-0.1:1776:577:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.516000,search_first_car,0.000308,4.173217,0.009480,0,1,1,1,-0.1:1767:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.616000,search_first_car,-0.031290,1.825589,-89.990041,0,1,1,1,-0.1:1769:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.716000,search_first_car,0.000359,4.070431,0.010879,0,1,1,1,-0.1:1776:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.816000,search_first_car,0.000386,4.018699,0.011582,0,1,1,1,-0.1:1777:580:1,0,0,,,,,,,,80,0,search_first_car:0/2
15.916000,search_first_car,0.000413,3.966782,0.012260,0,1,1,1,-0.1:1771:581:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.016000,search_first_car,0.000442,3.914706,0.012980,0,1,1,1,-0.1:1784:580:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.116000,search_first_car,0.000470,3.862496,0.013692,0,1,1,1,-0.1:1772:581:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.216000,search_first_car,0.000500,3.810167,0.014360,0,1,1,1,-0.1:1766:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.316000,search_first_car,0.000528,3.757739,0.014990,0,1,1,1,-0.1:1775:580:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.416000,search_first_car,0.000558,3.705222,0.015668,0,1,1,1,-0.1:1775:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.517000,search_first_car,0.000589,3.652630,0.016384,0,1,1,1,-0.1:1767:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.616000,search_first_car,0.000622,3.599974,0.017112,0,1,1,1,-0.1:1778:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.716000,search_first_car,0.000655,3.547264,0.017820,0,1,1,1,-0.1:1769:576:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.816000,search_first_car,0.000689,3.494507,0.018521,0,1,1,1,-0.1:1771:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
16.916000,search_first_car,0.000723,3.441709,0.019237,0,1,1,1,-0.1:1759:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
17.016000,search_first_car,0.000758,3.388876,0.019961,0,1,1,1,-0.1:1763:584:1,0,0,,,,,,,,80,0,search_first_car:0/2
17.116000,search_first_car,0.000794,3.336013,0.020676,0,1,1,1,-0.1:1775:582:1,0,0,,,,,,,,80,0,search_first_car:0/2
17.216000,search_first_car,0.000830,3.283124,0.021374,0,1,1,1,-0.1:1773:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
17.316000,search_first_car,-0.030277,0.933832,-89.978118,0,1,1,1,-0.1:1767:580:1,0,0,,,,,,,,80,0,search_first_car:0/2
17.416000,search_first_car,0.000905,3.177284,0.022810,0,1,1,1,-0.1:1775:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
17.516000,search_first_car,0.000944,3.124337,0.023491,0,1,1,1,-0.1:1765:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
17.616000,search_first_car,0.000982,3.071377,0.024201,0,1,1,1,-0.1:1773:583:1,0,0,,,,,,,,80,0,search_first_car:0/2
